cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,Adivinhas,Adivinha,Fonte da Vinha,Divina Comedia,Vinha,Adivinho-o,vinhar,réo,Pó,,,,,,
1,Roboredo,Redobrou,Cedofeita,Credo,Edo,ue,,,,,,,,,
2,Reconheceu-os,Reconhecera,Conhece,Conheceu-a,,,,,,,,,,,
3,Diga,Diga-m'o,Codigo,veigas,po,ce,Digo,,,,,,,,
4,proseg,proxima,pross,ros,prosodia,Provas,,,,,,,,,
5,victoria da primeira,victoria,umá victoria,tricto,Historia,amão,"Fei-
toria",Victoria,,,,,,,
6,absintho,Vou,vm,Sinto,,,,,,,,,,,
7,Padre,capellinha do Padrão,Padre-nosso,joven padre,Padrão,,,,,,,,,,
8,Perdão,"cre
Perde",Perdôo,perola,Perdia,Perdôa,,,,,,,,,
9,Josefinha da Agua-benta,Nr,Joséfinha da Agua-benta,Agua-benta,,,,,,,,,,,
10,Ins,ins,insomnia,chins,,,,,,,,,,,
11,Bosnia,Virginia,smania,calumnia,,,,,,,,,,,
12,Pausa,Causava,Paus,,,,,,,,,,,,
13,gv,Anda,Hollanda,andar de cima,Emlim,Branda,Vá!,,,,,,,,
14,impacien,impaciencia,Impacienta-me,impavidez,,,,,,,,,,,
15,ámanhã,Ámanhã,Amanhã,,,,,,,,,,,,
16,L,tm,,,,,,,,,,,,,
17,lencia,Paciência,Convenci,Anciada,Providencia,te,Convencida,antecedencias,Imminencia,,,,,,
18,d'essa,N'esse,Yess,Isse,Nºesse,Vesse,,,,,,,,,
19,Douro,loura lady,doura,severo Douro,sonhos dourados,,,,,,,,,,
20,dominand,Ensinando-me,Ronan,,,,,,,,,,,,
21,Ailicec,Felice Romani,afilicção,Ta,Ilion,,,,,,,,,,
22,"di

zia",Dizia,,,,,,,,,,,,,
23,brazas,braza...,atrazado,,,,,,,,,,,,
24,Souto,ur,accusou,vessou,,,,,,,,,,,
25,Lembrou-lhe,Córou,Lembra-me,calembourg,Al,,,,,,,,,,
26,Fa-,Long,Londres,Longe,Lon-,,,,,,,,,,
27,pas-,"pas-

mM.",as-,Pu,"pas-
sos levissimos","pas-
sos precipitados",,,,,,,,,
28,Entra,Vá,contrahida,centraes,Sózentão,Contrastava,,,,,,,,,
29,Hontem,saiba,Es,hontem,,,,,,,,,,,
