cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0.0,joven padre,Padre-nosso,Padrão,capellinha do Padrão,Padre,joven,,,,,,,,
1.0,Inglate,lateraes,Ingle-,West of England,Kate,"Inglater-
ral oh!",Inglaterra,,,,,,,
2.0,Ailicec,Ilion,Felice Romani,afilicção,,,,,,,,,,
3.0,"mis
nha","mis
nha cara","tis
nha","mis
nistro","ti-
nha",,,,,,,,,
4.0,Com-,,,,,,,,,,,,,
5.0,Pupos,pos-,Apostemos,Posso,posponto,Lypos,,,,,,,,
6.0,Cecilia,Cecis,lecilia,Gecilia,Santa Cecilia,zes Cecilia,Pobre Cecilial,,,,,,,
7.0,Achilles,ran-ville,Cachimbo,,,,,,,,,,,
8.0,terra,nova terra,nova e.,,,,,,,,,,,
9.0,eia,Crimeia,Dorotheia,Eia,,,,,,,,,,
10.0,Coragem,"im
gem",Corporal Prim,Ágora,coraes,,,,,,,,,
11.0,rua dos Inglezes,Inglezes,terra dos meetings,"rua
dos Inglezes","rua dos
Inglezes",Rua dos Caldeireiros,,,,,,,,
12.0,surprendia,India,Surprende,Incendiar,,,,,,,,,,
13.0,Aquelle,m'aquelle,aquelle,N'aquelle,Ha n'aquelle,Paquelle,nºaquelle,n'aquelle,saír d'aquelle,,,,,
14.0,Cuida,Cuidas,Thebaida,Cuidei,,,,,,,,,,
15.0,Senhor,Tenho,Senhora,penhore,,,,,,,,,,
16.0,Principio,Principiava,fipiide,principie,Principie,,,,,,,,,
17.0,Quer-me,Quererias,Queres,eres,Querem,Quero,,,,,,,,
18.0,Podia,illudia,"|
lude",,,,,,,,,,,
19.0,Mettia,Promettia,prometter,Prometto,commetter,jomem,Prometterei,Butterfly,,,,,,
20.0,ichard,Erhard,Guichard,Jhar,,,,,,,,,,
21.0,cença,Doença,loença,Doe,dillerença,,,,,,,,,
22.0,Trai larai,larai,Trai la rai,"larai lai
Trai",Trai lari,Lara,la rai,Trai larai lai,,,,,,
23.0,somma avultada,somma,,,,,,,,,,,,
24.0,Escuso,accusou,Escute,,,,,,,,,,,
25.0,hirás,Yorkshire,Molire,Irei,Rire-,,,,,,,,,
26.0,malvasia,Maltez,Asia,Rialva,salvador,,,,,,,,,
27.0,accommodados,Commoveu-a,commover,"d'esta
commovente",,,,,,,,,,
28.0,la Tais,Demais,— Talvez,,,,,,,,,,,
29.0,Lisboa,de Lisboa,,,,,,,,,,,,
30.0,Vivorás,Viverás,Vivia,,,,,,,,,,,
31.0,Iyrico,Iyricos,Poetico,Nicot,,,,,,,,,,
32.0,"Car-
Jos",Car-,bar-me,Carriça,Carmo,,,,,,,,,
33.0,analyso,Susana,Rana,,,,,,,,,,,
34.0,amão,Mão,,,,,,,,,,,,
35.0,Incta,lucta,"A

Extincta",,,,,,,,,,,
36.0,Santa Catharina,Catharina,Marino Faliero,agatha,"Santa Ca-
tharina",Santa Casa,,,,,,,,
37.0,Vesse,Yess,Nºesse,vessou,Isse,N'esse,,,,,,,,
38.0,— Olhe,Escolheu,Olhi,Olhem,Olhe,,,,,,,,,
39.0,respiraste,lisongeiras,tojeiras,"Jei

XXVII",Noje,,,,,,,,,
40.0,"mes
nina","Mes
lhor",Menina,,,,,,,,,,,
41.0,malícia,Lucrecia,Grecia,Precisei,Ereciheum club,Pecia,,,,,,,,
42.0,"Ilha dei-
xára",Ilha,Sevilha,"fi
lha",similhança,,,,,,,,,
43.0,Reparem,Preparava-se-lhe,Repara,Reparo,Repito,,,,,,,,,
44.0,chapéo,"chapéo de
seda",,,,,,,,,,,,
45.0,conscien,CONSCIENt,,,,,,,,,,,,
46.0,Physionomia,physiognomia,Physicas,physionomia,,,,,,,,,,
47.0,Bispo,biscuit,"disci=
pulo",,,,,,,,,,,
48.0,Ahi,D'ahi,Diahia,ahi,,,,,,,,,,
