cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109,elem_110,elem_111,elem_112,elem_113,elem_114,elem_115,elem_116,elem_117,elem_118,elem_119,elem_120,elem_121,elem_122,elem_123,elem_124,elem_125,elem_126,elem_127,elem_128,elem_129,elem_130,elem_131,elem_132,elem_133,elem_134,elem_135,elem_136,elem_137,elem_138,elem_139,elem_140,elem_141,elem_142,elem_143,elem_144,elem_145,elem_146,elem_147,elem_148,elem_149,elem_150,elem_151,elem_152,elem_153,elem_154,elem_155,elem_156,elem_157,elem_158,elem_159,elem_160,elem_161,elem_162,elem_163,elem_164,elem_165,elem_166,elem_167,elem_168,elem_169,elem_170,elem_171,elem_172,elem_173,elem_174,elem_175,elem_176,elem_177,elem_178,elem_179,elem_180,elem_181,elem_182,elem_183,elem_184,elem_185,elem_186,elem_187,elem_188,elem_189,elem_190,elem_191,elem_192,elem_193,elem_194,elem_195,elem_196,elem_197,elem_198,elem_199,elem_200,elem_201,elem_202,elem_203,elem_204,elem_205,elem_206,elem_207,elem_208,elem_209,elem_210,elem_211,elem_212,elem_213,elem_214,elem_215,elem_216,elem_217,elem_218,elem_219,elem_220,elem_221,elem_222
-1,Í,"rua das
Flores",Freixo,Pozeram-me,balbuciou elle,Verduras,Marino Faliero,Fortunato,velleidades,scismava,même,nossa atmosphera,"XXHI

DIPLOMACIA DO CORAÇÃO","as-
tros",Hespanha,Bonito,"fi
lha","es
cassa luz",bella de bel-,cancella,Pois,Bosnia,Russia,deyo,Estranham-me,Helas,Ea,d'essa,Gonçalo,Rasgue-a,Crimeia,Bass,Fiambre,vigilia,gingerbeer,despenseira,Sume-te,sussurra,"aquella pos
bre",Mostarda... Queijo,preponderancia,Vão com Deus,saír d'aquelle,Ir,Fecha,Cumpre-me,Bu,resonar,Sem-,Gargantua,Tempestad,Precisei,"ras
zão",SYMPTOMAS,gosar della,Vôo,dopoá,biscuit,Biblia,Marianna,Supponho,Jecturar,Chico da Lousã,proxima,vislum+,Meus,Kate,Edo elle,Noje,baixo das janellas,"Feu-
chtersleben",Lembra-me,Oxford Street,Vês,Cecis,Tr,Corporal Prim,bia,terra dos meetings,Civilisa-te,Lascia,tica desta bureaucracia,vigilia da vespera,saír d'alli,jomem,Carmo,nova e.,Felice Romani,Ponsard,Josophico,Jhe,Protegeste,"disci=
pulo","Forte tola!

— B elle",West-Jnd,Desbarretem-se,tm,Horas de Ocio,la Tais,Fonte da Vinha,calembourg,Toca,sociaes,leza,Mortalnemico,Es-,Apostemos,West of England,fipiide,Carnaval,Molire,Descansa,Cinza,Estás,Pu,"cisTirasos
Leva...",Varreram,andar de cima,lari,tranho,Escriptura,Anciada,rua de Santa,culinaria,Enganas-te,"andar uni

quella",bilhetes de beneficio,Xerez,"des
graça!",Prezado,impavidez,Harmental,Universidade,lateraes,vozeria,elle bebe,Londres,Ostras,sofá luxuoso,arraiães,Avintes,cida do baile,atrazado,Park Benjamin,"aguas dos
rios caudalosos",Serra do Pilar,cortezias,lavras,Deixa Omer-Pachá,Dorotheia,Eh,Ellas,Carolina,Ereciheum club,re lempção!,Subia elle,Providencia,Qh,Appellava,Rua Ferreira Borges,Tola,"los
gar",bom Charles,Sózentão,Jari,"as-
sumptos",elle cobria,Antonia da Natividade,Jupiter,AGGRAVAM-SE,Vêem,Campo Pequeno,Guarda-a,Fe,"phantasia
popular",horrorisado,Vasado,agatha,Laponia,patriarchal,Consagral-o-hão,Eseuso,baixo Peste,bom gentleman,Audaces,Aa,Narrativas,torre de S. Francisco,Formosan,Ralhavas,sta ingratidão,d'antes,lix de vinho,Pobre Cecilial,villania,boston,perola,tenue,salvador,lua,pinheiros,morada d'aquella senhora,antecedencias,ran-ville,Blle,molestia,"constrans
ger",Abeillard,Cosme Villas-boas,Phase,Australias,Trazida,Susana,Receio,Depressa,Fiz-te,tunos,y,Trabalharei,acrolitho,eflicacia delle,gaia casa theatro,sílios
0,És,ná,gv,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,L,cg,Pôz,m”o,Q,vm,WU,F,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,V,ã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Vá,Vá!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,00-,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,hypocrisia,iypocrisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Jei

XXVII",oceano arrojam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Exquisito,exquisito,Exquisita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mão,amão,Pruth,Leça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
