cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0,Vae,Vae...,"Vao
|",Vae-me,levans,,,,,,,,,,,,,,,,,,
1,"mis
nha","mis
nha cara","tis
nha","mis
nistro","ti-
nha",,,,,,,,,,,,,,,,,,
2,Com-,Comtudo,Sem-,communs,com-,,,,,,,,,,,,,,,,,,
3,tricto,victoria,"Fei-
toria",Historia,Victoria,victoria da primeira,theori,umá victoria,,,,,,,,,,,,,,,
4,Ailicec,Cecilia,Lucrecia,Grecia,Cecis,Í,lecilia,antecedencias,Gecilia,Santa Cecilia,Civilisa-te,zes Cecilia,Pecia,ecília,Pobre Cecilial,,,,,,,,
5,Mr.,proprio Mr.,MR,,,,,,,,,,,,,,,,,,,,
6,America do Norte,do Norte,porta do cemiterio,Forte,esforço do velho,Forno Ve-,Norte,,,,,,,,,,,,,,,,
7,Aquelle,m'aquelle,aquelle,aquella,N'aquelle,Ha n'aquelle,Paquelle,bairro de Cedofeita aquelle,nºaquelle,n'aquelle,"aquella pos
bre",saír d'aquelle,"andar uni

quella",Aquella,Aquellas,,,,,,,,
8,Creia,eia,passeiar,Passeiava,Dorotheia,Eia,Leio-o,Creiam-me,,,,,,,,,,,,,,,
9,rua dos Inglezes,indoles,"rua
dos Inglezes","rua dos
Inglezes",,,,,,,,,,,,,,,,,,,
10,Cuida,Cuidas,Thebaida,Cuidei,,,,,,,,,,,,,,,,,,,
11,morada d'aquella senhora,Senhor,Tenho,cg,Senhora,penhore,,,,,,,,,,,,,,,,,
12,Er,Erieiza,Servida,ER,Liverpool,DER,"eris

XV","57

Exercera",Neder,Jupiter,gingerbeer,"Per-
dba-mo",,,,,,,,,,,
13,RO,Córou,perola,proxima,n'outro,trondo,Roz,Ronan,Ro,Troya,severo Douro,acrolitho,Felice Romani,ropa,,,,,,,,,
14,Tremo,Reparem,Preparava-se-lhe,Repara,Reparo,re lempção!,Tremi,Parece-me,Partirem,Repito,Desbarretem-se,,,,,,,,,,,,
15,Mettia,Promettia,prometter,Deixa Omer-Pachá,Prometto,commetter,Prometterei,Butterfly,,,,,,,,,,,,,,,
16,ichard,Erhard,Guichard,Guarda-a,Rd,,,,,,,,,,,,,,,,,,
17,cença,Doença,loença,Doe,dillerença,,,,,,,,,,,,,,,,,,
18,Ai,Trai larai,larai,la Tais,Trai la rai,"larai lai
Trai",Trai lari,arraiães,la rai,Trai larai lai,,,,,,,,,,,,,
19,Conhece,Reconhecera,Reconheceu-os,Aa,Desconheço-te,Conheceu-a,Q,,,,,,,,,,,,,,,,
20,Escuso,accusou,sc,Eseuso,Escute,,,,,,,,,,,,,,,,,,
21,accommodados,Commoveu-a,commover,"d'esta
commovente",commiseração,Mm,,,,,,,,,,,,,,,,,
22,boston,St,Oxford Street,Vistula,st,Myste-,,,,,,,,,,,,,,,,,
23,taboa,Lisboa,Boa Vista,de Lisboa,tm,,,,,,,,,,,,,,,,,,
24,Iyrico,Iyricos,Qh,theatro lyrico,Nicot,,,,,,,,,,,,,,,,,,
25,Vês,Vêem,,,,,,,,,,,,,,,,,,,,,
26,prima-donna,malícia,Ma,Demais,Mancha,gumas,MA,Fumar,Maia,Mano,,,,,,,,,,,,,
27,larão lão,amão,Mão,,,,,,,,,,,,,,,,,,,,
28,Incta,lucta,"A

Extincta",,,,,,,,,,,,,,,,,,,,
29,Santa Catharina,Catharina,hymno da Carta,cantaro,Carolina,gaia casa theatro,"Santa Ca-
tharina",Jantar,Santa Casa,rua de Santa,,,,,,,,,,,,,
30,Vesse,Yess,escossez,Nºesse,vessou,Isse,N'esse,,,,,,,,,,,,,,,,
31,"Ilha dei-
xára",Ilha,bilho,Talhados,Sevilha,"fi
lha",similhança,,,,,,,,,,,,,,,,
32,lisongeiras,"pris
meira","pri-
meira",Ribeira,,,,,,,,,,,,,,,,,,,
33,XE,ã,syntaxe,L,,,,,,,,,,,,,,,,,,,
34,"constrans
ger",m”o,conscien,Convencida,Consola,Consagral-o-hão,CONSCIENt,Convenci,,,,,,,,,,,,,,,
35,Imminencia,impaciencia,Providencia,Racine,City,Impacienta-me,Paciência,lencia,impacien,,,,,,,,,,,,,,
36,lari,Marino Faliero,larão,Larguem-me,Jari,Paris,Abeillard,Uarios,,,,,,,,,,,,,,,
37,Eno,ES Riad Manoel Quentino,Pennor,Campo Pequeno,Noje,tunos,Ene,,,,,,,,,,,,,,,,
38,Estouvada,estrada de,estrada do Padrão,Pedra Salgada,vigilia da vespera,estrada de cima,estrada da Foz,"rua das
Flores",tica desta bureaucracia,,,,,,,,,,,,,,
39,vm,"A
Lido",pallido,capellinha do Padrão,empallide,"passára
alli",,,,,,,,,,,,,,,,,
40,cemiterio contiguo,hontem,Hontem,,,,,,,,,,,,,,,,,,,,
41,Porto,Fortunato,Portugal,porta de fortaleza,Corporal Prim,Tokay,em Portugal,Guto,"Porto
e Madeira",Porto mu-,,,,,,,,,,,,,
42,"go

Jenny",Jen-,Jenny,"pr

Jenny",Jennys,Jemny,ny,,,,,,,,,,,,,,,,
43,És,impavidez,Vim,vimola,Sim,mim,Vimbiin,,,,,,,,,,,,,,,,
44,Exijo,XXI,XI,,,,,,,,,,,,,,,,,,,,
45,"Mat-
tos",Mattos,"di
tos",,,,,,,,,,,,,,,,,,,,
46,somma,somno,mn,insomnia,,,,,,,,,,,,,,,,,,,
47,oceano arrojam,Vejam,Sejam,Antevejo,,,,,,,,,,,,,,,,,,,
48,Inefficaz,tographica,Praticaria,Rica,SimAbicapo,beatifica idiotia,Africa,Carriça,America,Ficando,Applicadas,PUBLICA,justificará,,,,,,,,,,
49,analyso,Wal-,Balas,Al,Alegre,Maltez,Salve-me,Albyon,— Talvez,,,,,,,,,,,,,,
50,Fiel-,"Smi-
lhfigld",Smithfield,,,,,,,,,,,,,,,,,,,,
51,Ea,CR,Creança,Ureança,creança,travêssa creança,França,,,,,,,,,,,,,,,,
52,sé,Pó,sé póde,"Enin-

uem póde",,,,,,,,,,,,,,,,,,,
53,Flora,Qra,Aspirando,"ras
zão",tojeiras,Raparigas,Ralhavas,Raspai,lavras,Rara,Raras,Alegrar,Rar,Jecturar,Rasgue-a,Apndarar,Ágora,Rana,Beggar's Opera de Gray,Lara,Verduras,Narrativas,Dra
54,theatro de S. João,fr,torre de S. Francisco,Horas de Ocio,,,,,,,,,,,,,,,,,,,
55,Triste,christão,tristeza,io tristeza,Justeza,,,,,,,,,,,,,,,,,,
56,quaes,Ta,habituaes,portaes,chaes,taes,taes momentos,caes,Taes,coraes,voltaires,,,,,,,,,,,,
57,Julgo,Julgára,julgára,Julga-me,N,pára,Tomára,,,,,,,,,,,,,,,,
58,ezar,Luiza,Cinza,ZA,tóza,defeza,,,,,,,,,,,,,,,,,
59,Jockey,"Car-
Jos",Jos,Cos,Josophico,Cujos,jomem,Mostarda... Queijo,beijos,Osjogos,"aguas dos
rios caudalosos",,,,,,,,,,,,
60,Chico da Lousã,cida do baile,alameda do Repouso,Repouso,alameda lateral,rio da Villa,,,,,,,,,,,,,,,,,
61,aguas limpidas,Quasi,gv,aguas boas,quasi,uasi,,,,,,,,,,,,,,,,,
62,Achilles,elle cobria,Excellentissima,balbuciou elle,Leça,Mademoiselle,molle,Blle,Subia elle,elle,eflicacia delle,casa delle,nºelle,"Forte tola!

— B elle",elle bebe,casa d'elle,ran-ville,d'elle,Edo elle,collegio,,,
63,Olha,folha,alto da folha,Foz,,,,,,,,,,,,,,,,,,,
64,Yorkshire,Molire,Ir,Pires,Fevereiro,Irei,Queira,Rire-,Receio,Terreiro,Madeira,Madureira,Freixo,Verei,Terceira,Rua Ferreira Borges,Rua dos Caldeireiros,Rego Lameiro,,,,,
65,surprendia,Dizia,India,"di

zia",Diahia,Incendiar,Divina Comedia,Oiindo,,,,,,,,,,,,,,,
66,áquillo,tranquillisar,collo,adquiri,aquilio,Aquillo,Aquila Chrysaetos,,,,,,,,,,,,,,,,
67,Foscaris,Contas de Carlos,Cárlos,Foz o Carlitos,Carlos,Carlinhos,"pa

Carlos",Carmo,"Car-
los Whitestone","los
gar",,,,,,,,,,,,,
68,Chateau-Laflite,Tens-te,Sume-te,florete,Protegeste,Fiz-te,te,tenue,ete,Kate,Tejo,,,,,,,,,,,,
69,Diga-m'o,Digo,Commigo,go,ig,Codigo,Diga,,,,,,,,,,,,,,,,
70,loura lady,ur,jury,y,doura,Houris,Escriptura,sonhos dourados,Laura,Douro,,,,,,,,,,,,,
71,Vá!,Vá,,,,,,,,,,,,,,,,,,,,,
