cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0.0,Muriel,etle,amur,serieux,,,,,,,,
1.0,lacen',Lovelace,place  la Religion,aceomhpee,,,,,,,,
2.0,comtesse de Granville,comtesse de Granville-,Abbaye de Grance,Marie-Angelique de Granville,La comtesse de Granville,comtesse de Vande-,comtesse de VAn-,,,,,
3.0,sino,Orsini,Chinois,serino,basin,tamino,,,,,,
4.0,Rue,rue Feydeau,Bruel,,,,,,,,,
5.0,Hier,Modifier,io ae tier,singuliere,fier,Acier,Vierge,,,,,
6.0,Villa-Diodati,laVilla-Diodati,Iod,Villa-Diolati,Je0me,,,,,,,
7.0,Desir,nesiue,hesiter,,,,,,,,,
8.0,beaune,Beauffremont,Lune,beauce,Beau-,,,,,,,
9.0,Marie-Eugene,asie-ee,Bugey,Eugene,,,,,,,,
10.0,Pais,voyais,Chais,Fantaisie,Jamais,maison Janrenaud,Savais,laquais,,,,
11.0,iiisi,riis,isiG,,,,,,,,,
12.0,Lons-le-Seul-,Le-,peul-el,atGG7-lE:2,,,,,,,,
13.0,Ceres,riviberes,spheres,lumieressur,Freres,,,,,,,
14.0,sss-seeg,gseegir,"g:,eeg1",,,,,,,,,
15.0,Loquence,Jura,Providence,epoque,Influen,Experience,lui1,,,,,
16.0,Mar-,Ar-,Cimaros,,,,,,,,,
17.0,Irlande,Hollandais,VIande-,gand,inde,bandenne,toile de Ilollandel,Vande-,Avez,Wiland,,
18.0,Vienne,vienne,Etienne,Quotidienne,bienne,opiennriiaaoiai-ioeaitioe,mienne i-de A,,,,,
19.0,Genese,Geneve,viendrvez  Geneve,Genevois,la e Geneve,,,,,,,
20.0,aelaon,manuela,maniPre,Quels,Hoffmann,,,,,,,
21.0,Flori-,Floride,floride,Gloria,Florence,point-Florine,Florine,,,,,
22.0,PAris,Parisiens,"Paris d
Bilan","Paris,-impr",nario,paris,Paris,Tris-,Paris.-Impr,Parisien,,
23.0,l4elle,nelle,Iaqellela,Montemnisselle,I::ELLE,Telle,Quelle,,,,,
24.0,Redorer,decoloree,Honore,,,,,,,,,
25.0,com-],comnime pet,succomha,la Comtoise,Combien,CoMpte,,,,,,
26.0,Merveille,Merveilleux,Merveilles,,,,,,,,,
27.0,laborde,dAlbort,labb,,,,,,,,,
28.0,Perdu,Per-,,,,,,,,,,
29.0,chaine du Pilule,Pilule,oommiine aee,,,,,,,,,
30.0,Chambre,Champfort,Champmesle,Champagne,hamhre,,,,,,,
31.0,appa-]-Bt,Apprenez,Comprenez,,,,,,,,,
32.0,viagere,exageree,texas,Nager-,,,,,,,,
33.0,le Pont-Neuf,Pont-Neuf,apon,,,,,,,,,
34.0,Contrat,contrari io,Magistrature,Montrait,visconti,,,,,,,
35.0,Charnathan,Nathan,,,,,,,,,,
36.0,mademoiselle,temoin,oise,"mam de mademoiselle
cheval","mademoiselle d6
2",mademoiselle Mars,,,,,,
37.0,baie de Naples,rohe de chambre de merinos,Naples,rue de Ne-,,,,,,,,
38.0,Pr-,deWatteville,"Pr-
Watteville",watteville,maison Watteville,moselle de Watteville,Watteville,Motteville,do Walteville,Walteville,,
39.0,Vauchelles,Vauchel-,Vaucelles,,,,,,,,,
40.0,Italiens,italie,Talma,l Italie,Italie,l'Italie,ItALIE,alienee,IL A h0pital,Italien,d'Italie,Italienne
41.0,chezla,Cher,Sous-che,el blanche,Autriche,cachemire,,,,,,
42.0,les Rouxey,Rouxey,terre des Rouxey,lac des Rouxey,Les Rouxey,,,,,,,
43.0,veniel,Deniers,venise,genie,,,,,,,,
44.0,Dauphine,chine,Dauphin,,,,,,,,,
45.0,passion1,sion,occasionn,Assis,,,,,,,,
46.0,pognie,niens,Rubens,yens,Caniciens,Tiens,,,,,,
47.0,lAngleterre,Angleterre,,,,,,,,,,
48.0,Mont-,Gramont,Clermont-Mont-Saint-Jean,Montons,Montcornet,Mont-Cents,,,,,,
49.0,"GinGiiiiGGiti
avance eo",GinGiiiiGGiti,cGGEiiiGG,GiiiG,niaianaaani.aniiiGit',,,,,,,
50.0,Est,best,Besoin,,,,,,,,,
51.0,monie,Sidonie,Moniteur,lironie,,,,,,,,
52.0,Grande Chartreuse,Chartreux,Chartreuse,De la Grande-Chartreuse,,,,,,,,
53.0,lima,ImagE,Moyen-Age,Bagage,MIa-,,,,,,,
54.0,Etat,etat,,,,,,,,,,
55.0,Danse,Ansbac,soudan,danseuse,,,,,,,,
56.0,piece,eiec,oiecproeneni,la piece,,,,,,,,
57.0,Londres,blonde,yvggntsuee,londres,,,,,,,,
58.0,Brie,brin,thurins,Briinen,,,,,,,,
59.0,Yarese,serva,reserve,Nerve,,,,,,,,
60.0,F icHIgO,Clichy,saigon,,,,,,,,,
61.0,Quatre-Can-,lac des Quatre-Can-,lac des Quatre-Cantons,lac de ] ture,,,,,,,,
62.0,Mon cher,rue du cher,auberge du Cygne,A l cher,rue du Rocher,rue du Perron,porte du boudoir,,,,,
63.0,Legitimistes,pitie67,Legitimite,,,,,,,,,
64.0,Ei5G.IG,LG.I,,,,,,,,,,
65.0,Ral,Ralli-,Libral,Bit-,tralna,,,,,,,
66.0,bapaume,la paulo,la Provence,la Havane,,,,,,,,
67.0,FEnG',"engag,,gg","y,,g",,,,,,,,,
68.0,iIa,etiiarei.iei.vian5,,,,,,,,,,
69.0,Comdie Iuaine,Tine,maine,la maine,la vilaine,Comedia humaine,,,,,,
70.0,Philomeno,Philomene,Pbilomene,Philomene]. - A,Hhilomene,Phiilomene,,,,,,
71.0,"aa-inieooseeseese 1.%,,lg",Madinier,Virginie,--Gina,Wyiriciinie dirig,,,,,,,
72.0,Chavonicourt,Honcourt,Chavoncourt,Comit-Chavoncourt,goncourt,Chavocourt,,,,,,
73.0,Rable,Barbe-Bleue,Noblesse,blesse,Nobles,,,,,,,
74.0,bau-,au-,eau-rer,"au-
Contes",,,,,,,,
75.0,aGaiGrGGi,Iir,GiGGiiiridf,Gii,sIGGIl.iGiaGiGi,,,,,,,
76.0,phe,adolphe,Gandolphini,relaient  Rodolpheles,"Rodolphe1
Lignes",,,,,,,
77.0,st aigle,g.gle,glee,,,,,,,,,
78.0,Medilerranee,uno mobilit feb ile,Pile,vine-mile,sortileges,Filet,,,,,,
79.0,Francais,Theatre-Francais,Theatre,francais,noble Theatre-,,,,,,,
80.0,Egg,"g.leeggegg,,g,-,g,]L",egg,,,,,,,,,
81.0,gs e,bois es,Bois,,,,,,,,,
82.0,Caroline,Rivarol,Charivari,,,,,,,,,
83.0,Epictele at Spar-,gee,gteleygee,lhtel,,,,,,,,
84.0,Rodoz-,Rodol-,,,,,,,,,,
85.0,geegggeegee,gggegee,gggegiye,gAgegeeg2,,,,,,,,
86.0,Neuve,Neuve-des-Ma-,es-,rue Neuve-des-,Ma-,,,,,,,
