cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0,Laisse,Laissez-,ivartisseent,l1,Palais,Laissa,,,,,,,,,,,,,,,,
1,ALBERT.y,Albertauraitgimile,enthousiasmeALBERT,dAlbort,aaitbdALBERT,,,,,,,,,,,,,,,,,
2,Voil,Mafoil,Voie,Pouvoir,,,,,,,,,,,,,,,,,,
3,fiacre,don-  fiacre,,,,,,,,,,,,,,,,,,,,
4,Cour,septiemeiour,tour dujardin,Accourus,beacoup,Coulis-,missouri,Secou-,Cousteau,- Retournez,,,,,,,,,,,,
5,niens,pognie,Caniciens,Tiens,Combien,,,,,,,,,,,,,,,,,
6,Con-,Chalon-,conflee,Son-,"Fe-
Ln confidenee faito",congo,Dijon,,,,,,,,,,,,,,,
7,Watteville,Watts-,Motteville,deWatteville,watteville,Walteville,moselle de Watteville,maison Wattoville,patti,maison Watteville,"Pr-
Watteville",do Walteville,,,,,,,,,,
8,Belgrade,A belgrade,,,,,,,,,,,,,,,,,,,,
9,Philomene,Philombene,Phiilomene,Pbilomene,Philomeno,Philomene]. - A,Hhilomene,Philomee,,,,,,,,,,,,,,
10,etat,Batn,etablis,Etats romains,Etat,,,,,,,,,,,,,,,,,
11,see e  t,see elie,"aa-inieooseeseese 1.%,,lg",D5,,,,,,,,,,,,,,,,,,
12,Pense,Frappent,Fense,yens,"pensa-t-
- Poterol",Rubens,,,,,,,,,,,,,,,,
13,Irais,Serais,traijusqu,Arraiolos,bir,.m',Naurais-ie,iran,Marais,,,,,,,,,,,,,
14,Berne,Lucerne,Moderne,XI,canton de Lucerne,suceederun,,,,,,,,,,,,,,,,
15,Camps,C9SCa,Decamps,gPs,Camps-Hailyssdes,,,,,,,,,,,,,,,,,
