cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
0,Laisse,Laissez-,laquais,la Comtoise,Palais,Laissa,,,,,,,,,,,,,,,,,
1,Suisse,sUisse,Suisses,suis-,suisse,io ionis s suisse,Suppo-,tpoosuie,,,,,,,,,,,,,,,
2,ALBERT.y,Albertauraitgimile,enthousiasmeALBERT,dAlbort,aaitbdALBERT,,,,,,,,,,,,,,,,,,
3,Cour,Strasbourg,septiemeiour,tour dujardin,Bourse,Accourus,beacoup,Coulis-,missouri,Bourg,Secou-,Cousteau,- Retournez,,,,,,,,,,
4,niens,BOL0GNINI,pognie,Caniciens,Deniers,oiecproeneni,Tiens,yens,veniel,"pensa-t-
- Poterol",genie,Rubens,,,,,,,,,,,
5,Con-,visconti,Chalon-,conflee,Contrat,don-  fiacre,Son-,"Fe-
Ln confidenee faito","au-
Contes",congo,,,,,,,,,,,,,
6,Watteville,Watts-,Motteville,deWatteville,watteville,Watleville,Walteville,moselle de Watteville,maison Wattoville,maison Watteville,"Pr-
Watteville",do Walteville,,,,,,,,,,,
7,Philomene,Philomlne,Philombene,Phiilomene,Pbilomene,Philomeno,Philombne,Philomene]. - A,Hhilomene,Philomee,,,,,,,,,,,,,
8,see e  t,zee g-,see elie,l1,s6,douzibeme annee,"aa-inieooseeseese 1.%,,lg","La  e et
meuse heritiere de Besancon",gs e,mol mystee I,oommiine aee,,,,,,,,,,,,
9,Camps,C9SCa,Decamps,gPs,Camps-Hailyssdes,,,,,,,,,,,,,,,,,,
10,Grande-,Granet,grands Unies,Irlande,gand,Grandlieu,rende- ],Vande-,VIande-,,,,,,,,,,,,,,
11,lhtel,Alhel,Lh,Belzebulh,,,,,,,,,,,,,,,,,,,
12,epoque,AFrique,dafrique,,,,,,,,,,,,,,,,,,,,
13,L'Espagne,de l'Est,CC,Espagnols,Champagne,l'9e,Agnes,gnagne,Piemont el d'Espagne,,,,,,,,,,,,,,
14,tiennes7,mienne i-de A,vienne,liennes,Sicilienne,Parisiennes,lannes,Etienne,Vienne,nnes,bienne,Quotidienne,N,alienee,Italiennes,uo,Chilienne,ennes,,,,,
15,A]g,"E-----g-
maLaGA],.;.",--Je,,,,,,,,,,,,,,,,,,,,
16,Pont-Neuf,A,le Pont-Neuf,,,,,,,,,,,,,,,,,,,,
17,aag,Bagage,Aa,,,,,,,,,,,,,,,,,,,,
18,amur,Mu,Muriel,,,,,,,,,,,,,,,,,,,,
19,Sai,Saint-Honore,Saint-,Clermont-Mont-Saint-Jean,Saint-Herm,Saint-Gothard,Saint-Vier,rue Saint-Lazare,Sainte-Alliance,Sainte-Helene,Saint des Saints.-Il,Saint-Germain,Saint-Jean,sausaiianta,,,,,,,,,
20,Cus,R MIcuB,vecu,cus,us,,,,,,,,,,,,,,,,,,
21,gie,Virginie,sg]ie,h Iedm-,Voie,abb Giroud,aikGi,sIGGIl.iGiaGiGi,,,,,,,,,,,,,,,
22,Vandenesse,Desenchanfe-,Amende,"gende-
des monceaux",bandenne,Yandenesse,Vandenessse,,,,,,,,,,,,,,,,
23,Simplon,sion,Asilotinsie,passion1,reunion,contrari io,occasionn,Tions,Io monet,Lections,Dition,,,,,,,,,,,,
24,vis-l-vis,Bois,isiG,is,miniSt,bois es,sot vis-l-vis,B,Tris-,riis,oise,Crois-tu,Assis,alis,Mise,,,,,,,,
25,soire,le caire,Loire,E:;:e,Moire,XI,vire,bir,soiree,Pouvoir,,,,,,,,,,,,,
26,Besacon,besancon,Blanco,Besaneon,A Besancon,Besancon,Besan-,Besangcon,Desancon,,,,,,,,,,,,,,
27,Hollandais,Anglais,lAngleterre,Anglaise,Anglais.-,Fantaisie,st aigle,,,,,,,,,,,,,,,,
