cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79
-1,À,Sd,salie!.,m'’effraya,rue Lanterne,Î,APE D Bit,Lombards,Mademoiselle,O,guide-ballon n’,Bhagiratha,péaïre,Tiens,Inde,mitra,Cahier,J',noble n’,"march

de café",Porcelaines,Ser-,Roberte,Parthénon,lit n’,Saint-Pétersbourg,Parole!.,"BABAROTTES 17

LS",Nathalie,"-

Moi",dr rs,AE,trompe-la-mort,Vatel,Mathurin,miséra-a-ble!,Bernerette,recopiât,"Ps

A ii

D",Lamartine d’Elvire,Cuba,Blanc,Hospitalier,uma,ÉD E,Maintenant,A TRUE,S CR,rue de Lille,Rendez,égaya,C’,Chauve-Souris,Pme,Lyon,Robinson,lui!.,Fouillant,Rana-Valo,-je,îles Marquises,Vieux-Collège,Mlle,Allez,Prés-Saint-Gervais,Bonsoir,Voudrait-,Cadet,""" -

Re",Jardin des Plantes,Pilons,rue Saint-Benoît,Latin,Irlandais,soleil,Observatoire,Vêché,Holà,tueras là-haut,Sar-
0,Ê,j’,D,"Ù
Ê",t’,F,Ë,m’,Æ,Lx,Pc,Rà,S,I,P,A,È,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"RÊVE 229

D",RÊVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Odéon,wagon,d’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cunocépa,Océan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,le Midi,Midi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Neuf-des-Papes,Dsnemeete- Di,Château-,"Château-
Neuf-des-Papes",EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Magasin-,Magasins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Toto do do dd,oo ot oo todo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tolocototignan,tolocototignan,Toloco-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
