cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,Bamba,Bambin,Cuba,Bach’,bah,Lombards,,,,,,,,
1,TS,P TS,À,Escargots,,,,,,,,,,
2,ILE,80 LE,IL,Filet,MIle,lilas,soleil,,,,,,,
3,Grand-Cercle,Petit-Cercle,Grand-Orient,,,,,,,,,,,
4,RCE,RCE S ON,Turc,Porcelaines,Nice,m’,«Ce,,,,,,,
5,jusqu’,Jusque,qu’,Vénus,,,,,,,,,,
6,principal,Pc,principal n’,"Ù
Ê",Port-au-Prince,,,,,,,,,
7,veux-tu,Eu,songeuse,Eux,F,Malheureuse-,,,,,,,,
8,Egypte,pyramide d'Egypte,,,,,,,,,,,,
9,Montparnasse,théâtre Montparnasse,Embrasse,boulevard Montparnasse,,,,,,,,,,
10,oo ot oo todo,tolocototignan,Tolocototignan,Toloco-,,,,,,,,,,
11,LA BÊTE A BON DIEU,LA BÊTE À BON DIEU,LA BÊTE A BON,Ë,"LA BÊTE A BON DIEU

Quoi donc ?

LE PAPILLON",Ê,,,,,,,,
12,Pier-,Nizier,Pie,Mlle Pier-,Cahier,Sar-,,,,,,,,
13,TES,Scarabées,Amalécites,TE,Carmélites,"Tes

l’air",Jardin des Plantes,,,,,,,
14,Rà,"CRISTAUX
Ancienne Maison Alouette

|
|
|
ASSIETTE ET PIERROT",Assiette,Passions,ASSIETTE,Grossiers,Mne Evyssette,,,,,,,
15,Garlande,Sarlande,Bandit,chemin de Garlande,Irlandais,Garlande!.,,,,,,,,
16,S,Gymnase,Anastasie,Anastagille,,,,,,,,,,
17,Sd,théâtre de Paris Quant,théâtre de Paris,,,,,,,,,,,
18,Rome,Rogé,Promettez,trompe-la-mort,d’,,,,,,,,,
19,Pruneaux,Beaux,Beaucaire,bordeaux,Faust,Sceaux,,,,,,,,
20,"Es-tu
retourné",Muguet,Trouves-tu mon Muguet,"-

Moi",t’,A,,,,,,,,
21,Quartier Latin,Quartier-,Moustier,"Quartier
Latin!","Quartier
Latin",Quartier-Latin,Lamartine d’Elvire,Latin,,,,,,
22,Chelle,Grenelle,Rosellen,Mademoiselle,tonnelle,Rose,Le Rosellen,,,,,,,
23,Université,rs,Rs,dr rs,j’,,,,,,,,,
24,"RÊVE 229

D",RÊVE,,,,,,,,,,,,
25,Bravo,Brave,,,,,,,,,,,,
26,EE,Dsnemeete- Di,,,,,,,,,,,,
27,crachaïet,sur-le-champ,champagne,Champenoise,d’Espagne,,,,,,,,,
28,Saint-Emilion,rue Saint-Benoît,Saint-Esprit,Saint-,Saint-Nizier,église Saint-Pierre,Saint-Cloud,Saint-Pétersbourg,Saint-Pierre,Saint-Théophile,,,,
29,gros Serrières,tapissères,Serrières,Sèvres,serrure,,,,,,,,,
30,Montélimar,mont-de-piété,Mont-,mnt,honte!.,Montez,Montmartre,Odéon,,,,,,
31,Précédé,brésil,Prés,sabré,,,,,,,,,,
32,Magasins,Robinson,égaya,Magasin-,,,,,,,,,,
33,"Bati-
gnolles",Batignolles,,,,,,,,,,,,
34,Inde,Rendez,DE,Cadet,Regardez,DER,Æ,mastoïdes,Providence,,,,,
35,Religion,Entrerai-je,RER R RER,recopiât,péaïre,RER,Figurez,"L dé

 

RER R RER",guipure,TIRER,Observatoire,SRE,""" -

Re",
36,Fouillant,Saint-Guillaume,rue Saint-Guillaume,"rue
Saint-Guillaume",,,,,,,,,,
37,m'’écrivaient,m'’inspiraient,m'’introduire,m'’invitait,n'’irai,m'’effraya,,,,,,,,
38,baie de Naples,CLEFS DE M. VIOT,"march

de café",noble n’,"S

Je dois dire","Bibliothèque nationale de France

4 LE PETIT CHOSE

ro

 

DE

 

 

 

S

Je dois dire",-je,Toto do do dd,160 LE PETIT,APE D Bit,PA fesse RD,,,
39,trouverez là-bas des amis,Ià-bas,irons /à-bas,Bas,ner là-bas,,,,,,,,,
40,Musette,Lanouette,Fouette,goutte,Alouette,,,,,,,,,
41,Caveau,Savez,Avez,,,,,,,,,,,
42,lui!.,Langlumeau,Angélus,Génès,Languedoc,les Angélus,,,,,,,,
43,mois!.,Vois,Voilà,Voyez,Sois,,,,,,,,,
44,mans,Germanie,Daniel,C’,Lakçamana,,,,,,,,,
45,Bonsoir,—- Bonjour,Anjou,,,,,,,,,,,
