cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13
0,Vois,Voilà,Sois,mois!.,l’,,,,,,,,,
1,Bambin,Rogé,Colombine,Génès,Robinson,,,,,,,,,
2,Fougeroux,Pérou,MEL,bah,,,,,,,,,,
3,Alfort,Infortunes,École d’Alfort,«Ce,trompe-la-mort,Emporte,S,,,,,,,
4,LES,Naples,les Angélus,Les Chenilles,sûles,,,,,,,,,
5,mans,la manche,Or,Voyez,Lakçamana,,,,,,,,,
6,boulevard Montparnasse,Montparnasse,"-

Moi",ÉD E,théâtre Montparnasse,,,,,,,,,
7,RCE,Is,RCE S ON,,,,,,,,,,,
8,"L dé

 

RER R RER",dr rs,RER R RER,""" -

Re",,,,,,,,,,
9,Neuf-des-Papes,gardes-du-corps,"Château-
Neuf-des-Papes",,,,,,,,,,,
10,Signe,Guigne,Notre-Seigneur,rs,bésigne,Seigneur,,,,,,,,
11,Écoutez,Courage,—- Bonjour,Çdura,-je,,,,,,,,,
12,Sd,salie!.,Italie,Italiens,t’,Nathalie,Hospitalier,Italien,I,l'Italie,,,,
13,Viçva-,O,j’,LS,Pme,Bohême,Holà,,,,,,,
14,DER,Jugez,Palais-Royal,Palais-Mazarin,Palerme,,,,,,,,,
15,Nous vivions,Passions,Religion,Poussé,Bonsoir,,,,,,,,,
16,CLEFS DE M. VIOT,"march

de café",VIOT,baie de Naples,uma,mnt,,,,,,,,
17,Anastasie,mastoïdes,Magasin-,Magasins,Gymnase,Rana-Valo,Anastagille,,,,,,,
18,rue Lanterne,Rue des Dames,rue des Dames,Océan,rue de Lille,s’,Cadet,Jardin des Plantes,,,,,,
19,Prairie,la Prairie,Rio,Voudrait-,Nice,,,,,,,,,
20,Sceaux,Pruneaux,EPS,bordeaux,Bamba,Beaux,Château-,,,,,,,
21,Cahier,Grossiers,wagon,Moustier,Nizier,,,,,,,,,
22,veux-tu,Fanfan-la-Tulipe,Eux,Sar-,,,,,,,,,,
23,Saint-Théophile,église Saint-Pierre,Saint-,Saint-Pétersbourg,Anjou,Saint-Esprit,Saint-Nizier,Saint-Pierre,P,rue Saint-Benoît,Saint-Emilion,Saint-Cloud,,
24,le Midi,noble n’,lit n’,miséra-a-ble!,Impossible,,,,,,,,,
25,péaïre,Port-au-Prince,principal,Mathurin,principal n’,,,,,,,,,
26,guide-ballon n’,Papillon,PAPILLON,"PAPILLON

Je crois bien!","PAPILLON

C’","PAPILLON

On l’",Grillon,"PAPILLON
Es-du bête!

Si",Lx,cimetière des Papillons,"PAPILLON
Chut","PAPILLON

Est",Pilons,"PAPILLON S
Ah!"
27,Î,Carmélites,TES,DE,Escargots,Amalécites,,,,,,,,
28,D,DAME,Dame,d’,victoria de la dame,,,,,,,,,
29,"Tes

l’air",A l’aube,,,,,,,,,,,,
30,"Pierrotte!

Pierrotte",Pierrotte,"BABAROTTES 17

LS","Pierrotte…
Est",Pierrotte s’,Mile Pierrotte,Mie Pierrotte,,,,,,,
31,Tolocototignan,tolocototignan,Toto do do dd,Toloco-,,,,,,,,,,
32,À,Sitôt,Arrêtez,"FETE

AE",LA BÊTE A BON DIEU,Agen,recopiât,"LA BÊTE A BON DIEU

Quoi donc ?

LE PAPILLON",LA BÊTE À BON DIEU,LA BÊTE A BON,,,,
33,Marsala,Karatçala,Lala-toul,Scarabées,Araignée,Vive,,,,,,,,
34,Rome,"mer

 

 

 

 

LE ROMAN DE PIERRETTE","mer

 

 

 

 

LE ROMAN","FER 97

Sd",,,,,,,,,,
35,Grenelle,tonnelle,J',Polichinelle,égaya,Chinois,Chine,,,,,,,
36,ILE,MIle,IL,Cap,Filet,,,,,,,,,
37,SAUMON,SAUMON 175,Saumon,,,,,,,,,,,
38,Angélus,F,Languedoc,Langlumeau,Muguet,,,,,,,,,
39,Raspail,Embrasse,m'’asseoir,Bravo,tueras là-haut,,,,,,,,,
40,APE D Bit,Providence,pyramide d'Egypte,S CR,Annon,Midi,,,,,,,,
41,Soubeyrol,Souwaroff,Chauve-Souris,,,,,,,,,,,
42,"Pt

 

 

 

LL","ENLÈVEMENT 221

LE LL LPS Tu

 

 

Pme",LL LL Sd,LT LS,LL LPS,,,,,,,,,
43,critérium!.,Fer,Écris,Nécro-,Cristaux,,,,,,,,,
44,Barbette… Allons!,Barbette,Barbette!.,,,,,,,,,,,
45,Figurez,Malheureuse-,Egypte,guipure,beurrées,songeuse,,,,,,,,
46,Attention,s’entr’,m'’entraînant,Entrerai-je,,,,,,,,,,
47,Lombards,Chardon,Parthénon,Pardon,Regardez,,,,,,,,,
48,Rhône,le Rhône,Le Rhône,,,,,,,,,,,
49,Montez,Montélimar,Mont-,mont-de-piété,Montmartre,,,,,,,,,
50,Petit Chose,"CHOSE

Tr

 

 

 

tot",Chose,"CHOSE

RSS RER E SE R",,,,,,,,,,
51,Ë,LS So,EE,,,,,,,,,,,
52,Lo,TS,Bhagiratha,m'’invitait,m'’introduire,m'’inspiraient,m'’écrivaient,n'’irai,,,,,,
53,Quels,Laquelle,Quelque,Mécalque,Quelquefois,,,,,,,,,
