cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,Es,Garde-les,cr’,ues¬,Presse,Reste,destination1,Est,"compagnes,-",Sites,N0CES,Pres,"Es 

2é",Paques,.l,,,
1,"A -.4
e.
s4
 ¬
e’",e.-¬ſ,dſ,"I
E¬",-.s,.4o,,,,,,,,,,,,
2,ine1,Sylvain,ne186,Copine,ne2,Devinez,,,,,,,,,,,,
3,c0,mitan-c0te,nimitz,MI0N,Jean-Claude,,,,,,,,,,,,,
4,"a5 d
¬
en et de  e ’ n e pr","S  e et  e¬
e eaa e e t",A32,"L ’
t e 2",A e,N  e,Aa,S  e,"erP¬
 
E",,,,,,,,,
5,Saint-Brunelle,t-on Ftt-cel,Saint-Brunclle,"Saint-
Brunelle",Saint-,fontaine Sainte-Radegonde,"Tout
Saint-Brunelle",Brunelle,,,,,,,,,,
6,pre Roux,S re,leproux,p re de’,,,,,,,,,,,,,,
7,1(3,S,,,,,,,,,,,,,,,,
8,i-,L-------,I------------,geo-’--’e,pays.r---,g-----,s--,t------------------------,LL-.----------==-=x=-MON,,,,,,,,,
9,¬¬,Decins,Poulains,Notre medecin,,,,,,,,,,,,,,
10,Tour-,Tournez,Yer-,,,,,,,,,,,,,,,
11,Tache,n¬,prechez,precher,Cachez,Comprenez,Ia,,,,,,,,,,,
12,Inou,Norine,rip’2,V',brin,Norne,Norinc,"Origine
Pauvre",Nosine,oRIGine,,,,,,,,
13,ficux,cus,vecu,A1,couseuses,,,,,,,,,,,,,
14,Carriere-Fondue,-F,carrieres,A,,,,,,,,,,,,,,
15,aorrs,rs,Or,,,,,,,,,,,,,,,
16,-:¬,e’,E’,le’,ee’,E e’e’,,,,,,,,,,,,
17,ſ’,J',,,,,,,,,,,,,,,,
18,OY VILLAGE,B,"de1
-

MON VILLAGE",MO vILLAGE,L2,IL vILLAGE,"Rose
MON VILLAGE",MI0N VILLAGE,vILLAGE,MO N VILLAGE,GION VILLAGE,CISION VILLAGE,,,,,,
19,Tellier,Cellier,E,FRUCTUEUx COLLIER,piece,Cel-,,,,,,,,,,,,
20,Palais-Royal,AL,palais-Royal,Crois-tu,,,,,,,,,,,,,,
21,t13,13I,T1I,,,,,,,,,,,,,,,
22,VI1PLAGE,i17,VI1LAGE,,,,,,,,,,,,,,,
23,beni,Berenice,rer,nice,enterrement198,,,,,,,,,,,,,
24,m-,Nom-de-Nom,e-de,de-Nom,,,,,,,,,,,,,,
25,charbon.t6,Honnete,Bonnets,garonne,colonne Vend0me,,,,,,,,,,,,,
26,queue-leu-leu,L-1,Seuil-,endeuille,,,,,,,,,,,,,,
27,buis-l,bu-,buis,MN,,,,,,,,,,,,,,
