cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
0,palais-Royal,Palais-Royal,AL,,,,,,,,,,,,,,,,,,,
1,Jean-Claude,-:¬,Jean-,dſ,,,,,,,,,,,,,,,,,,
2,mitan-c0te,MI0N,nimitz,c0,B,,,,,,,,,,,,,,,,,
3,Sites,Es,Est,"Es 

2é","compagnes,-",Paques,ues¬,Garde-les,N0CES,destination1,,,,,,,,,,,,
4,Voyez,OY,Savoyard,Yer-,e,,,,,,,,,,,,,,,,,
5,Berenice,rer,n¬,nice,beni,,,,,,,,,,,,,,,,,
6,ee,Veeree3,Lamariee,A’5,-eeAi,O,¬1,ieee¬,"S’
tSee",eee¬,Eeeeile,decoree,lee5,Aee,ee’,,,,,,,
7,leproux,pre Roux,,,,,,,,,,,,,,,,,,,,
8,Voil,IL,Voie,E,,,,,,,,,,,,,,,,,,
9,cus,Q,ficux,couseuses,vecu,,,,,,,,,,,,,,,,,
10,Norine,brin,rip’2,Norinc,,,,,,,,,,,,,,,,,,
11,Agreez,a Agreez,Figurez,,,,,,,,,,,,,,,,,,,
12,Vierge,HIer,vienne,ger,lſvie,¬2¬,A32,,,,,,,,,,,,,,,
13,blame,blay,L]MADAME,,,,,,,,,,,,,,,,,,,
14,Armandie,maroc,Artaban,Vermand,Lãdi,MN,Arman-,Dizy,Maman,,,,,,,,,,,,,
15,IIlMON V1LAGE,GION V1LAGE,M1ON V1LAGE,MON v1LAGE,venir?MON V1LAGE,dragon,V1LAGE,MO N V1LAGE,MoN V1LAGE,MON V1LAGE,P  v,VI1LAGE,MO,montagne blanche,,,,,,,,
16,¬5,Tournez,Tour-,,,,,,,,,,,,,,,,,,,
17,Cadet Lambin,t6t  la danse,sT 1,La ratp¬.,L L,,,,,,,,,,,,,,,,,
18,"Saint-
Brunelle",Brunelle,Saint-Brunelle,Sylvain,"Tout
Saint-Brunelle",fontaine Sainte-Radegonde,Saint-,Saint-Brunclle,,,,,,,,,,,,,,
19,Bonnets,colonne Vend0me,charbon.t6,Honnete,Bonsoir,garonne,,,,,,,,,,,,,,,,
20,"Clarisse
Manot",Clarisse,Manot,,,,,,,,,,,,,,,,,,,
21,S re,A e,S  e,g2yI,N  e,"S  d
’

a.",,,,,,,,,,,,,,,,
22,et’,etais,Ai,ETc,lEtat,A,,,,,,,,,,,,,,,,
23,lh-dessusAotyde-,Desire,lir,I,Dsirce,D6sire,,,,,,,,,,,,,,,,
24,Le soleil,ILe metier,"ecole
 S¬",mele,soleil,isle f s3,,,,,,,,,,,,,,,,
25,t------------------------,I------------,¬¬,L-------,pays.r---,i-,LL-.----------==-=x=-MON,g-----,geo-’--’e,s--,,,,,,,,,,,,
26,Comprenez,Reste,Pres,Presse,,,,,,,,,,,,,,,,,,
27,S,Toinon,Aa,Inou,toi,union,mre h Toinon,,,,,,,,,,,,,,,
28,Seuil-,L-1,,,,,,,,,,,,,,,,,,,,
29,Parisien,Tiens,Parisiens,"sa-
christie",Par,Paris,cr’,sens.0N,,,,,,,,,,,,,,
30,Eſss,Assure,Basset,Assis,Cassiopeel,si',M01SSONl,,,,,,,,,,,,,,,
31,paule,"Origine
Pauvre",oRIGine,Ouvrezl,,,,,,,,,,,,,,,,,,
32,precher,Tache,prechez,Cachez,,,,,,,,,,,,,,,,,,
33,VI1PLAGE,IL vILLAGE,MO vILLAGE,"de1
-

MON VILLAGE",OY VILLAGE,MO N VILLAGE,CISION VILLAGE,vILLAGE,"Rose
MON VILLAGE",GION VILLAGE,MI0N VILLAGE,,,,,,,,,,,
34,Cran,la France,Ceran,Fran-,France Tiens,France,,,,,,,,,,,,,,,,
35,Av,VE,Avez,Venez,,,,,,,,,,,,,,,,,,
36,bras-le-corps,barras-lh,Ml'aimeras-tu,As-,Las,S-r S-l e,.as¬,S-,,,,,,,,,,,,,,
37,S-e ’e3,J',S-e ’,"P

’ 
s",S-e,,,,,,,,,,,,,,,,,
38,V',Crois-tu,buis-l,buis,bu-,,,,,,,,,,,,,,,,,
