cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5
-1,Fahrmann,Waterloo,Canada,Tellme,n’t,before’em
0,Portugal,de Portugal,,,,
1,Mrs.!Davenport,Davenport,,,,
2,Holyhead,beaux,Death,,,
3,Barton,Skelton,Continent,Toronto,,
4,London,lOndon,,,,
5,thou,Blackthorne,Thou,,,
6,Borgia,Halifax,CALIFORNIA,,,
7,Sophy,TA,Goptaatt,,,
8,China,Alnaschar,inn,,,
9,Buckinghamshire,Lancashire,Ritling,Yorkshire,,
10,OLDHAM,Oldham,,,,
11,Old England,England,Westmoreland,Cumberland,Wesse,Rose
12,Golden,Providence,,,,
13,Christ,St. Patriot’s,,,,
14,New Bailey,Newson,Jew,,,
15,the’gown,Glasgow,,,,
16,wi,know-,Sorrowfully,Willows,,
17,America,Richer,"mercy,—he",,,
18,Foolishest,chester,Manchester,Liverpool,,
19,the Isle of Man,the United Stated,Isle,the John Copper,,
20,Clem,Helen,LEIPZIG,,,
