cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,thou,Holyhead,the’gown,Blackthorne,Thou,,,,,,
1,Toronto,Continent,Rose,Barton,Skelton,,,,,,
2,America,Oldham,Golden,OLDHAM,Alnaschar,,,,,,
3,Isle,the Isle of Man,Clem,LEIPZIG,Helen,,,,,,
4,inn,Ritling,Fahrmann,China,,,,,,,
5,England,Glasgow,Old England,Cumberland,Westmoreland,,,,,,
6,Portugal,de Portugal,,,,,,,,,
7,n’t,Newson,New Bailey,Jew,Sophy,,,,,,
8,Davenport,Liverpool,Mrs.!Davenport,,,,,,,,
9,Providence,Goptaatt,St. Patriot’s,Death,beaux,,,,,,
10,Halifax,CALIFORNIA,before’em,Borgia,,,,,,,
11,Buckinghamshire,Yorkshire,Lancashire,Canada,,,,,,,
12,Foolishest,Manchester,Waterloo,Christ,the United Stated,Richer,the John Copper,chester,"mercy,—he",TA,Wesse
13,London,lOndon,,,,,,,,,
14,know-,Willows,Sorrowfully,Tellme,wi,,,,,,
