cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,de Portugal,Portugal,,,,,,,,
1,Davenport,Mrs.!Davenport,Liverpool,,,,,,,
2,London,lOndon,,,,,,,,
3,TA,Goptaatt,,,,,,,,
4,Jew,Newson,Sophy,New Bailey,,,,,,
5,Death,Providence,beaux,St. Patriot’s,,,,,,
6,Canada,Lancashire,Yorkshire,Buckinghamshire,,,,,,
7,CALIFORNIA,before’em,Halifax,Borgia,,,,,,
8,America,Golden,Oldham,Alnaschar,OLDHAM,,,,,
9,Tellme,Willows,Sorrowfully,know-,wi,,,,,
10,Barton,Rose,Continent,Skelton,Toronto,,,,,
11,Cumberland,n’t,England,Glasgow,Westmoreland,Old England,,,,
12,LEIPZIG,Helen,Isle,the Isle of Man,Clem,,,,,
13,China,Ritling,Fahrmann,inn,,,,,,
14,Waterloo,Foolishest,Manchester,Christ,Wesse,the United Stated,"mercy,—he",Richer,chester,the John Copper
15,Blackthorne,thou,Holyhead,the’gown,Thou,,,,,
