cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
-1,Waterloo,Canada,Rose,n’t,Tellme,Willows,before’em,Ritling,Sorrowfully,know-,wi,Fahrmann
0,China,Alnaschar,inn,,,,,,,,,
1,CALIFORNIA,Halifax,Borgia,,,,,,,,,
2,Lancashire,Yorkshire,Buckinghamshire,,,,,,,,,
3,Glasgow,the’gown,,,,,,,,,,
4,the United Stated,Isle,the Isle of Man,the John Copper,,,,,,,,
5,LEIPZIG,Helen,Clem,,,,,,,,,
6,Jew,Newson,New Bailey,,,,,,,,,
7,America,"mercy,—he",Richer,,,,,,,,,
8,Foolishest,Manchester,Liverpool,chester,,,,,,,,
9,Christ,St. Patriot’s,,,,,,,,,,
10,Cumberland,Wesse,England,Westmoreland,Old England,,,,,,,
11,Golden,Providence,,,,,,,,,,
12,Oldham,OLDHAM,,,,,,,,,,
13,TA,Sophy,Goptaatt,,,,,,,,,
14,Barton,Continent,Skelton,Toronto,,,,,,,,
15,London,lOndon,,,,,,,,,,
16,Blackthorne,thou,Thou,,,,,,,,,
17,Death,beaux,Holyhead,,,,,,,,,
18,de Portugal,Portugal,,,,,,,,,,
19,Davenport,Mrs.!Davenport,,,,,,,,,,
