cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96,elem_97,elem_98,elem_99,elem_100,elem_101,elem_102,elem_103,elem_104,elem_105,elem_106,elem_107,elem_108,elem_109
-1,gardeE CHATEAU DE SINON,lavie,legerLE CHATEAU DE SINON,crivit,mademoiselle,Pignerol,etpour,Chapelain,Y0us,lens,Audincourt,"place de Jo-
guet",mantes,h98,HI1I0,jardin des Hlesperides,E CHEVEAU DE SINON,moselle de Rochefort,265s,f,"chateau
de Sinon",jijel,CHAPEAU,m42,CANIVEAU,Ig,oise,Rochefort,seau,l06,Carrousel,laLE CHATEAU DE SINON,Ellement,Ohl,Turin,esperance,precher,S,- Fort,po,chose3,lavaitpas repetee,Mesdemoiselles,CHIIATSAU D SINON,CATEAU bDE SINON,philosophiquemenl,D,Corcy,Desmonte,-Ilfaut,Cedez,PINO,Francois I,E,t0t peut-tre,J',Navarre,M. de Roucy,terre de Sinon,".,-",sonarrivee,AA,montre272  LE CHATEAU D SINON,I,eleganceLE CHATEAU bDE SINON,crmonie,CHATEAU D INON,beate,verroux,palais de la reine,Jo-,Normandie,jattendrai,-Desprez,som-170,Ani-,L.L,Vovray,chteau de Sissone,M,chard,chateau de Fayel,"tra-252
LE CHATEAU DE SINON",Nousdemeureronstouteslesdeux,Madame.1,detoue,IM,chteau de Sinon,Aixin,Malade-,- Oit,CHATEAU DE PrO.,A62,folatre et gra-LE CHATEAU DE SINON,A,Eh,soleil,emeraudes,Fontainebleau,Mothe-Houdancourt,chavannes,F0te-LE CHATEAU- DE SINON,Jirai,Remont,--- Oui,"decouvre2
- Je",Vraiment?LE CHATEAU D SINON,monseigneur'e-LE CATEAU,Aizy,Enfer-
0,A01,I9,I.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,perduelIIIIIIII,"II

iii
IIIII
Lettre",II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,h ce324,ce324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Croix-Blanchie,Croix-Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,obeir,D yo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,g328,Doncule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,au-,celui-l !,au102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,jura,san-,Jeudi-,sa116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,pays-c,pays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,dehorsne,alors7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Albret,dAlbret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
