cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44
0,pre,-Prenez,precher,Navarre,-Desprez,Apres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,de Versailles,chateau de Versailles,emeraudes,Remont  Versailles,Versailles,D yo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ursulines de,palais de la reine,dehorsne,Ursulines,jardin des Hlesperides,Turin,couvent des Ursulines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,france,Inconsequence,S,grace,Francois I,de France,esperance,Cour de France,deFrance,la France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Coucy,Corcy,Roucy,Coucy ',M,lucy,Lucy,ducdOr-,RoUcY.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Jo-,Jouet,-Jouet,detoue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mortagne,gne,Espagne,neth,Allemagne,Champagne,Pignerol,menez,espagne,Bourgogne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CHAPEAU DE SINON,LL CHATEAU D SINON,CHATEAU DE INON,HAMEAU DE SINON,F0te-LE CHATEAU- DE SINON,EE CHATEAU DE SINON,aLIL CHAPEAU DE SINON,eleganceLE CHATEAU bDE SINON,CHATEAU D SINON,"chateau
de Sinon",265s,E CHEVEAU DE SINON,CHATEAU DE SiNON,CHA1EAU DE SINON,hol-LE CHATEAU DE SINON,CHATEAU DE PrO.,CHATEAU E SINON,E CHATEAU DE SINON,chateau de Fayel,CHATEAU DE SINON,gardeE CHATEAU DE SINON,Vraiment?LE CHATEAU D SINON,montre272  LE CHATEAU D SINON,CHATEAU DE P1NON,laLE CHATEAU DE SINON,CHATEAU D INON,legerLE CHATEAU DE SINON,terre de Sinon,CATEAU bDE SINON,CHATEAU bUE SINON,chteau de Sinon,Ls CHATEAU DE SINON,"tra-252
LE CHATEAU DE SINON",CHATEAU DE 1INON,LI CHATEAU DE SINON,lom-LE CHATEAU DE SINON,lob-LE CHATEAU DE SINON,chteau de Sissone,IE CHATEAU DE SINON,folatre et gra-LE CHATEAU DE SINON,CHAPITEAU E SINON,CHATEAU dE SINON,DE P1NON,CHATEAU DE PIGNON,CHIIATSAU D SINON
9,lille,notrefamille,gill4e,soleil,Illes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Louison Beaupr.292 Lt CA'TAbOU,Louison,Oh l Louison,-Louison,AA,loux,Louis-le-Gros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sinon h Anizy,".,-",Sinon,INON,P1NON,Sion,SINoN.,J',sine,Noyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,tour,houx,--Tout,toul,luitournt,Tours,jura,m42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,dents.306,beni,denis,Venise,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,fepondre,repondre,po,foret de Rencontre,dres,Flandre,Remont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Dieuni,- Oit,Dit,crivit,Jeudi-,tradition124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
