cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27
0.0,tour,Tours,Jo-,luitournt,,,,,,,,,,,,,,,,,,,,,,,,
1.0,menez,-Prenez,philosophiquemenl,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Voyez,Croyez-,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,toul,detoue,oula,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,visage1LE,Visage,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,tradition124,Sion,Dit,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,DE P1NON,P1NON,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Lameth,Bussy-La-,Bussy-Lameth,Bussy-Lumeth,neth,Madame.1,,,,,,,,,,,,,,,,,,,,,,
8.0,Chapelain,CHAPEAU DE SINON,CHAPEAU,aLIL CHAPEAU DE SINON,CHAPITEAU E SINON,CHA1EAU DE SINON,terre de Sinon,HAMEAU DE SINON,,,,,,,,,,,,,,,,,,,,
9.0,Laon,Laon f,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Fier,piers,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Est,qiestiohher,geste282,Cest,,,,,,,,,,,,,,,,,,,,,,,,
12.0,Minence,Providence,Inconsequence,Vovray,,,,,,,,,,,,,,,,,,,,,,,,
13.0,moselle de Roucy,selle de Roucy,moselle de Rochefort,Mademoiselle de Roucy,M. de Roucy,chambre de mademoiselle de Roucy,,,,,,,,,,,,,,,,,,,,,,
14.0,comtesse de Lamelh,Lamelh,Jeudi-,palais de la reine,,,,,,,,,,,,,,,,,,,,,,,,
15.0,Helas,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,Ursulines,Bouvines,Ursulines de,couvent des Ursulines,,,,,,,,,,,,,,,,,,,,,,,,
17.0,parc d'Anizy,Anizy,chteau d'Anizy,Ani-,Aizy,,,,,,,,,,,,,,,,,,,,,,,
18.0,Lanuit,Clan,galantin,elana,Langle,clat,,,,,,,,,,,,,,,,,,,,,,
19.0,gazette7,Belette,Henriette,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,-Louison,Oh l Louison,Louison Beaupr.292 Lt CA'TAbOU,Prison,Louis-le-Gros,Louison,,,,,,,,,,,,,,,,,,,,,,
21.0,d0un e pouvez,Trouvez-,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,oise,Vaudois,emeraudes,Dubois,,,,,,,,,,,,,,,,,,,,,,,,
23.0,perduelIIIIIIII,"II

iii
IIIII
Lettre",au-,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,La Mothe,Mothe,Lamothe,Mothe-Houdancourt,,,,,,,,,,,,,,,,,,,,,,,,
25.0,leroi,ler,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,mademoiselle,Mesdemoiselles,celui-l !,Nousdemeureronstouteslesdeux,MOI,,,,,,,,,,,,,,,,,,,,,,,
27.0,precher,pre,-Desprez,Apres,,,,,,,,,,,,,,,,,,,,,,,,
28.0,r-----.-.-,---Je,--Je,CL.---202,,,,,,,,,,,,,,,,,,,,,,,,
29.0,denis,Venise,beni,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,Illes,lille,gill4e,notrefamille,belle-fille',t0t peut-tre,Villers-Cotterets,,,,,,,,,,,,,,,,,,,,,
31.0,"Cour'
Vous avez done oublie",VOus,Rappelez-vousLE,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,Desmonte,crmonie,Remont,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,carioledeM. Ceux-de-Roy,Cour-de-Roy,Coeur-de-Roy,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,tomber332,Lambertremit,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,lavie,Chavigon,Chavignon,Pignon,chavannes,,,,,,,,,,,,,,,,,,,,,,,
36.0,Jusquici,Quincy,alors7,equipagcs,Fresque,,,,,,,,,,,,,,,,,,,,,,,
37.0,Lucy,lucy,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,la France,esperance,Cour de France,de France,deFrance,Francois I,france,,,,,,,,,,,,,,,,,,,,,
39.0,Jetais,MAI,aimais,sais,som-170,Elleaimait,,,,,,,,,,,,,,,,,,,,,,
40.0,Bohemiens,Bohemians,MIa-,Orleans,Bohemienne,,,,,,,,,,,,,,,,,,,,,,,
41.0,- Est-elle,Ellement,ellen',tonnelle,elle-mee,a - Elle,Ehiol,,,,,,,,,,,,,,,,,,,,,
42.0,Coup,Tout-h-coup,--Tout,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,Large,Argus,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,Aussitbt,Aussit0,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,moselle de la Vallier,LiE,Vallier,valley,La Vallier,,,,,,,,,,,,,,,,,,,,,,,
46.0,Sinon h Anizy,CHIIATSAU D SINON,PINO,Sinon,SINoN.,INON,,,,,,,,,,,,,,,,,,,,,,
47.0,crivit,soNne,CANIVEAU,Son-,Navarre,sonarrivee,,,,,,,,,,,,,,,,,,,,,,
48.0,Rochefort,- Fort,-Ilfaut,Hautefort,HAutefort,,,,,,,,,,,,,,,,,,,,,,,
49.0,"terre,206  L cHATA p SINoN.","terre,206  L cHATA p",,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,Partez,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,Helasl,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,chine,Rhin,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,passee,Cosse,Ramasse,Eusse-de,Lasse,,,,,,,,,,,,,,,,,,,,,,,
54.0,Cedez,Gardez,gard,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,gardeE CHATEAU DE SINON,legerLE CHATEAU DE SINON,CHATEAU D SINON,lom-LE CHATEAU DE SINON,E CHEVEAU DE SINON,"chateau
de Sinon",LI CHATEAU DE SINON,laLE CHATEAU DE SINON,hol-LE CHATEAU DE SINON,CATEAU bDE SINON,CHATEAU dE SINON,Ls CHATEAU DE SINON,LL CHATEAU D SINON,montre272  LE CHATEAU D SINON,eleganceLE CHATEAU bDE SINON,EE CHATEAU DE SINON,CHATEAU DE SiNON,CHATEAU DE SINON,E CHATEAU DE SINON,IE CHATEAU DE SINON,"tra-252
LE CHATEAU DE SINON",CHATEAU E SINON,chteau de Sinon,lob-LE CHATEAU DE SINON,folatre et gra-LE CHATEAU DE SINON,CHATEAU bUE SINON,F0te-LE CHATEAU- DE SINON,Vraiment?LE CHATEAU D SINON
56.0,Bussy .se plata,Bussy,"Bussy
d'Amboise",,,,,,,,,,,,,,,,,,,,,,,,,
57.0,maine,sine,"cousine ger-
maine",Fontainebleau,Enfer-,,,,,,,,,,,,,,,,,,,,,,,
58.0,leeque,eveques,que',Lveque,,,,,,,,,,,,,,,,,,,,,,,,
