cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
0,tour,toul,etpour,l06,Tours,luitournt,Bourgogne,,,,,,,,,,,,,,,,,
1,menez,philosophiquemenl,,,,,,,,,,,,,,,,,,,,,,
2,Voyez,jijel,Croyez-,Moyenbrie,,,,,,,,,,,,,,,,,,,,
3,Pignerol,Corcy,gne,Pignon,,,,,,,,,,,,,,,,,,,,
4,CHATEAU D SINON,CHIIATSAU D SINON,LL CHATEAU D SINON,montre272  LE CHATEAU D SINON,CHATEAU D INON,CHATEAU E SINON,Dit,CHATEAU bUE SINON,Vraiment?LE CHATEAU D SINON,,,,,,,,,,,,,,,
5,Voil,VOil,moiLKE,voila,,,,,,,,,,,,,,,,,,,,
6,DE P1NON,la22,P1NON,- Oit,,,,,,,,,,,,,,,,,,,,
7,Am-,visage1LE,Cour,Audincourt,Courval,Coup,Pi-,Hennecourt,Lanissecourt,Cour7,"decouvre2
- Je",,,,,,,,,,,,,
8,Fier,piers,Jeudi-,au-,pays,,,,,,,,,,,,,,,,,,,
9,Bohemiens,Bohemians,Large,Bohemienne,I9,,,,,,,,,,,,,,,,,,,
10,Bussy .se plata,Bussy,"Bussy
d'Amboise",clat,,,,,,,,,,,,,,,,,,,,
11,Flandre,repondre,IM,fepondre,,,,,,,,,,,,,,,,,,,,
12,Est,qiestiohher,geste282,g328,Cest,,,,,,,,,,,,,,,,,,,
13,Minence,po,Providence,,,,,,,,,,,,,,,,,,,,,
14,Visage,Partez,Paris,au102,,,,,,,,,,,,,,,,,,,,
15,jura,jardin des Hlesperides,perduelIIIIIIII,Eh,,,,,,,,,,,,,,,,,,,,
16,265s,passee,Ramasse,Lasse,,,,,,,,,,,,,,,,,,,,
17,Chapelain,CHAPEAU,yeu,Argus,,,,,,,,,,,,,,,,,,,,
18,CANIVEAU,seau,Ani-,L.L,,,,,,,,,,,,,,,,,,,,
19,lens,Helas,Helasl,Enfer-,,,,,,,,,,,,,,,,,,,,
20,soNne,Son-,h ce324,sonarrivee,Prison,,,,,,,,,,,,,,,,,,,
21,obeir,Jetais,D,aimais,sais,palais de la reine,Vovray,A,,,,,,,,,,,,,,,,
22,Illes,lille,gill4e,notrefamille,belle-fille',Villers-Cotterets,,,,,,,,,,,,,,,,,,
23,parc d'Anizy,Anizy,Sinon h Anizy,chteau d'Anizy,Aizy,,,,,,,,,,,,,,,,,,,
24,gazette7,Belette,Henriette,ar-,,,,,,,,,,,,,,,,,,,,
25,pays-c,-Louison,Oh l Louison,Pa-,Louison Beaupr.292 Lt CA'TAbOU,Louis-le-Gros,Louison,,,,,,,,,,,,,,,,,
26,leeque,eveques,ees,celui-l !,Inconsequence,que',Lveque,M,D yo,oula,,,,,,,,,,,,,,
27,La Mothe,Mothe,Lamothe,Mothe-Houdancourt,,,,,,,,,,,,,,,,,,,,
28,-Prenez,precher,pre,-Desprez,Apres,,,,,,,,,,,,,,,,,,,
29,Bussy-La-,Bussy-Lameth,Bussy-Lumeth,neth,E,,,,,,,,,,,,,,,,,,,
30,rue Saint-Honore,Terre-Sainte,Saint-Gabriel,Saint-Quentin,,,,,,,,,,,,,,,,,,,,
31,r-----.-.-,---Je,CL.---202,le330,--- Oui,,,,,,,,,,,,,,,,,,,
32,denis,Venise,dents.306,beni,,,,,,,,,,,,,,,,,,,,
33,mademoiselle,moselle de Roucy,selle de Roucy,Mesdemoiselles,Mademoiselle de Roucy,chambre de mademoiselle de Roucy,MOI,,,,,,,,,,,,,,,,,
34,"Cour'
Vous avez done oublie",VOus,Rappelez-vousLE,,,,,,,,,,,,,,,,,,,,,
35,tradition124,h98,reunion,Sion,,,,,,,,,,,,,,,,,,,,
36,m42,RoUcY.,M. de Roucy,Jo-,Coucy ',Coucy,Roucy,,,,,,,,,,,,,,,,,
37,Desmonte,crmonie,Remont,,,,,,,,,,,,,,,,,,,,,
38,carioledeM. Ceux-de-Roy,Cour-de-Roy,Coeur-de-Roy,A62,,,,,,,,,,,,,,,,,,,,
39,CHAPEAU DE SINON,E CHEVEAU DE SINON,aLIL CHAPEAU DE SINON,S,CHAPITEAU E SINON,CHA1EAU DE SINON,terre de Sinon,chteau de Sissone,chteau de Sinon,HAMEAU DE SINON,,,,,,,,,,,,,,
40,lavie,f,Chavigon,Chavignon,chard,chavannes,,,,,,,,,,,,,,,,,,
41,la France,esperance,Cour de France,de France,deFrance,Francois I,france,,,,,,,,,,,,,,,,,
42,Jusquici,Quincy,equipagcs,,,,,,,,,,,,,,,,,,,,,
43,Lucy,lucy,ce324,,,,,,,,,,,,,,,,,,,,,
44,Combien,BIen-,biehi,raccommoda,,,,,,,,,,,,,,,,,,,,
45,Lameth,comtesse de Lamelh,Lamelh,Madame.1,Lam-,,,,,,,,,,,,,,,,,,,
46,PIo,- Est-elle,Ig,Ellement,ellen',tonnelle,elle-mee,a - Elle,selle,".,-",Elleaimait,,,,,,,,,,,,,
47,"II

iii
IIIII
Lettre",Lambertremit,t0t peut-tre,,,,,,,,,,,,,,,,,,,,,
48,Accoutumee,Cedez,Tout-h-coup,Nousdemeureronstouteslesdeux,--Tout,,,,,,,,,,,,,,,,,,,
49,Aussitbt,Aussit0,--Je,Eusse-de,,,,,,,,,,,,,,,,,,,,
50,N6is,Turin,moselle de la Vallier,LiE,Vallier,valley,La Vallier,,,,,,,,,,,,,,,,,
51,PINO,Sinon,SINoN.,INON,,,,,,,,,,,,,,,,,,,,
52,Albret,J',dAlbret,II,,,,,,,,,,,,,,,,,,,,
53,tomber332,Gerere,Cerberes,etrangeres,soleil,,,,,,,,,,,,,,,,,,,
54,Gardez,Picarde,gard,,,,,,,,,,,,,,,,,,,,,
55,Mortagne,espagne,Espagne,Allemagne,Champagne,,,,,,,,,,,,,,,,,,,
56,gardeE CHATEAU DE SINON,legerLE CHATEAU DE SINON,Laon,lom-LE CHATEAU DE SINON,"chateau
de Sinon",LI CHATEAU DE SINON,laLE CHATEAU DE SINON,hol-LE CHATEAU DE SINON,CATEAU bDE SINON,CHATEAU dE SINON,Ls CHATEAU DE SINON,eleganceLE CHATEAU bDE SINON,EE CHATEAU DE SINON,CHATEAU DE SiNON,CHATEAU DE SINON,E CHATEAU DE SINON,IE CHATEAU DE SINON,Ehiol,"tra-252
LE CHATEAU DE SINON",cupee,lob-LE CHATEAU DE SINON,folatre et gra-LE CHATEAU DE SINON,F0te-LE CHATEAU- DE SINON,si'
57,ducdOr-,jattendrai,recerai,vengeraiNi,emeraudes,Jirai,,,,,,,,,,,,,,,,,,
58,maine,sine,MAI,dehorsne,chine,"cousine ger-
maine",ccc:::--148,Fontainebleau,,,,,,,,,,,,,,,,
59,som-170,,,,,,,,,,,,,,,,,,,,,,,
60,Cle,Sire,loire,,,,,,,,,,,,,,,,,,,,,
61,leroi,Tache,Croix-Blanchie,Croix-Blanche,,,,,,,,,,,,,,,,,,,,
62,alors7,mallee,Mal-,malte,Malade-,,,,,,,,,,,,,,,,,,,
63,terie,hOtellerie,tel,ler,,,,,,,,,,,,,,,,,,,,
64,Soyons,Sissone,Soissons,,,,,,,,,,,,,,,,,,,,,
65,Jouet,detoue,-Jouet,,,,,,,,,,,,,,,,,,,,,
66,Carrousel,Trouvez-,Orleans,Rouy,Rou-,,,,,,,,,,,,,,,,,,,
67,Ursulines,MIa-,I,Bouvines,Ursulines de,couvent des Ursulines,,,,,,,,,,,,,,,,,,
68,Ohl,si110,AA,Doncule,sa116,,,,,,,,,,,,,,,,,,,
69,sire de Coucy,"fete
de Coucy",Y0us,"place de Jo-
guet",fete de Coucy,,,,,,,,,,,,,,,,,,,
70,grace,place auprs,auprs,Beaupr,,,,,,,,,,,,,,,,,,,,
71,abbaye de Rencontre,foret de Rencontre,,,,,,,,,,,,,,,,,,,,,,
72,"plus,26
LE CHA1TEAU",hte,le chteau,,,,,,,,,,,,,,,,,,,,,
73,c0messe,Laon f,hotesse,Cosse,Abbesse,"tresses,104",,,,,,,,,,,,,,,,,,
74,CHATEAU DE P1NON,CHATEAU DE INON,CHATEAU DE PIGNON,CHATEAU b,chateau de Fayel,CHATEAU DE PrO.,CHATEAU DE 1INON,,,,,,,,,,,,,,,,,
75,loux,verroux,houx,,,,,,,,,,,,,,,,,,,,,
76,messieurs?190 r. cA2A E NOy,d0un e pouvez,gie,cA2A E NOy,Noyon,,,,,,,,,,,,,,,,,,,
77,Tonnay-Charente,Tarente,,,,,,,,,,,,,,,,,,,,,,
78,tete-h-tete,lavaitpas repetee,Aixin,surete,tete,vecu,Veu,,,,,,,,,,,,,,,,,
79,moselle de Rochefort,chose3,"Made-
moselle",moselle,,,,,,,,,,,,,,,,,,,,
80,Dreux,eux;1,reux,,,,,,,,,,,,,,,,,,,,,
81,Lanuit,Clan,galantin,elana,Langle,,,,,,,,,,,,,,,,,,,
82,Rochefort,- Fort,-Ilfaut,Hautefort,HAutefort,,,,,,,,,,,,,,,,,,,
83,HI1I0,gea,,,,,,,,,,,,,,,,,,,,,,
84,MI,oise,Vaudois,Dubois,,,,,,,,,,,,,,,,,,,,
85,Anizy-le-Chatel,sur-le-champ,san-,sur-le-chanip,,,,,,,,,,,,,,,,,,,,
86,crivit,CATEAU,chateau,CHATEAU,beate,BATEAU,Rhin,monseigneur'e-LE CATEAU,,,,,,,,,,,,,,,,
87,Versailles,Remont  Versailles,chateau de Versailles,de Versailles,,,,,,,,,,,,,,,,,,,,
88,mantes,PIaNo,fiants,,,,,,,,,,,,,,,,,,,,,
89,A01,I.E,,,,,,,,,,,,,,,,,,,,,,
90,Aurea,dres,Maures,Fresque,,,,,,,,,,,,,,,,,,,,
91,Normandie,Picardie,Dieuni,,,,,,,,,,,,,,,,,,,,,
92,Navarre,"terre,206  L cHATA p SINoN.","terre,206  L cHATA p",,,,,,,,,,,,,,,,,,,,,
