cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
0,"il—
meuse",fastueuse—,meuse,S-,because,gracieuse—,vigoureusem,,,,,,,,,,,,,
1,Modinier,Mariniers,Virginie,Téniers,,,,,,,,,,,,,,,,
2,comtesse de Van—,comtesse de Van—-,comtesse de Granville,comtesse de Vande-,courtesse de Grawille,comtesse de Mont—,,,,,,,,,,,,,,
3,ger,Gerbau,Gersàu,Gersau,S’,Ger—,d’,,,,,,,,,,,,,
4,Dauphin,aﬁuN,Dauphine,Philo-,,,,,,,,,,,,,,,,
5,Vandenesse,Vandènesse,nesse,Vandene‘sse,exem—,Vabdenesse,Vandenessse,Vandcnesse,ﬁnesse,Vande—,Vandenesso,,,,,,,,,
6,grand—livre,grand—sur,gand,Vivre,Grand—livre,,,,,,,,,,,,,,,
7,vo‘ilS.,Vernie‘il,M=‘ils,l‘Ile,,,,,,,,,,,,,,,,
8,Lovelacc,vieux Lovelacc,t’amur,Love-,Lovelace,,,,,,,,,,,,,,,
9,résis—,dix—-,Hésilé,Nu—,persis—,,,,,,,,,,,,,,,
10,eûtadou—,Doubs,du Doubs,Trîvulzio,et’,de—,,,,,,,,,,,,,,
11,.Florine,Rivarol lisant Florian,c—,pè1e,trempe de Florine,a1dsFlorine,que_Florine,Floride,Flo—,Florine,point-Florine,,,,,,,,,
12,bois de Boulogne,Boulogne,"bois de
Boulogne",bois îneX.ploité,Bois,de Boulogne,BOLOGNINI,,,,,,,,,,,,,
13,pous—,yous,souS,ychbré,Toustrois,Voussawz,nous—,ca,Mulhouse,Saxe,,,,,,,,,,
14,mada—,made-—,MADAME,Dôle,Àlbért,Madre,,,,,,,,,,,,,,
15,no—,écono—,igno—,fripoh,,,,,,,,,,,,,,,,
16,amours—,amour—,Enﬁn,Ursiui,Amoureux,Mouy—,,,,,,,,,,,,,,
17,dePerrault,verras,Grâccs,,,,,,,,,,,,,,,,,
18,m2A‘t,Bisontins,Bisonlins,lons de l‘aristocratie bisontine,,,,,,,,,,,,,,,,
19,créa—,aléa—,En',désagréa—,Création,,,,,,,,,,,,,,,
20,"connais—
sance",a—,L1econnaissent,Renaissance,"puis—
sance des relations sociales",connais—,Etat,,,,,,,,,,,,,
21,interroga—,intel—,réel—,ja—,,,,,,,,,,,,,,,,
22,gard,Léonarde,hé-,regar—,m0_1e11Âge,garni—,Yüard,,,,,,,,,,,,,
23,Demiﬁ,chemi—,cachemire,dﬁci,Le Chemin,,,,,,,,,,,,,,,
24,Touches,Vauchel-,N“couche,Vauchelles,,,,,,,,,,,,,,,,
25,minis—,Ministère,jasmin,Depnis,,,,,,,,,,,,,,,,
26,Itàlienne,Quotidienne,médienne,vienne,Asﬁosna,Vienne,Bouirienne,Çome‘die,profund mienne,ennemisou,Sicitienne,,,,,,,,,
27,ambitieuk,ambi—,l830,a‘mbitldi‘l',L’AMBITIEUX,,,,,,,,,,,,,,,
28,oncle',Cercle,,,,,,,,,,,,,,,,,,
29,pouR,situa—,pour—,Tràhit,pourrèz,,,,,,,,,,,,,,,
30,Fédéral,"vi-
caire général",géné—,Le Grâçe,involontaire—,,,,,,,,,,,,,,,
31,j‘en,le Corso,Corso,corn,,,,,,,,,,,,,,,,
32,.-fæ,"Phdomèné l,0_1'_1",lomène,Philomènes,,,,,,,,,,,,,,,,
33,Datum,natu—,mﬁtu—,costu—,,,,,,,,,,,,,,,,
34,Van—,avan—,la Havane,Avant1830,Van-—,,,,,,,,,,,,,,,
35,de Versailles,Gcrsau,Versailles,broassailles,,,,,,,,,,,,,,,,
36,Dent de Vilard,Dent de' Vilaid,Dent de “Abord,Pont de Ward,Dent de Vitara,Vilardwetæ,,,,,,,,,,,,,,
37,ﬁancre,insigniﬁancre,crea—,conﬁance,L‘i',,,,,,,,,,,,,,,
38,s’ah—,manège,Normandie,Be1gmann,Maman,Allemand,qu0i,,,,,,,,,,,,,
39,Nucingen,Genevois,vingt—sept,Cérès,Oimèl,,,,,,,,,,,,,,,
40,répétâ,répon—,répu—,,,,,,,,,,,,,,,,,
41,moteur—,giteuql,Moniteur,Auteuil,s’,,,,,,,,,,,,,,,
42,Saint—,"embrassa—
saint",rue Saint—Lazare,Saint—Germain,L’,Saint—Hérem,Saint—Martin,Saint—GErmain,Sainte—Hélène,Saint—Jean,Saint des Saints—Il,,,,,,,,,
43,j—,"- - -
Rudolph",- - .,Bbdolphd,- -.-,,,,,,,,,,,,,,,
44,Ordinaire,"extraordi—
naire",extraor—,Bixiou,voquée extraordinaüement,,,,,,,,,,,,,,,
45,plusdis—,obéis—,dis—-,dispu—,indis—,,,,,,,,,,,,,,,
46,ﬂorentine statue d’ivoire,Loire,siégeaît,soiree,Sire,,,,,,,,,,,,,,,
47,Bourg,Bourg-,D’,Bourse,bourgeoise—,Strasbourg,,,,,,,,,,,,,,
48,Raoul,Raoul‘sera,disaitRaoul,àRaoul,,,,,,,,,,,,,,,,
49,Andantez,anti—,Nantua,Bppnenant,Rliigi,Brabant,Fantaisie,,,,,,,,,,,,,
50,produi—,protoco—,malpropre—,profon—,ce10,,,,,,,,,,,,,,,
51,senti—,et’ai senti,présentil,Vlu,,,,,,,,,,,,,,,,
52,serv1r,Servir,obser—,Ou',,,,,,,,,,,,,,,,
53,plusle,voyais,T—.:Mais,Mail,abbe,"pleurait,4mais",mais—,Lui?jamais,Sais,Vais,S',"maison,-je",,,,,,,,
54,Lesjournaux,journa—,Retournez,<,Jour,,,,,,,,,,,,,,,
55,s’établir,C‘étaitjouer,obligéde,déta—,I,cesablim,,,,,,,,,,,,,,
