cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
0,ger,Gerbau,Ge-,siégeaît,Gersàu,ler,Gersau,C0t]er,Cercle,Ger—,"dan—
ger",Vierge,Bugey,-,,,,,,,,,,,,,,,
1,incroya—,croyez--,roya—,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Dauphin,le Rhin,Rhin,Dauphine,,,,,,,,,,,,,,,,,,,,,,,,,
3,Vandenesse,Vandènesse,Vandene‘sse,Vabdenesse,Vandenessse,Vandcnesse,Vandenesso,,,,,,,,,,,,,,,,,,,,,,
4,grand—livre,pauvrevgrund,grand—sur,Vivre,d—,grandrenfort,Grand—livre,,,,,,,,,,,,,,,,,,,,,,
5,cher,Touches,Vauchel-,Rocher,N“couche,cher-,cher—,ychbré,Où,Mon cher,chef—,,,,,,,,,,,,,,,,,,
6,Lovelacc,vieux Lovelacc,Love-,Lovelace,"lac
’",développa—,,,,,,,,,,,,,,,,,,,,,,,
7,j‘en,ah‘e,l‘en,,,,,,,,,,,,,,,,,,,,,,,,,,
8,senti—,anti—,et’ai senti,justi—,présentil,J,,,,,,,,,,,,,,,,,,,,,,,
9,bois de Boulogne,C0'—,pè1e,Boulogne,"bois de
Boulogne",<,bois îneX.ploité,de Boulogne,s«=,,,,,,,,,,,,,,,,,,,,
10,no—,napoléo—,bro—,econo—,invo—,Ynoi,écono—,igno—,,,,,,,,,,,,,,,,,,,,,
11,Bisontins,d’instruction,sont—,imaginétionsde,cabins‘tmysté,Bisonlins,lons de l‘aristocratie bisontine,,,,,,,,,,,,,,,,,,,,,,
12,jardi—,gard,Léonarde,sardo—,Girardet,garni—,Hasard,supp0 car“,Yüard,Garceneault,,,,,,,,,,,,,,,,,,,
13,Demiﬁ,chemi—,cachemire,fémi—,lumi—,Le Chemin,admi—,domi—,,,,,,,,,,,,,,,,,,,,,
14,Graneoy,Granet,Granvrlle,Graneey,Grâccs,Gra',,,,,,,,,,,,,,,,,,,,,,,
15,Lesjournaux,jour—,journa—,C‘étaitjouer,arcades sour—,nour—,sour—,amour—,Jour,aujour—,four—,tour—,,,,,,,,,,,,,,,,,
16,ambitieuk,ambi—,Famjtié,a‘mbitldi‘l',L’AMBITIEUX,,,,,,,,,,,,,,,,,,,,,,,,
17,Dent,Bppnenant,Décidément,entr’,menton,Godenars,Mont—Cenis,Eden,entre—,denxpios,,,,,,,,,,,,,,,,,,,
18,pous—,amours—,pouR,Gur,pour—,Cour,Couture,certesépou—,fripoh,pourrèz,,,,,,,,,,,,,,,,,,,
19,lise,Se,serv1r,rose—,Servir,rosE,.nommnitLoùise,Sels,Gymnase,Sexe,"rose—
ser",se’,Sebmuke,Varèse,,,,,,,,,,,,,,,
20,le Corso,Corso,rs,corn,,,,,,,,,,,,,,,,,,,,,,,,,
21,Datum,natu—,Nantua,mﬁtu—,costu—,E,,,,,,,,,,,,,,,,,,,,,,,
22,j—,Van—,avan—,la Havane,Avant1830,Van-—,,,,,,,,,,,,,,,,,,,,,,,
23,de Versailles,Gcrsau,Versailles,broassailles,conversa—,,,,,,,,,,,,,,,,,,,,,,,,
24,Dent de Vilard,Dent de' Vilaid,Dent de “Abord,L’abbé de Godenars,Jardin des Plantes,Pont de Ward,ParDon-oﬁ‘et de la volonté paternelle,Dent de Vitara,Vilardwetæ,p‘as‘orrdéde,,,,,,,,,,,,,,,,,,,
25,Saint—,"embrassa—
saint",rue Saint—Lazare,Saint—Germain,Saint—Hérem,Quint,inté—,Intérêts,Saint—Martin,Saint—GErmain,Clermont—Mont—Saint—Jean,involontaire—,Sainte—Hélène,Saint—Jean,Lekain,Saint des Saints—Il,,,,,,,,,,,,,
26,Ordinaire,"extraordi—
naire",extraor—,voquée extraordinaüement,,,,,,,,,,,,,,,,,,,,,,,,,
27,Bourg,N5,Bourg-,Bourse,bourgeoise—,Strasbourg,,,,,,,,,,,,,,,,,,,,,,,
28,"notre exis—
 tenez",prenez—,Apprenez,Venez,Näurez,rez,Retournez,lﬁt_comprendre,rassurez—,rendez—,pren—,,,,,,,,,,,,,,,,,,
29,Raoul,"Baoul,_la",BaoulNa-,Voudra,Baoul',Raoul‘sera,disaitRaoul,àRaoul,,,,,,,,,,,,,,,,,,,,,
30,alpes,Alpes,Al_—,,,,,,,,,,,,,,,,,,,,,,,,,,
31,mada—,créa—,a—,enga—,méca—,situa—,Cha—,écla—,aléa—,cela—,colla—,repa—,ména—,déta—,habita—,crea—,occa—,Sa—,atta—,ja—,ambassa—,occupa—,Na—,,,,,,
32,"Phdomèné l,0_1'_1",lomène,Philomènes,Philo-,,,,,,,,,,,,,,,,,,,,,,,,,
33,eûtadou—,devaitsecou—,Rou—,vou—,Pérou,éprou—,tou—.,trou—,pantou—,,,,,,,,,,,,,,,,,,,,
34,Soulas,Soulasl,soufﬁair,V1(1la1,nevoulaitpas,souf—,Soutas,,,,,,,,,,,,,,,,,,,,,,
35,àParis,Parisien,Parisiens,Paris,Paris.—aiMer,Parismonsieur,Parisiennes,"parisien,,le",,,,,,,,,,,,,,,,,,,,,
36,Dilet,t823,I‘illet,latieille,Tillet,Trllet,Gentillet,Villa-Diodeti,Quillet,bt‘l\’étièle,Titlet,Sieilet,,,,,,,,,,,,,,,,,
37,compas—,protoco—,compri—,comprist‘s,écri—,compren—,priélé,Compter,promp—,complai—,compo—,,,,,,,,,,,,,,,,,,
38,Brièresdﬁ,premièreçfois,"Re,—",lalumièrel,Ministère,singulière—,,,,,,,,,,,,,,,,,,,,,,,
39,Andantez,Andrieux,gand,Ga-,Gandohuhini,Hollande,,,,,,,,,,,,,,,,,,,,,,,
40,comtessse,comtessey,“ Comtesse,Haüysséæ,Bossuct,LA conrsssn,comtesse,Comtesse,,,,,,,,,,,,,,,,,,,,,
41,grave—,Avez,travers,avez—,Save,,,,,,,,,,,,,,,,,,,,,,,,
42,éldgmtt,Sutton,bouton—,Zittol,Sut,,,,,,,,,,,,,,,,,,,,,,,,
43,Doubs,du Doubs,auberge du Gy@gne,,,,,,,,,,,,,,,,,,,,,,,,,,
44,heureux—,Bayeux,lac Majeur,heurE_:_un,Bonheurl,"respec—
ter le bonheur de deux êtres",yeux_de feu,Amoureux,malheu—,m’,,,,,,,,,,,,,,,,,,,
45,intel—,entendi—,tente—,s’attendantà,dente—,enter—,exacte—,athlète—,soixante—,conte—,parfaite—,mainte—,Départemental,délicate—,Tes,,,,,,,,,,,,,,
46,Manerville,"drame—
vandeville",Vieilles,Ville,Marseille,Vaudille,la Ville,facile—,Veille-l)îodali,Grawille,Sicile,Granville,Hôtel—de Ville,Mancrville,tefeuille,lille,oreille ‘Oreille,l‘Ile,Famille,oreille’asauvæ.-,,,,,,,,,
47,demon—,baron—,éton—,remon—,Mon—,répon—,Non—,promon—,Monvel,Clermont,Gramont,Piémont,non—,,,,,,,,,,,,,,,,
48,s—,mys—,kios—,nous—,mrs—,exces—,impos—,néces—,,,,,,,,,,,,,,,,,,,,,
49,peuvent—,faut—,Peut—,Peuple,Auteuil,peut—,,,,,,,,,,,,,,,,,,,,,,,
50,riuet,ET,etlïu—,Blçndet,et’,Diodeti,T_1tlet,peti—,guet—,Etc,Etat,Elschoet,,,,,,,,,,,,,,,,,
51,"Chartreuse des
Bouxey",Grande Chartreuse,"le,.rilberl u.puis.le Général des Chartreux",Chartreuse,Grande—Chartreuse,,,,,,,,,,,,,,,,,,,,,,,,
52,rapi—,capi—,mpi—,trahi—,,,,,,,,,,,,,,,,,,,,,,,,,
53,Itàlienne,Quotidienne,médienne,vienne,Vienne,Bouirienne,vien—,Briinnen,bouﬁ‘0nnerie,profund mienne,ennemisou,Sicitienne,,,,,,,,,,,,,,,,,
54,Fédéral,Opéra,bal de l’Opéra,—- JérAme,,,,,,,,,,,,,,,,,,,,,,,,,
55,Saint-Gothard,Saint-Gotha,Sardaigne,Balthasar,hypothè—,"Saint—
Gothard",,,,,,,,,,,,,,,,,,,,,,,
56,Comédie,médi—,Amédis,Çome‘die,Comédie humaine,Lombardie,Amédée,,,,,,,,,,,,,,,,,,,,,,
57,soli—,politi—,Beli—,expli—,Li—,Félix,habi—,urbai—,Rliigi,Si—,négli—,préliminai—,,,,,,,,,,,,,,,,,
58,Épaule,Boule,vOulez,boule—,Voulu,souleVer,,,,,,,,,,,,,,,,,,,,,,,
59,Neufchâtol,Neufchâtel,înelheu—,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Berne,Bergmaun,abbe,Saverne,Ferney,Moderne,Lucerne,,,,,,,,,,,,,,,,,,,,,,
61,l‘on,Lyon,Rooney,varon,ON,—- Non,Son,Donc,thçon,Fond,bonho—,—on,weldon,du Japon,Dijon,,,,,,,,,,,,,,
62,moteur—,giteuql,Moniteur,ﬁ Monsieur,,,,,,,,,,,,,,,,,,,,,,,,,
