cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20
0,j—,,,,,,,,,,,,,,,,,,,,
1,comtesse de Van—,comtesse de Van—-,piste des intl—,rage de conﬁer,comtesse de Granville,baie de Naples,comtesse de Vande-,courtesse de Grawille,"comtesse de
Granville",comtesse de Mont—,,,,,,,,,,,
2,ger,Gerbau,siégeaît,Gersàu,ler,Gersau,C0t]er,Cercle,Ger—,"dan—
ger",Vierge,,,,,,,,,,
3,incroya—,S,inci—,croyez--,roya—,,,,,,,,,,,,,,,,
4,Vandenesse,Vandènesse,nesse,Vandene‘sse,Vabdenesse,Vandenessse,Vandcnesse,ﬁnesse,Vande—,Vandenesso,,,,,,,,,,,
5,grand—livre,grand—sur,Vivre,d—,Où,grandrenfort,Grand—livre,,,,,,,,,,,,,,
6,cher,Rocher,cher-,cher—,ychbré,Mon cher,chef—,,,,,,,,,,,,,,
7,Lovelacc,vieux Lovelacc,Love-,Lovelace,"lac
’",,,,,,,,,,,,,,,,
8,Doubs,du Doubs,,,,,,,,,,,,,,,,,,,
9,senti—,anti—,et’ai senti,Décidément,présentil,,,,,,,,,,,,,,,,
10,bois de Boulogne,Boulogne,"bois de
Boulogne",bois îneX.ploité,Bois,de Boulogne,BOLOGNINI,,,,,,,,,,,,,,
11,le Rhin,Rhin,Le Grâçe,,,,,,,,,,,,,,,,,,
12,mada—,MADAME,Madre,,,,,,,,,,,,,,,,,,
13,no—,bro—,econo—,invo—,Ynoi,écono—,igno—,,,,,,,,,,,,,,
14,.-fæ,au.-,.-—.,".-_-.,-",,,,,,,,,,,,,,,,,
15,créa—,désagréa—,Création,,,,,,,,,,,,,,,,,,
16,"connais—
sance",Renaissance,"puis—
sance des relations sociales",connais—,,,,,,,,,,,,,,,,,
17,gard,Léonarde,regar—,garni—,Lombardie,Yüard,Garceneault,,,,,,,,,,,,,,
18,chemi—,cachemire,fémi—,Le Chemin,admi—,domi—,,,,,,,,,,,,,,,
19,Touches,Vauchel-,N“couche,Vauchelles,,,,,,,,,,,,,,,,,
20,minis—,Ministère,jasmin,Depnis,,,,,,,,,,,,,,,,,
21,Graneoy,Granet,Granvrlle,Graneey,Grâccs,Grati-,Gra',,,,,,,,,,,,,,
22,Lesjournaux,jour—,journa—,C‘étaitjouer,arcades sour—,nour—,sour—,amour—,Jour,aujour—,four—,tour—,,,,,,,,,
23,ambitieuk,ambi—,Famjtié,a‘mbitldi‘l',L’AMBITIEUX,,,,,,,,,,,,,,,,
24,amours—,Jura,pouR,Gur,pour—,tourmen—,Retournez,Cour,certesépou—,fripoh,pourrèz,,,,,,,,,,
25,lise,Se,serv1r,Servir,.nommnitLoùise,"la‘,base",Sels,vingt—sept,Gymnase,Sexe,se’,Sebmuke,serpens,,,,,,,,
26,Cos,Asﬁosna,costu—,Bossuct,,,,,,,,,,,,,,,,,
27,le Corso,Corso,rs,corn,,,,,,,,,,,,,,,,,
28,Datum,natu—,mﬁtu—,,,,,,,,,,,,,,,,,,
29,Van—,avan—,la Havane,Avant1830,Van-—,,,,,,,,,,,,,,,,
30,de Versailles,Gcrsau,Versailles,broassailles,conversa—,Nevers,,,,,,,,,,,,,,,
31,Dent,Dent de Vilard,Dent de' Vilaid,Dent de “Abord,Pont de Ward,ParDon-oﬁ‘et de la volonté paternelle,Dent de Vitara,Vilardwetæ,,,,,,,,,,,,,
32,d’instruction,imaginétionsde,srÈctn,instru—,,,,,,,,,,,,,,,,,
33,Nucingen,Nucin-,,,,,,,,,,,,,,,,,,,
34,Saint—,"embrassa—
saint",rue Saint—Lazare,Saint—Germain,Saint—Hérem,Saint—Martin,Saint—GErmain,Sainte—Hélène,Saint—Jean,Lekain,Saint des Saints—Il,,,,,,,,,,
35,Ordinaire,"vi-
caire général","extraordi—
naire",extraor—,voquée extraordinaüement,,,,,,,,,,,,,,,,
36,ﬂorentine statue d’ivoire,Loire,soiree,Sire,,,,,,,,,,,,,,,,,
37,Bourg,Bourg-,Bourse,bourgeoise—,Strasbourg,,,,,,,,,,,,,,,,
38,"notre exis—
 tenez",prenez—,Apprenez,Venez,,,,,,,,,,,,,,,,,
39,Raoul,"Baoul,_la",BaoulNa-,Voudra,Baoul',Raoul‘sera,disaitRaoul,àRaoul,,,,,,,,,,,,,
40,Itàlienne,Quotidienne,médienne,vienne,Vienne,Bouirienne,vien—,Briinnen,bouﬁ‘0nnerie,La11anne,profund mienne,ennemisou,Sicitienne,,,,,,,,
41,a—,enga—,situa—,écla—,aléa—,cela—,ména—,déta—,crea—,Sa—,atta—,ja—,ambassa—,occupa—,Na—,,,,,,
42,"Phdomèné l,0_1'_1",lomène,Philomènes,Philo-,,,,,,,,,,,,,,,,,
43,jardi—,jardin Bergmann,Bergmaun,Jardin des Plantes,Be1gmann,,,,,,,,,,,,,,,,
