cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
0.0,Simplon,employer—,simple—,simpliﬁer,,,,,,,,,,,,,,,,
1.0,Gandohuhini,gand,s‘a‘handonna‘it,,,,,,,,,,,,,,,,,
2.0,Walt,Walte-,,,,,,,,,,,,,,,,,,
3.0,niens,Tiens,Rubens,,,,,,,,,,,,,,,,,
4.0,pantou—,Egypan,Qual'pianto,tou—.,,,,,,,,,,,,,,,,
5.0,Watteville,Wàtteville,deWatteville,Wattevilla,Wattevitlv,Wattevill‘e,Walteville,Wattevillc,Wattevilleimagina,Wat—,atteville;éæièntr‘emplis,Wattevilie,maison Watteville,,,,,,,
6.0,intel—,mainte—,réel—,,,,,,,,,,,,,,,,,
7.0,a1dsFlorine,point-Florine,.Florine,que_Florine,trempe de Florine,Floride,Florine,Usine,Rivarol lisant Florian,,,,,,,,,,,
8.0,jouis—,lajouissance,puis—,Souis,Louis—Phüÿape,,,,,,,,,,,,,,,
9.0,Li—,négli—,Beli—,soli—,expli—,,,,,,,,,,,,,,,
10.0,avorr,p‘as‘orrdéde,Borromécs,torrens,,,,,,,,,,,,,,,,
11.0,Brie,Gulhrie,Andrieux,Mairie,Briinnen,,,,,,,,,,,,,,,
12.0,Charité s’,Il S’,Cité,Célébrité,Cité sauts ton pien hz‘1‘euæ tc,,,,,,,,,,,,,,,
13.0,d’or—,endor—,Bohême,D’or,,,,,,,,,,,,,,,,
14.0,Aumilieude,Chaulieu,Folie,Lelmobilier,,,,,,,,,,,,,,,,
15.0,Amédis,Amédée,Comédie,médi—,,,,,,,,,,,,,,,,
16.0,Camps,Decamps,,,,,,,,,,,,,,,,,,
17.0,mada—,Madre,MADAME,,,,,,,,,,,,,,,,,
18.0,rose—,rosE,"rose—
ser",,,,,,,,,,,,,,,,,
19.0,Enﬁn‘je,Enﬁn,,,,,,,,,,,,,,,,,,
20.0,sachez—,Sachez,,,,,,,,,,,,,,,,,,
21.0,varon,Savaron,baron—,,,,,,,,,,,,,,,,,
22.0,conﬁance,France$ca,Francesl}a,Franche—Comté,Francais,Franche,Framäâca,Francesca,de France,france,Jeune-France,la France,Grancey,ram réagiesaitl Francesca,France,franchis—,,,,
23.0,rue Basse—du—Rempart,Basse—du—Rempart,,,,,,,,,,,,,,,,,,
24.0,Départemental,faussementaccusè,Partez,Décidément,,,,,,,,,,,,,,,,
25.0,crai‘gnit,irai‘t‘it,,,,,,,,,,,,,,,,,,
26.0,Ger—,ger,Gerbau,Mamer—,éner—,adver—,,,,,,,,,,,,,,
27.0,Afrique-,la rubriquedeÆlorence,gallique,fripoh,,,,,,,,,,,,,,,,
28.0,lionmy,sion,imaginétionsde,Diion,,,,,,,,,,,,,,,,
29.0,vivaci—,gracieuse—,Acier,Arcier,ca1acier'e d,,,,,,,,,,,,,,,
30.0,Bois,bois îneX.ploité,la bmrrgeois‘e,Genevois,,,,,,,,,,,,,,,,
31.0,rage de conﬁer,conﬁer,,,,,,,,,,,,,,,,,,
32.0,médienne,vienne,ennemisou,Sicitienne,Vienne,Bouirienne,Itàlienne,Quotidienne,profund mienne,,,,,,,,,,,
33.0,cathé—,la cathé—,,,,,,,,,,,,,,,,,,
34.0,igno—,no—,écono—,econo—,,,,,,,,,,,,,,,,
35.0,vien—,bien—,Eh Bien,,,,,,,,,,,,,,,,,
36.0,Milan,Milanais,Milord,milan,Mil,,,,,,,,,,,,,,,
37.0,con—.,Lecon—,conju—,rencon—,Con—,fécon—,décon—,,,,,,,,,,,,,
38.0,appa—,appar—,développa—,repa—,,,,,,,,,,,,,,,,
39.0,Montemisselle,Piémont,Mont—Cenis,Gramont,Clermont—Mont—Saint—Jean,Clermont,Montcornet,montrez-Ynoi,,,,,,,,,,,,
40.0,Marie—Angélique,MarieAngélique,,,,,,,,,,,,,,,,,,
41.0,lui‘hui,"exis—
 tenez, lui‘hui","notre exis—
 tenez",inﬂexiblë;;.—,Yictb1‘Hui',,,,,,,,,,,,,,,
42.0,Champes,Champagne,cham—,Champmeslé,Champs-Élysées,,,,,,,,,,,,,,,
43.0,"connais—
sance",Famjtié,connais—,"puis—
sance des relations sociales",Renaissance,L1econnaissent,,,,,,,,,,,,,,
44.0,jardin Bergmann,jardi—,Bergmaun,Jardin des Plantes,Be1gmann,,,,,,,,,,,,,,,
45.0,Napolitain,napoléo—,politi—,taid,,,,,,,,,,,,,,,,
46.0,admirable—,égale—,incapabled’,admi—,,,,,,,,,,,,,,,,
47.0,devatt—,atta—,devaitsecou—,clel‘devaut,,,,,,,,,,,,,,,,
48.0,Vandcnesse,Vandenesse,Vande—,Vandenesso,Vandene‘sse,Vandènesse,nesse,ﬁnesse,Vandenessse,Vabdenesse,,,,,,,,,,
49.0,hé-,Hé-,,,,,,,,,,,,,,,,,,
50.0,accom—,com—-,l‘on,raccom—,,,,,,,,,,,,,,,,
51.0,Félix,délicate—,préliminai—,,,,,,,,,,,,,,,,,
52.0,bro—,broda,,,,,,,,,,,,,,,,,,
