cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Tiens,Allons,Conviens,miens,Tixier,provins,,,
1,Prends,Attends,Apprenez,Prévôt,,,,,
2,J',,,,,,,,
3,ferme des Ormeaux,Merci,Ormeaux,,,,,,
4,Crois-tu,Crois,buis,garniront,crois-tu,Sois,Vois,,
5,faraud,Embrasse,Pas,Jusserand,,,,,
6,Périnnerie,Tréchauderie,Bordinerie,Afrique,la Périnnerie,,,,
7,Oui,Écoutez,Coupez,Voulez,occupez,,,,
8,sèvrerai,Berry,Saint-Pierre,Saint-Jean,Isaure,Pierres-Folles,la Saint-Pierre,,
9,Grise,la Grise,Paris,Laisse,,,,,
10,A,,,,,,,,
11,le soleil,sèvre-le tout,bâle,,,,,,
12,Estimez,Mesdemoiselles,Te,Tes,veines,Hautes-Roches,,,
13,Sais-tu,Aidez,aimais,Dis-,Sylvain,aimais-tu,valais,,
14,brune,Meunet,lune,beurrée,Meunet-sur-Vatan,,,,
15,ressens-tu,As-tu,Es-tu assez habile,Es-tu,Payez-les-moi,,,,
16,Incurables d'Issoudun,Issoudun,Poudre,,,,,,
17,Grand Bail,Durand,Chétif-Bail,Le Grand-Bail,Grand-Bail,,,,
18,Petite Jeanne,champ de Jeanne,Nannette,Mettez,petite Nannette,,,,
19,hôpital de Bourges,rougeur,Bourges,,,,,,
20,Vatan,Maman,Solange,vendange,nankin,Normandie,sainte-Solange,Sainte-Solange,Mange
21,de France,la somme,la Blanche,la France,,,,,
22,huche,SERVICE,Achetez,Chétif,département du Cher,Cher,,,
23,Regardez,Voyez,Savez,Jugez,JEANNE VEUVE,Avez,,,
