cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0.0,Vois,Sois,Mesdemoiselles,,,,
1.0,Laisse,valais,,,,,
2.0,Regardez,garniront,Aidez,,,,
3.0,Grand-Bail,Grand Bail,Le Grand-Bail,,,,
4.0,Bourges,hôpital de Bourges,,,,,
5.0,ferme des Ormeaux,Ormeaux,,,,,
6.0,Tixier,Sylvain,Berry,Saint-Pierre,Saint-Jean,la Saint-Pierre,Pierres-Folles
7.0,miens,Avez,Conviens,Tiens,,,
8.0,huche,Cher,Achetez,département du Cher,la Blanche,,
9.0,Prends,Apprenez,Attends,,,,
10.0,Sainte-Solange,faraud,Solange,sainte-Solange,,,
11.0,Poudre,Incurables d'Issoudun,Issoudun,,,,
12.0,la Grise,Paris,Grise,,,,
13.0,rougeur,Jugez,beurrée,,,,
14.0,Voyez,Payez-les-moi,,,,,
15.0,champ de Jeanne,JEANNE VEUVE,Petite Jeanne,,,,
16.0,petite Nannette,Mettez,Nannette,nankin,,,
17.0,Crois,Crois-tu,Dis-,crois-tu,,,
18.0,Tes,Hautes-Roches,,,,,
19.0,occupez,Écoutez,Coupez,,,,
20.0,le soleil,Savez,sèvre-le tout,sèvrerai,,,
21.0,Vatan,Meunet-sur-Vatan,Meunet,,,,
22.0,brune,lune,,,,,
23.0,vendange,Normandie,Mange,Maman,,,
24.0,aimais-tu,Sais-tu,aimais,,,,
25.0,ressens-tu,As-tu,Es-tu,Es-tu assez habile,Embrasse,,
26.0,SERVICE,Jusserand,Durand,,,,
27.0,la somme,de France,la France,,,,
28.0,Chétif,Chétif-Bail,,,,,
29.0,Tréchauderie,Périnnerie,veines,la Périnnerie,Bordinerie,,
