cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23
-1,Estimez,J',Mesdemoiselles,Embrasse,Pas,Dis-,Merci,Allons,A,la somme,SERVICE,Isaure,Sylvain,Afrique,Pierres-Folles,nankin,Normandie,Tixier,Poudre,provins,veines,Prévôt,la Blanche,Payez-les-moi
0,Petite Jeanne,champ de Jeanne,Nannette,petite Nannette,JEANNE VEUVE,,,,,,,,,,,,,,,,,,,
1,huche,Achetez,département du Cher,Mettez,Cher,,,,,,,,,,,,,,,,,,,
2,de France,la France,,,,,,,,,,,,,,,,,,,,,,
3,Te,Tes,Hautes-Roches,,,,,,,,,,,,,,,,,,,,,
4,Écoutez,Coupez,occupez,,,,,,,,,,,,,,,,,,,,,
5,ferme des Ormeaux,Ormeaux,,,,,,,,,,,,,,,,,,,,,,
6,Berry,rougeur,Jugez,beurrée,,,,,,,,,,,,,,,,,,,,
7,Tiens,Conviens,miens,,,,,,,,,,,,,,,,,,,,,
8,Saint-Pierre,Saint-Jean,la Saint-Pierre,,,,,,,,,,,,,,,,,,,,,
9,Voulez,le soleil,Voyez,bâle,,,,,,,,,,,,,,,,,,,,
10,Solange,sainte-Solange,Sainte-Solange,,,,,,,,,,,,,,,,,,,,,
11,Maman,vendange,Mange,,,,,,,,,,,,,,,,,,,,,
12,Oui,buis,,,,,,,,,,,,,,,,,,,,,,
13,Sais-tu,aimais,aimais-tu,,,,,,,,,,,,,,,,,,,,,
14,ressens-tu,As-tu,Es-tu assez habile,Es-tu,,,,,,,,,,,,,,,,,,,,
15,Crois-tu,Crois,crois-tu,,,,,,,,,,,,,,,,,,,,,
16,Sois,Vois,,,,,,,,,,,,,,,,,,,,,,
17,Laisse,valais,,,,,,,,,,,,,,,,,,,,,,
18,Durand,Jusserand,,,,,,,,,,,,,,,,,,,,,,
19,Grand Bail,Le Grand-Bail,Grand-Bail,,,,,,,,,,,,,,,,,,,,,
20,Chétif,Chétif-Bail,,,,,,,,,,,,,,,,,,,,,,
21,Incurables d'Issoudun,Issoudun,,,,,,,,,,,,,,,,,,,,,,
22,Prends,Attends,Apprenez,,,,,,,,,,,,,,,,,,,,,
23,Grise,la Grise,Paris,,,,,,,,,,,,,,,,,,,,,
24,faraud,Périnnerie,Tréchauderie,Bordinerie,la Périnnerie,,,,,,,,,,,,,,,,,,,
25,hôpital de Bourges,Bourges,,,,,,,,,,,,,,,,,,,,,,
26,Aidez,Regardez,garniront,,,,,,,,,,,,,,,,,,,,,
27,sèvrerai,sèvre-le tout,,,,,,,,,,,,,,,,,,,,,,
28,brune,lune,,,,,,,,,,,,,,,,,,,,,,
29,Vatan,Meunet,Meunet-sur-Vatan,,,,,,,,,,,,,,,,,,,,,
30,Savez,Avez,,,,,,,,,,,,,,,,,,,,,,
