cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0,anl,nly.,Manonl,egan,Orleans,,
1,XXIII.-Tho Arrival,CCI.-Tho,III.-Hoped,,,,
2,sidon,London,sont,LONDON,LoNDON,Constisulonal anne,
3,Waoodcuton,Woodcut onpge9,Woolcuton,,,,
4,R3,I0AND0N.,L0AND0N.,,,,
5,Las,Abrala,la,Black Chamber,walla,,
6,Trafalgar,alps,Caataleiealn,,,,
7,I1t:5,I1l,,,,,
8,Wooden,Woadenton,Greenwood,,,,
9,Markham,harcourt,wham,,,,
10,China,Carolina,india,Inn,in'a,Tenn,
11,crimea,OhIO,Biome,,,,
12,Need,een]stamped,ReiGned,,,,
13,u mn,Raamn,,,,,
14,Iast,ST,Did'as,Lydia,,,
15,SANTA CRU2,SANTA,,,,,
16,herts,Noemher,Vernon,,,,
17,Sydney,DN,,,,,
18,"COLI.--Congolese
SeRies",REsult-,hen eserclsd,essen,nnsey IIIsIoss,,
19,Tikrit,Packet,paris,Marian,africa,,
20,ZZ,mo,europe,Morocco,mOrtimer,bora,moro
21,Boudoir,Husband,Desire,Andes,el,Ireland,
22,Ill,Wilmot,il,Silica,,,
23,l slo,case]of,sc,asc sea,,,
