cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
-1,R3,ZZ,crimea,Trafalgar,Boudoir,REsult-,l slo,Tikrit,Desire,Did'as,el,mOrtimer,harcourt,bora,Constisulonal anne,Orleans
0,Ill,mo,Wilmot,il,,,,,,,,,,,,
1,Morocco,moro,,,,,,,,,,,,,,
2,africa,Silica,,,,,,,,,,,,,,
3,Las,Abrala,la,walla,,,,,,,,,,,,
4,alps,Caataleiealn,,,,,,,,,,,,,,
5,Iast,ST,,,,,,,,,,,,,,
6,case]of,sc,asc sea,,,,,,,,,,,,,
7,Inn,in'a,Tenn,,,,,,,,,,,,,
8,"COLI.--Congolese
SeRies",hen eserclsd,essen,,,,,,,,,,,,,
9,herts,Noemher,,,,,,,,,,,,,,
10,anl,nly.,Manonl,egan,Vernon,,,,,,,,,,,
11,Husband,Andes,Ireland,,,,,,,,,,,,,
12,I0AND0N.,L0AND0N.,,,,,,,,,,,,,,
13,sont,Woadenton,,,,,,,,,,,,,,
14,Wooden,Greenwood,,,,,,,,,,,,,,
15,Waoodcuton,Woodcut onpge9,Woolcuton,,,,,,,,,,,,,
16,sidon,London,LONDON,LoNDON,,,,,,,,,,,,
17,Need,een]stamped,ReiGned,,,,,,,,,,,,,
18,China,Carolina,,,,,,,,,,,,,,
19,OhIO,Biome,,,,,,,,,,,,,,
20,india,Lydia,,,,,,,,,,,,,,
21,paris,Marian,,,,,,,,,,,,,,
22,Markham,Packet,wham,Black Chamber,,,,,,,,,,,,
23,u mn,Raamn,,,,,,,,,,,,,,
24,Sydney,DN,,,,,,,,,,,,,,
25,XXIII.-Tho Arrival,CCI.-Tho,europe,III.-Hoped,nnsey IIIsIoss,,,,,,,,,,,
26,SANTA CRU2,SANTA,,,,,,,,,,,,,,
27,I1t:5,I1l,,,,,,,,,,,,,,
