cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5
0.0,China,Carolina,,,,
1.0,XXIII.-Tho Arrival,CCI.-Tho,III.-Hoped,nnsey IIIsIoss,,
2.0,crimea,mOrtimer,,,,
3.0,sidon,London,LONDON,LoNDON,,
4.0,Waoodcuton,Woodcut onpge9,Woadenton,Manonl,Woolcuton,
5.0,"COLI.--Congolese
SeRies",hen eserclsd,Vernon,,,
6.0,REsult-,europe,Constisulonal anne,,,
7.0,Morocco,moro,,,,
8.0,SANTA CRU2,SANTA,,,,
9.0,herts,Noemher,,,,
10.0,I0AND0N.,Husband,Desire,Andes,Ireland,L0AND0N.
11.0,Wooden,een]stamped,Greenwood,,,
12.0,Lydia,paris,Marian,,,
13.0,Markham,Packet,wham,Black Chamber,,
14.0,india,africa,Silica,,,
