cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,il,Ill,Silica,Wilmot,,,,,
1,in'a,Inn,Tenn,Carolina,R3,China,,,
2,Caataleiealn,alps,Trafalgar,,,,,,
3,OhIO,Biome,,,,,,,
4,DN,Sydney,,,,,,,
5,I1l,I1t:5,,,,,,,
6,I0AND0N.,L0AND0N.,,,,,,,
7,Lydia,Did'as,india,,,,,,
8,herts,Noemher,,,,,,,
9,sc,asc sea,case]of,,,,,,
10,Ireland,Husband,Desire,Andes,el,,,,
11,Waoodcuton,Woodcut onpge9,Woolcuton,,,,,,
12,"COLI.--Congolese
SeRies",REsult-,essen,hen eserclsd,,,,,
13,Packet,paris,Marian,africa,Tikrit,crimea,,,
14,Las,walla,Abrala,la,,,,,
15,u mn,Greenwood,Woadenton,Wooden,,,,,
16,LONDON,LoNDON,sont,London,sidon,Boudoir,Vernon,Constisulonal anne,l slo
17,Iast,ST,een]stamped,,,,,,
18,Black Chamber,Raamn,Markham,wham,harcourt,,,,
19,SANTA,SANTA CRU2,,,,,,,
20,Orleans,nly.,Manonl,anl,egan,,,,
21,Need,ReiGned,,,,,,,
22,mo,bora,ZZ,europe,mOrtimer,Morocco,moro,,
23,nnsey IIIsIoss,III.-Hoped,CCI.-Tho,XXIII.-Tho Arrival,,,,,
