cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
-1,Orleans,REsult-,bora,ZZ,nly.,Boudoir,R3,harcourt,Constisulonal anne,egan,l slo,el
0,I1l,I1t:5,,,,,,,,,,
1,SANTA,SANTA CRU2,,,,,,,,,,
2,nnsey IIIsIoss,III.-Hoped,CCI.-Tho,europe,XXIII.-Tho Arrival,,,,,,,
3,DN,Sydney,,,,,,,,,,
4,u mn,Raamn,,,,,,,,,,
5,Lydia,india,Tikrit,,,,,,,,,
6,Carolina,China,,,,,,,,,,
7,OhIO,Biome,,,,,,,,,,
8,Need,een]stamped,ReiGned,,,,,,,,,
9,Packet,Black Chamber,Markham,wham,,,,,,,,
10,paris,Marian,,,,,,,,,,
11,"COLI.--Congolese
SeRies",essen,hen eserclsd,,,,,,,,,
12,in'a,Inn,Tenn,Did'as,,,,,,,,
13,Las,Caataleiealn,walla,Abrala,alps,Trafalgar,la,,,,,
14,mOrtimer,crimea,,,,,,,,,,
15,Iast,ST,,,,,,,,,,
16,sc,asc sea,case]of,,,,,,,,,
17,il,Ill,mo,Wilmot,,,,,,,,
18,LONDON,LoNDON,London,sidon,,,,,,,,
19,Silica,africa,,,,,,,,,,
20,Morocco,moro,,,,,,,,,,
21,Ireland,Husband,Desire,Andes,,,,,,,,
22,I0AND0N.,L0AND0N.,,,,,,,,,,
23,sont,Woadenton,,,,,,,,,,
24,Greenwood,Wooden,,,,,,,,,,
25,Waoodcuton,Woodcut onpge9,Woolcuton,,,,,,,,,
26,Vernon,Manonl,anl,,,,,,,,,
27,herts,Noemher,,,,,,,,,,
