cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,Comprenez,Comprends-tu,frenesie,Prenez,,,,,,,,,
1,palais de la fee Porcelaine,Palais-Royal,D,Porcelaines,Palais-Mazarin,,,,,,,,
2,Theatre-Frangais,Theatre-Francais,Être,Theatre-Frangcais,"Theatre-
Frangais",Frangais,theatre,frangcais,,,,,
3,rEgardez,Garçon,garde-robel,Regardez,gardes-du-corps,Rendez,egayer,,,,,,
4,LIl,Chili,aIl,1N,humilie,lilas,S,Cecilia,,,,,
5,Daniel,Danielln,Genies,Danielo,,,,,,,,,
6,tragedienne,Vienne,MArie-anne,Tiens,,,,,,,,,
7,R-L,-L,5I,sur-le-champ,.`2,,,,,,,,
8,credence,Providence,r8,execre,sUCRE,ceda,"pAs eNcore
rencontree",,,,,,
9,Demain-,N-,dEmanda,Maine,LE Lendemain,,,,,,,,
10,"Musc
severe",REvE,reveillon,Revolutionl,eleves,RAEvE,reveillee,treve,,,,,
11,Vois,Voilh,mefie-toil,voila,voirl,,,,,,,,
12,"E
Or
A","3z-E
E
Or
A","T
E",,,,,,,,,,
13,.l,.L,,,,,,,,,,,
14,noms.r6z,L.R,,,,,,,,,,,
15,Grand-Cercle,grace,Petite-Cercle,-C,Grand-Orient,,,,,,,,
16,Italie,Italiens,Fanfan-la-Italie,l'italie,d'Italie,Hospitalier,Kalatala,Italien,italie,l'Italie,,,
17,"place des
Terreaux",joufflus de douze,rue des,rue des Dames,M. de,baie de Naples,rue de Lille,,,,,,
18,Touraine,aTout,Retourne,,,,,,,,,,
19,Batignolleslo,"Bati-
gnolles",gnol,,,,,,,,,,
20,"Chateau-
Neuf-des-Après",Neuf-des-Après,,,,,,,,,,,
21,Anastasie,Pas,Gymnase,C(.%,Anastagille,aSans,,,,,,,
22,saluerentIIIRIAR,II,1E.,,,,,,,,,,
23,Espa-,aUn Espa-,Raspail,,,,,,,,,,
24,Somme,Rome,Necro-,trompe-la-mort,laLE ROMIAN,ronfla,l1'Epitome,E,Promettez,,,,
25,Papillon,"PAPILLON
Ehl bienl",PAPILLON,Grillon,"PAPILLON
Ehl",echantillon,"PAPILLON
Grimpe",,,,,,
26,Prairie,la Prairie,Prés,,,,,,,,,,
27,Foin,Loin,iNN,,,,,,,,,,
28,Heinl,Ohel,- Oh,Ohl,I,Helasl,Boheme,,,,,,
29,"maitres,-",MIais,voyais,tais5o,Ma-,mAIs,aimais,e,etais,sais,"AI
t
I",niais,
30,consternes,Consterna-,connaft,,,,,,,,,,
31,J',J'ai,,,,,,,,,,,
32,luil,Ebloui,Ouil,Pilouittl,oUi,,,,,,,,
33,Saint-,Saint-Petesbourg,eglise Saint-Pierre,Saint-Esprit,Saint-Theophile,Saint-Pierre,Saint-Emilion,Saint-Cloud,Saint-Pierre a Montmartre,,,,
34,I54,I59,,,,,,,,,,,
35,AS-tu bien,Eh bien,Eh,Bientot,Combien,,,,,,,,
36,Quartier-Latin,Quartier Latin,Quartier,Cachotier,quartier,Moustier,,,,,,,
37,deplume,Langlumeau,deplaft,,,,,,,,,,
38,fievre,Sevres,rY,fievres,levre,givre,,,,,,,
39,Parisl,Parfaitl,F,Paris,Arrivee,Rio,PAris,paRfois,Parisien,paraft,Chauve-Souris,Parisiens,boue de Paris
40,boulevard Montparnasse,Montparnasse,h Montparnasse,a Montparnasse,theatre Montparnasse,,,,,,,,
41,"PIERROTTE
I43
Cevenole",Pierrotte,"Vieille
bete de Pierrotte",Pierrotte -,Pierrotte.n,"Pierrotte
Pierrotte",palotte,,,,,,
42,amisln,veloursl,Bourgeoisln,Tribou,Luxembourg,,,,,,,,
43,pyramide d'Egypte,Egypte,Lamartine d'Elvire,,,,,,,,,,
44,fort Loyasse,Embrasse,Loyasse,assis,,,,,,,,,
45,Peyrol,Soubeyrol,Souwaroff,,,,,,,,,,
46,Confusement,menton,faiblement.z=-,x=-,t.t,bleme,Vraiment,,,,,,
47,Roberte,bete,"I


-' Et
y",BeteI74,La Bete,betes,,,,,,,
48,tete empanachee,"Es-tu betel
Si la tete te tourne",srete,tete,Pentecote,Tes,flte,tempete,discrete,Arretez,tetes,croirais-tu poete,
49,Infortunes,du Nord,Or,dore,,,,,,,,,
50,tueras lha-haut,Autre,La-haut,LA--3,,,,,,,,,
51,Eyssette,Odette,Eyssettel,Eyssettte,Mee Eyssette,Musette,,,,,,,
52,caraibe,Ca,ca,Cap,canape,Cadet,l1'Academie,,,,,,
53,3C-,C-,,,,,,,,,,,
54,tenezl,I99,Tenezl,Entrezl,Venez,,,,,,,,
55,Cevenol,Cevenole,Cevennes,,,,,,,,,,
56,Saint-Benoft,benl,rue Saint-Benoft,rue Saint-Guillaume,rue Saint-Guillaumel,rue Saint-Benoit,,,,,,,
57,venere Lalouette,Mee Lalouette,baguettel,Lalouettel,Lalouette,Rana-Valo,"vieux
Lalouette",devouee,,,,,
58,Non',Montez,mont-de-piete,Mont-,Lyon,Montmartre,l1'Odeon,,,,,,
59,Pardonnez,Chardon,chiffonnee,Pardon,Pardonne,Rhone,weldon,Sonne,,,,,
60,Germane,abbe Germane,abbe,,,,,,,,,,
61,Vallee,talle,allezl,val,alle,Palerme,Mlle,Allez,,,,,
