cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20
0,abbe Germane,rY,abbe,Germane,,,,,,,,,,,,,,,,,
1,alle,Vallee,allezl,I,Mlle,laLE ROMIAN,val,Palerme,talle,Allez,,,,,,,,,,,
2,Bamban,Cuba,Bandit,Bach',Lombards,Bambanl,,,,,,,,,,,,,,,
3,got,peut6ot,Mot,wagon,Escargots,,,,,,,,,,,,,,,,
4,Demain-,N-,Inde,LE Lendemain,O,dEmanda,,,,,,,,,,,,,,,
5,sagne,Rh6ne,champagne,Cassagne,d'Espagne,pagna,la Bretagne,Bretagne,,,,,,,,,,,,,
6,Cecilia,P,LIl,Religion,humilie,1N,Philistine,Chili,aIl,lilas,,,,,,,,,,,
7,Ohel,Ohl,Heinl,- Oh,Boheme,Helasl,,,,,,,,,,,,,,,
8,ICI,r6cI,"a47
Ici",Nice,mERci,dictce,,,,,,,,,,,,,,,
9,Grand-Cercle,grace,Grand-Orient,D,.,-C,Petite-Cercle,,,,,,,,,,,,,,
10,Sonne,connaft,MASoN,Lyon,Robinson,Vienne,chiffonnee,l1'Odeon,Rhone,,,,,,,,,,,,
11,Foin,Chinois,Champenoise,Inouï,gachisl,Chine,Loin,,,,,,,,,,,,,,
12,Neuf-des-Après,"Chateau-
Neuf-des-Après",F-=,,,,,,,,,,,,,,,,,,
13,"hotel Piloisl...
Du",hotel,hotel Pilois,L.R,tristel...,,,,,,,,,,,,,,,,
14,"AI
t
I","T
E","IX
TU",,,,,,,,,,,,,,,,,,
15,Montparnasse,Gymnase,h Montparnasse,theatre Montparnasse,a Montparnasse,boulevard Montparnasse,,,,,,,,,,,,,,,
16,---rciseizzz--,"S
---
e",L----,a----,L---,"L--
`",e,.--,"J 7'
1---- I","S
-
Lui
L---",4--,LA--3,"L--
`-",,,,,,,,
17,"Bati-
gnolles",Batignolleslo,gnol,,,,,,,,,,,,,,,,,,
18,Pier-,piece,Mlle Pier-,Hier-,,,,,,,,,,,,,,,,,
19,rEgardez,egayer,Regardez,E,garde-robel,gardes-du-corps,,,,,,,,,,,,,,,
20,Vatel,hate,Bhagiratha,Chateau-,I99,Attends,,,,,,,,,,,,,,,
21,C-,3C-,,,,,,,,,,,,,,,,,,,
22,College,Recollets,Vieux-College,collegel,bibliotheque du college,,,,,,,,,,,,,,,,
23,x=-,faiblement.z=-,t.t,enfaNt',bleme,Vraiment,,,,,,,,,,,,,,,
24,Muguet,Muguets,,,,,,,,,,,,,,,,,,,
25,baie de Naples,S,rue des,devouee,rue de Lille,pyramide d'Egypte,boue de Paris,4,joufflus de douze,rue des Dames,M. de,"place des
Terreaux",,,,,,,,,
26,fort Loyasse,Loyasse,Embrasse,,,,,,,,,,,,,,,,,,
27,Blanc,Langlumeau,Blancs,la manche,Languedoc,,,,,,,,,,,,,,,,
28,Somme,Rome,Promettez,l1'Epitome,Necro-,noms.r6z,trompe-la-mort,,,,,,,,,,,,,,
29,Pruneaux,Beaux,Beaucaire,bordeaux,Sceaux,,,,,,,,,,,,,,,,
30,Jacques,Iacques,Jacquesl,,,,,,,,,,,,,,,,,,
31,"Wsa
-","A
-.","L-N

A
f",-.s,"-
-
-]",,,,,,,,,,,,,,,,
32,la Prairie,Prairie,,,,,,,,,,,,,,,,,,,
33,dejeuna,jE,secrdtaire dejeune,Deja,,,,,,,,,,,,,,,,,
34,fievres,givre,levre,fievre,Sevres,,,,,,,,,,,,,,,,
35,Comedie,Comedie-Francaise,Comnme,Colombine,Comeidie,,,,,,,,,,,,,,,,
36,Sarlandais,Sarlande,"college modele de
Sarlandel",larmcs,Marsala,aSans,Sar-,,,,,,,,,,,,,,
37,I59,I54,,,,,,,,,,,,,,,,,,,
38,Saint-Pierre a Montmartre,Maintenant,Saint-Emilion,Saint-Esprit,Saint-,Saint-Theophile,Saint-Benoft,rue Saint-Benoit,rue Saint-Benoft,rue Saint-Guillaume,Saint-Petesbourg,Saint-Cloud,Saint-Pierre,eglise Saint-Pierre,rue Saint-Guillaumel,,,,,,
39,Vendredil,vENDRAS,Cudra,Vendredi,TU vENDRAS DE LA,,,,,,,,,,,,,,,,
40,menton,Mont-,Montez,Montmartre,t-=,mont-de-piete,,,,,,,,,,,,,,,
41,Saumon,SAUMON,,,,,,,,,,,,,,,,,,,
42,songeuse,Confusement,Crusoe,conge,Angelus,hideuse,,,,,,,,,,,,,,,
43,Rendez,tenezl,Prés,Prenez,Comprends-tu,Comprenez,Venez,Figurez,pensezl,Entrezl,Tenezl,frenesie,,,,,,,,,
44,Eyssettte,Musette,Eyssette,Mee Eyssette,Eyssettel,,,,,,,,,,,,,,,,
45,l1'Academie,canape,Ca,Cadet,caraibe,Cap,ca,annongca,,,,,,,,,,,,,
46,miserablel,abbe ruisselle,Grenelle,meLEsS,Rosellen,eLLE,ELlE-ELLE-L-,Mademoiselle.6,pele-mele,eleves,merl Le ciel,Camillel,passerelle,laquelle42,Le Rosellen,Polichinelle.n,celebres,,,,
47,venere Lalouette,"vieux
Lalouette",Lalouette,Mee Lalouette,baguettel,Kalatala,Lalouettel,palotte,,,,,,,,,,,,,
48,frangcais,Frangais,Theatre-Frangais,"Theatre-
Frangais",Theatre-Frangcais,Theatre-Francais,theatre,,,,,,,,,,,,,,
49,Naples,Chenilles,iles Marquises,Les Chenilles,asphyxie les etrangle,les Debuts,fillesen,les86,,,,,,,,,,,,,
50,Jugez,Caveau,Savez,Vive,avenue,vecu,Avez,savezl,bravel,RBvE,Voyez,,,,,,,,,,
51,tolocototignan,Tolocototignan,Rana-Valo,,,,,,,,,,,,,,,,,,
52,voyais,Vois,voirl,MOI,voila,Pilois,emouvoir,Voilh,,,,,,,,,,,,,
53,Espa-,aUn Espa-,Raspail,,,,,,,,,,,,,,,,,,
54,Combien,Eh bien,Eh,Bientot,Tiens,AS-tu bien,,,,,,,,,,,,,,,
55,clocher de Saint-Germain,Saint-Germain-des-,Saint-Germain,faubourg Saint-Germain,Pres-Saint-Gervais,horloge de Saint-Germain,Maine,AInsi-Dan,.`2,Saint-Germain-des-Prés,iNN,Saint-Germain-,,,,,,,,,
56,Rosel,Chose.8,Chosel,Choseln,Chose,"Chosel
Or","CHIOSE
A",Rose,,,,,,,,,,,,,
57,sec.g6,echope,Pachecon,bobeches,seche,Pacheco,,,,,,,,,,,,,,,
58,Saint-Nizier.n,Saint-Nizier,Nizier,Saint-Nizierl,,,,,,,,,,,,,,,,,
59,Carmelites,Carmelites -,place d'Armes,melopee,,,,,,,,,,,,,,,,,
60,"PAPILLON
Grimpe","PAPILLON
Ehl",Grillon,Papillon,"PAPILLON
Ehl bienl",PAPILLON,echantillon,,,,,,,,,,,,,,
61,Broum-Broum,eperdus,Perou,apergcu,Souwaroff,Fougeroux,europe,,,,,,,,,,,,,,
62,execre,sUCRE,credence,ceda,Providence,,,,,,,,,,,,,,,,
63,II,saluerentIIIRIAR,N,,,,,,,,,,,,,,,,,,
64,f,cimetieres,AmUser,tapissieres,serre-fille,arriere,premierln,Serrieres,Serrieres.n,Nanterre,Serrieresl,equerres,serrure,desert,Bernerette,,,,,,
65,.L,.l,,,,,,,,,,,,,,,,,,,
66,Parthenon,Cunocepa,deplaft,deplume,depart,depit,par-dessus,separa,dpart,,,,,,,,,,,,
67,Conseillez,Anastagille,cette Bastille,vicille fee,Villle,LLLLL- L,Marseille,Hacqueville,LLLLLLL-LLLLLLLL-,petille,,,,,,,,,,,
68,Cherchons,Perrache,Mon cher,Chutl,Cachotier,Cher,du cher,hesiter,cheminee,,,,,,,,,,,,
69,I45,"I,5",I49,I47,,,,,,,,,,,,,,,,,
70,Pardonnez,Garçon,Pardonne,Pardon,weldon,Expansion,Chardon,Iardin,,,,,,,,,,,,,
71,CoUCoU-BLANC,Coucou-bBlanc,Annou,"T

.-1coUcoU","T

.-1coUcoU-BLANC","Coucou-
Blanc",Micou,essouffle.coUcoU-BLANC,Accoude,Coucou,Boucoyran,Coucou-Blanc,Coucou-,Coucou-Blancl,F,Couru-Blanc,Coucou-Blancl Est,,,,
72,reveillee,RAEvE,Revolutionl,Être,reveillon,REvE,"Musc
severe",treve,,,,,,,,,,,,,
73,Hospitalier,Fanfan-la-Italie,moitie,d'Italie,Italiens,Italien,l'italie,italie,l'Italie,Italie,,,,,,,,,,,
74,Quartier Latin,Moustier,Quartier-Latin,quartier,Quartier,,,,,,,,,,,,,,,,
75,Daniel,Danielo,Danielln,,,,,,,,,,,,,,,,,,
76,"sI. -
I
-
5:
i","16 J
as4 -
L","I

-
i",".G

-

'","I


-' Et
y","J

-'
1
x
1","sI. -
I",,,,,,,,,,,,,,
