cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0.0,Comprenez,Comprends-tu,frenesie,Prenez,,,,,
1.0,Carmelites -,Carmelites,,,,,,,
2.0,Theatre-Frangais,Theatre-Francais,Theatre-Frangcais,"Theatre-
Frangais",Frangais,theatre,frangcais,,
3.0,Fougeroux,Jugez,Broum-Broum,Perou,,,,,
4.0,tragedienne,Vienne,vages,,,,,,
5.0,rEgardez,Garçon,garde-robel,Regardez,gardes-du-corps,egayer,,,
6.0,Marquises,iles Marquises,,,,,,,
7.0,LIl,lilas,,,,,,,
8.0,Chili,humilie,Cecilia,Philistine,,,,,
9.0,Daniel,Danielln,Genies,Danielo,,,,,
10.0,voyais,Voyez,sais,,,,,,
11.0,credence,Providence,,,,,,,
12.0,eleve Menalque,eleves,Menalque,,,,,,
13.0,Bandit,Dit,,,,,,,
14.0,"Musc
severe",REvE,reveillon,Revolutionl,RAEvE,reveillee,treve,,
15.0,Vois,Voilh,voila,,,,,,
16.0,"E
Or
A","3z-E
E
Or
A",,,,,,,
17.0,aIl,Raspail,,,,,,,
18.0,Le Rosellen,Rosel,Rose,laLE ROMIAN,Rosellen,,,,
19.0,Grand-Cercle,Petite-Cercle,Grand-Orient,,,,,,
20.0,"J

-'
1
x
1","I


-' Et
y",,,,,,,
21.0,Lombards,Colombine,,,,,,,
22.0,rue des,rue des Dames,M. de,rue de Lille,,,,,
23.0,Infortunes,fort Loyasse,Embrasse,Loyasse,,,,,
24.0,Touraine,Porcelaines,Maine,Retourne,,,,,
25.0,tais5o,ecoutais,etais,,,,,,
26.0,Parfaitl,separa,Cunocepa,depart,paraft,,,,
27.0,veloursl,Ebloui,Pilouittl,,,,,,
28.0,"Chateau-
Neuf-des-Après",Neuf-des-Après,Chateau-,hate,,,,,
29.0,Peyrol,Soubeyrol,,,,,,,
30.0,Papillon,"PAPILLON
Ehl bienl",PAPILLON,Grillon,"PAPILLON
Ehl",echantillon,"PAPILLON
Grimpe",,
31.0,"maitres,-",Être,Autre,Entrezl,,,,,
32.0,d'Espagne,Espa-,aUn Espa-,,,,,,
33.0,Rome,trompe-la-mort,Promettez,,,,,,
34.0,Puis,buis,,,,,,,
35.0,moitie,Tiens,MOI,,,,,,
36.0,Sceaux,Pruneaux,bordeaux,Beaux,Caveau,,,,
37.0,Prairie,la Prairie,,,,,,,
38.0,Foin,Loin,paRfois,,,,,,
39.0,Ohel,Helasl,Boheme,,,,,,
40.0,Desir-de-plaire,par-dessus,sire-de-plaire,,,,,,
41.0,consternes,Consterna-,,,,,,,
42.0,tristel...,Vatel,Cristaux,,,,,,
43.0,mAIs,aimais,,,,,,,
44.0,saluerentIIIRIAR,Confusement,menton,faiblement.z=-,ronfla,Vraiment,,,
45.0,europe,melopee,echope,,,,,,
46.0,luil,Ouil,oUi,,,,,,
47.0,Cassagne,pagna,sagne,assis,,,,,
48.0,Saint-,Saint-Petesbourg,Saint-Esprit,Saint-Theophile,Saint-Emilion,Saint-Cloud,,,
49.0,AS-tu bien,Eh bien,Bientot,rien.- A,Combien,,,,
50.0,Quartier-Latin,Quartier Latin,Quartier,quartier,,,,,
51.0,deplume,Langlumeau,deplaft,,,,,,
52.0,gachisl,Bach',"CHIOSE
A",,,,,,
53.0,fievre,Sevres,fievres,levre,givre,,,,
54.0,Parisl,Paris,PAris,Parisien,Parisiens,boue de Paris,,,
