cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,abbe Germane,Rh6ne,"A
-.",abbe,Germane,,,,,,
1,Cecilia,humilie,Philistine,Chili,Faust,,,,,,
2,"sI. -
I
-
5:
i","16 J
as4 -
L","I

-
i","sI. -
I","-
-
-]",,,,,,
3,alle,f,Cuba,Jugez,Vallee,allezl,talle,Allez,,,
4,Bamban,Bandit,Lombards,Bambanl,,,,,,,
5,Demain-,LE Lendemain,dEmanda,Voyez,,,,,,,
6,menage,Dit,eleve Menalque,vages,Menalque,exageree,menagerie,,,,
7,sagne,1R-,Cassagne,Eh,Inouï,pagna,la Bretagne,Bretagne,,,
8,LIl,J'ai,lilas,,,,,,,,
9,ICI,"a47
Ici",5I,F,.'-,,,,,,
10,Grand-Cercle,grace,II,Grand-Orient,mERci,,,,,,
11,execre,sUCRE,credence,Necro-,,,,,,,
12,gresil,resister,hesiter,Malgre,-L,,,,,,
13,"pAs eNcore
rencontree",Rhone,Pas,J',Providence,,,,,,
14,Annou,RBvE,MArie-anne,annongca,,,,,,,
15,srete,tempete,Y,discrete,Arretez,t-'-,,,,,
16,"S
---
e",L----,a----,L---,"J 7'
1---- I","S
-
Lui
L---",I.E,,,,
17,"Bati-
gnolles",Batignolleslo,gnol,Rio,,,,,,,
18,Pier-,C(.%,piece,aIl,Mlle Pier-,Grossiers,Hier-,,,,
19,College,Recollets,Lyon,Vieux-College,collegel,bibliotheque du college,,,,,
20,got,"AI
t
I",faiblement.z=-,menton,Confusement,Boheme,"Limoux
Seulement",bleme,Vraiment,,
21,Muguet,Bhagiratha,Muguets,t.t,Crusoe,I99,baguettel,Languedoc,I47,,
22,C-,rue des,rue de Lille,rue des Dames,Cap,,,,,,
23,moitie,1N,Tiens,MOI,,,,,,,
24,fort Loyasse,assis,Loyasse,Embrasse,,,,,,,
25,magnifiquel,amérique,Afrique,Que Voulez,,,,,,,
26,Marquises,---rciseizzz--,miserablel,Pise,lisezl,,,,,,
27,"PAPILLON
Grimpe","PAPILLON
Ehl",Ohl,Papillon,"PAPILLON
Ehl bienl",PAPILLON,aSans,,,,
