cluster,elem_0,elem_1,elem_2,elem_3,elem_4
0.0,miens,Tiens,,,
1.0,l'Orphelinat,Orphelinat,,,
2.0,– Vois-tu,Quelquefois,Quelque,Parfois,
3.0,la manche,manche,la terre,Bibiche,la Blanche
4.0,Hier,Vierge,Châtaigniers,,
5.0,Sainte-Montagne,Sologne,Saintes Huiles,,
6.0,Tirande,de France,Tireli,,
7.0,château du Gué Perdu,Eau,Gué Perdu,,
8.0,Marie-Aimée,notre Marie-Claire,Paris,tremblées,
9.0,Castille,Villevieille,,,
10.0,Saint-Jean,La Saint-Jean,,,
11.0,tournai,– Pauvre,– Pourtant,fourrai,
12.0,Étoile,,,,
13.0,Communs,Combien,,,
14.0,Mélanie,grosse Mélanie,La grosse Mélanie,,
15.0,Désirée-des-Anges,Désiré-des-Anges,Ismérie,lingerie,
16.0,– Donnez,Mlle Maximilienne,,,
17.0,– Tes,Augustine,Martine,,
18.0,– Étoile,,,,
