cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0,– Vois-tu,Quelquefois,Parfois,,,,
1,l'Orphelinat,Orphelinat,jappe,Eau,Chicon,Tireli,
2,Marie-Aimée,notre Marie-Claire,Merci,Paris,Ismérie,Martine,
3,miens,la manche,manche,la terre,Bibiche,de France,la Blanche
4,Sainte-Montagne,Saint-Jean,La Saint-Jean,Sologne,Douze,Saintes Huiles,
5,tournai,– Pourtant,Sautons,fourrai,,,
6,Tirande,voyais,Combien,,,,
7,Castille,Mlle Maximilienne,Villevieille,,,,
8,Étoile,Communs,– Étoile,,,,
9,– Donnez,Mélanie,Augustine,grosse Mélanie,Tiens,La grosse Mélanie,
10,Quelque,Désirée-des-Anges,Désiré-des-Anges,lingerie,buis,,
11,Hier,Vierge,Gué Perdu,Châtaigniers,,,
12,Vin,tremblées,,,,,
13,– Tes,Rome,alluma,Bel-Œil,,,
14,– Pauvre,château du Gué Perdu,bobo,–,J',,
