cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
-1,– Donnez,jappe,– Tes,bobo,Sologne,Eau,–,Sautons,tremblées,alluma,Bel-Œil,J'
0,Désirée-des-Anges,Désiré-des-Anges,,,,,,,,,,
1,l'Orphelinat,Orphelinat,,,,,,,,,,
2,Étoile,– Étoile,,,,,,,,,,
3,Sainte-Montagne,Saintes Huiles,,,,,,,,,,
4,Saint-Jean,La Saint-Jean,,,,,,,,,,
5,Mélanie,grosse Mélanie,La grosse Mélanie,,,,,,,,,
6,Vin,Douze,,,,,,,,,,
7,tournai,fourrai,,,,,,,,,,
8,– Pauvre,– Pourtant,,,,,,,,,,
9,Bibiche,Chicon,,,,,,,,,,
10,Tirande,de France,Tireli,,,,,,,,,
11,la manche,manche,la terre,la Blanche,,,,,,,,
12,Augustine,Martine,,,,,,,,,,
13,château du Gué Perdu,Gué Perdu,,,,,,,,,,
14,Merci,Rome,,,,,,,,,,
15,Communs,Combien,,,,,,,,,,
16,Hier,Vierge,Châtaigniers,,,,,,,,,
17,Marie-Aimée,notre Marie-Claire,Ismérie,lingerie,,,,,,,,
18,Quelquefois,Quelque,,,,,,,,,,
19,miens,Tiens,,,,,,,,,,
20,Castille,Mlle Maximilienne,Villevieille,,,,,,,,,
21,Paris,Parfois,,,,,,,,,,
22,– Vois-tu,voyais,buis,,,,,,,,,
