cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0,tournai,Douze,fourrai,– Pourtant,,,
1,Orphelinat,l'Orphelinat,Tireli,,,,
2,alluma,Martine,Vin,Augustine,Sologne,– Donnez,
3,Villevieille,Étoile,Castille,Bel-Œil,– Étoile,,
4,la manche,de France,manche,la terre,la Blanche,Bibiche,–
5,Merci,Châtaigniers,Hier,lingerie,Vierge,Chicon,
6,La Saint-Jean,Saint-Jean,Saintes Huiles,Sainte-Montagne,,,
7,tremblées,Désiré-des-Anges,Tirande,Désirée-des-Anges,– Tes,,
8,Eau,Gué Perdu,jappe,château du Gué Perdu,,,
9,Quelquefois,– Vois-tu,Quelque,,,,
10,voyais,Ismérie,buis,Parfois,Paris,– Pauvre,Marie-Aimée
11,Tiens,J',Combien,Mlle Maximilienne,Sautons,miens,Communs
12,notre Marie-Claire,Rome,La grosse Mélanie,Mélanie,grosse Mélanie,,
13,bobo,,,,,,
