cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16
-1,Eau,alluma,J',jappe,Douze,buis,Vin,tremblées,Sautons,Bel-Œil,Sologne,Chicon,Bibiche,– Tes,–,bobo,– Donnez
0,Gué Perdu,château du Gué Perdu,,,,,,,,,,,,,,,
1,Châtaigniers,Hier,Vierge,,,,,,,,,,,,,,
2,Ismérie,lingerie,notre Marie-Claire,Marie-Aimée,,,,,,,,,,,,,
3,Parfois,Paris,,,,,,,,,,,,,,,
4,voyais,– Vois-tu,,,,,,,,,,,,,,,
5,Quelquefois,Quelque,,,,,,,,,,,,,,,
6,Merci,Rome,,,,,,,,,,,,,,,
7,Villevieille,Castille,Mlle Maximilienne,,,,,,,,,,,,,,
8,Tiens,miens,,,,,,,,,,,,,,,
9,Combien,Communs,,,,,,,,,,,,,,,
10,Martine,Augustine,,,,,,,,,,,,,,,
11,tournai,fourrai,– Pauvre,– Pourtant,,,,,,,,,,,,,
12,de France,Tirande,Tireli,,,,,,,,,,,,,,
13,la manche,manche,la terre,la Blanche,,,,,,,,,,,,,
14,La grosse Mélanie,Mélanie,grosse Mélanie,,,,,,,,,,,,,,
15,Saintes Huiles,Sainte-Montagne,,,,,,,,,,,,,,,
16,La Saint-Jean,Saint-Jean,,,,,,,,,,,,,,,
17,Étoile,– Étoile,,,,,,,,,,,,,,,
18,Orphelinat,l'Orphelinat,,,,,,,,,,,,,,,
19,Désiré-des-Anges,Désirée-des-Anges,,,,,,,,,,,,,,,
