cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,Coningsby,Coningsbyl,Coningsby ta,Coningsb,Augsburg,Learning,,,,,,,
1,Rigby,Rigbyites,Brighton,"L 2
22",Rigbys,britska,,,,,,,
2,America,Mexico,Nilotic Africa,Medioerity,Jamaica,Africa,Cambridge,,,,,,
3,colege,Co.,Toledo,Egypt,Walpole,Colleges,Egean,,,,,,
4,Lucretia,Lucca,the Prineess Lucretia,Lueretia,Luretia,Lucullus,,,,,,,
5,Ermengarde,Derby,Carlton Gardens,Aldermen,,,,,,,,,
6,London,onee,Iobson,Lisbon,Richmond,Clarendon,Babylon,Wimbledon,umong,Lon-,Macedon,Leontium,Anon
7,Ecelesiastical,Castle,occason,Caucasus,East,Newcastle,Cadiz,,,,,,
8,Oxford,Darlford,beforo,Bradford,Forum,,,,,,,,
9,the United States,the United Provinces,invite2,Providence,the United Kingdom,Thebes,,,,,,,
10,Jemmy,Jew,,,,,,,,,,,
11,the County Chronicle,midland county,the Rue Tronchet,the County of -,Munich,,,,,,,,
12,Whites,Hippocrates,Bacchantes,white bait,Whitehall,Pitt,,,,,,,
13,Westminster,West India,West,Study,Duchess,Weston,Westmoreland,Esq,Estates,Sevres,,,
14,Hades,Maidenhead,Madrid,Blenheim,,,,,,,,,
15,Wotton,Loretto,Cottage,Potts,Eaton,Melton,Shabbyton,,,,,,
16,Lancaster,confiscated Ireland,Selter,Manchester,Studcaster,Canterbury,Mediterranean,Lawgiver,Lancashire,,,,
17,Leicestershire,Berkshire,Irish Secretaryship,Hertfordshire,Yorkshire,,,,,,,,
18,Granada,Panama,Pagan,Manhood,Germany,Benumanoir,Lepanto,,,,,,
19,Mademoisele,Mademoiselle Flora,Culloden,Floa,Israel,Rebello,,,,,,,
20,inn,Seine,Holbein,this Cuabinet of Medio-,Sydney,Phryne,,,,,,,
21,Lima,hima,Marquess,Mahomet,,,,,,,,,
22,Roxalana,cipaly,Hall,Alps,Realm,Italy,Laly,Iltaly,Lais,cordialy,realy,,
23,St. Petersburg,Persia,Persian Empire,Taper,Opera,,,,,,,,
24,Boursc,Luxembourg,Burnet,Melbourne,Nemesis,,,,,,,,
25,Infirmary,tnnbibia,Birmingham,Edinburgh,Everingham,Nottingham,,,,,,,
26,Ambassa-,Embassy,passod,,,,,,,,,,
27,Temple,Argyle,Wesleyans,Wellesley,Naples,Chudleigh,Lely,,,,,,
28,Windsor,"Windsor
Park",Windsor rang,,,,,,,,,,
29,Park,the Republic of Paris,Valparaiso,Froissart,the British Isles,Paris,Pah1,Paradise,Kildare,,,,
30,Saxon,Saxony,,,,,,,,,,,
31,Prussia,Russia,,,,,,,,,,,
32,Phenix,Venice,Mauritania,San Benito,Benito,Ixnbe,,,,,,,
33,Naples Sidonia,iSidonia,Sidonia,Monsieur Sidonia's,Medina Sidonia,Monsieur Sidonia,,,,,,,
