cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0.0,Coningsby,Coningsbyl,Coningsby ta,Coningsb,Learning,,,
1.0,Lyndhurst,Christchurch,,,,,,
2.0,the United States,the United Provinces,Hippocrates,the United Kingdom,Estates,,,
3.0,"the Ruo
Rivoli",the Eil de Beuf,the Rue Tronchet,Rivoli,the New Poor Lsw,,,
4.0,Roxalana,Milan,Miln,Tamerlane,,,,
5.0,Berlin,Arlington Street,Wellington,Downing Street,,,,
6.0,here3,Heroes,here2,Jeremiads,,,,
7.0,Castle,East,Newcastle,,,,,
8.0,woodland,Highland,midland,Monkey Island,Chudleigh,Scotland,the Holy Land,Poland
9.0,Hanover,Hansard,Sovereigns,,,,,
10.0,Lima,hima,,,,,,
11.0,Westminster,West India,West,Weston,,,,
12.0,Providence,Maidenhead,Blenheim,,,,,
13.0,Naples Sidonia,iSidonia,Naples,Sidonia,Medina Sidonia,,,
14.0,Scienee,onee,Throne,,,,,
15.0,Phenix,Venice,Athens,,,,,
16.0,Alps,Valparaiso,Walpole,Lais,Paradise,,,
17.0,the green district,Ministry,Austria,the green mountains,,,,
18.0,occason,Iobson,Lucca,Caucasus,,,,
19.0,Phillippics,"Salt
Hill",Philip,Aquatics,,,,
20.0,Ecelesiastical,America,Nilotic Africa,Africa,Nile,,,
21.0,Panama,Jamaica,Lepanto,,,,,
22.0,Loretto,adore2,,,,,,
23.0,Mademoisele,Mademoiselle Flora,Madrid,Floa,,,,
24.0,Mill,Milbanks,MILLBANK,Milbank,Albany,Millbank,,
25.0,Ravenna,Vienna,,,,,,
26.0,Seine,Holbein,Palestine,,,,,
27.0,Cottage,Potts,,,,,,
28.0,Grand Cairo,Strand Coffee-,Strand,,,,,
29.0,cipaly,Italy,Laly,Iltaly,cordialy,tinualy,realy,
30.0,Froissart,Varter,Selter,Waterloo,,,,
31.0,Mauritania,Neapolitan,Politil,,,,,
32.0,Thou,Althorp,Baltic,,,,,
33.0,Boursc,Luxembourg,Burnet,Melbourne,,,,
34.0,Richmond,umong,Munich,,,,,
35.0,Ambassa-,Embassy,passod,,,,,
36.0,Uwins,Realm,Windsor,"Windsor
Park",Windsor rang,,,
37.0,Infirmary,St. Paul,St. Mary's,St.,Marquess,,,
38.0,Temple,Persia,Persian Empire,,,,,
39.0,Culloden,Lucullus,,,,,,
40.0,Astrachan,Bacchantes,Canterbury,CcHAPTER XIV,,,,
41.0,Lancaster,Study,Studcaster,,,,,
42.0,Sussex,Prussia,Jerusalem,Russia,,,,
43.0,Manchester,Western Europe,Europe,Inferno,,,,
44.0,San Benito,Troy,Benito,WiIl Vanity,,,,
45.0,London,Clarendon,Hindostan,Kildare,,,,
46.0,Granada,graecful,Israel,Wilkie,,,,
47.0,M. Ville-,dishabille,Ill,Mlle,Seville,Villebeeque,Ville,Willesden
48.0,Parliamnent,Parliamentasy,Parlia,,,,,
49.0,Belgium,Rebello,Leontium,,,,,
50.0,Saxon,Saxony,,,,,,
51.0,Nemesis,St. James,St. James's,St. John,St. John's,oL. J.,St. James',
52.0,Brennus,Thebes,Hebrews,,,,,
53.0,Helingsley,Walingers,Wesleyans,Hel,Wellesley,Hellingsby,Hellingsley,Iellingsley
54.0,Greeks,Greece,,,,,,
55.0,Toledo,Wimbledon,Macedon,,,,,
56.0,Monmouth,South,Southern Italy,,,,,
57.0,firiends,Irish Secretaryship,Friendship,Ladyship,,,,
58.0,Palmerston,Wotton,Brighton,Eaton,Melton,Shabbyton,,
59.0,Sinai,China,Ferdinand,,,,,
60.0,confiscated Ireland,Westmoreland,Ireland,Sevres,,,,
61.0,Oxford,Darlford,Bradford,Brazils,,,,
62.0,field11,Field,Oriel,,,,,
63.0,Carlton Gardens,Lisbon,Carlist,,,,,
64.0,Frankfort,beforo,Forum,,,,,
65.0,the British Isles,Peninsula,the Spanish Peninsula,,,,,
66.0,Duchess,Nebuchadnezzar,Sydney,,,,,
67.0,Rigby,Rigbyites,Rigbys,,,,,
68.0,Frenchwomen,Frenchmen,,,,,,
69.0,fabri,britska,Cambridge,,,,,
70.0,the County Chronicle,midland county,the County of -,,,,,
71.0,colege,Colleges,Egean,,,,,
72.0,Monsieur Sidonia's,Monsieur Sidonia,,,,,,
73.0,Babylon,Lon-,Barcelona,,,,,
74.0,Lucretia,the Prineess Lucretia,Lueretia,Luretia,,,,
75.0,Hall,Whites,invite2,white bait,Whitehall,,,
76.0,France,Medioerity,Arragon,this Cuabinet of Medio-,Mediterranean,,,
77.0,Isthmus,Hades,Cadiz,Academus,,,,
78.0,Ermengarde,Derby,Aldermen,,,,,
79.0,Birmingham,tin2,Everingham,Nottingham,,,,
80.0,BOoK VIII,Pembroke,Brocas,brook,,,,
81.0,Rossendale,absent2,Regent,,,,,
82.0,Rome,Mahomet,,,,,,
83.0,England l'',England,Lngland,,,,,
84.0,Lawgiver,Liverpool,,,,,,
85.0,Moffatt,Gazette,Watteau,,,,,
86.0,cloul,Louis Qua-,Borough,Slough,,,,
87.0,Earwig,Carthage,earth,,,,,
88.0,St. Petersburg,Edinburgh,Augsburg,,,,,
89.0,Paris,Spain,Charta,Sparta,,,,
90.0,Northamptonshire,Tamworth,the Nortlern Sea,North,,,,
91.0,the Prince Colonna,Dame,Madame B. de R-d,Colonna,Torquamada,Madame Colonna,,
92.0,Byron,Barnes,Lazaroni,Barony,,,,
93.0,Leicestershire,Berkshire,Hertfordshire,Lancashire,Yorkshire,,,
94.0,Trautsmandorff,Manhood,Germany,Anon,Benumanoir,,,
95.0,Park,the Republic of Paris,the Lock Pool,De Lolme,Hyde Park Place,the Upper Park,the Lower Park,
96.0,Moorish kingdom,The Kingdom of France,King,modemn kingdoms,Kingdom,,,
97.0,Nuneham,Thames,Amersham,Durham,,,,
98.0,Penelope,Taper,Opera,,,,,
99.0,NEW GENERAII0N.,St. Gene-,St. Genevievel,"St. Genevievel
coNINGSBY",Geneva,St. Genevieve,,
100.0,tnnbibia,Arabia,,,,,,
