cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,Luretia,Lucretia,Lueretia,Jemmy,the Prineess Lucretia,,,,,,,
1,Venice,Munich,Lima,Phenix,BOoK VIII,,,,,,,
2,"Salt
Hill",Hall,Phillippics,Philip,Moffatt,Ill,,,,,,
3,snuf,Granada,Panama,Hebrews,graecful,inn,,,,,,
4,Scienee,Penelope,onee,,,,,,,,,
5,Estates,Hindostan,Hippocrates,Oswld,,,,,,,,
6,Regent,Colleges,Belgium,Egean,colege,Lais,Mlle,,,,,
7,Embassy,Ambassa-,passod,Thou,,,,,,,,
8,Milbanks,MILLBANK,Mill,Milbank,Albany,Millbank,,,,,,
9,Varter,Sparta,Lely,Sedgwick,Selter,Waterloo,Froissart,,,,,
10,Parliamnent,Carlist,absent2,Egypt,Parliamentasy,Iobson,Parlia,Berlin,Brazils,,,
11,Nuneham,Durham,Thames,Amersham,,,,,,,,
12,the green mountains,Greeks,Greece,the green district,,,,,,,,
13,Loretto,adore2,,,,,,,,,,
14,Phryne,Cadiz,MR,Lisbon,,,,,,,,
15,Pah1,,,,,,,,,,,
16,Hel,Hellingsley,Wesleyans,Esq,Iellingsley,Wellington,Wellesley,Walingers,tnnbibia,Hellingsby,Mexico,Helingsley
17,Sidonia,Monsieur Sidonia's,Pitt,Realm,Tokay,Medina Sidonia,Naples Sidonia,Monsieur Sidonia,iSidonia,,,
18,Heroes,here3,Pavia,Jeremiads,here2,Sovereigns,Holbein,,,,,
19,Whitehall,invite2,white bait,Whites,,,,,,,,
20,woodland,Westmoreland,midland,Ireland,confiscated Ireland,Scotland,the Holy Land,Highland,Monkey Island,Poland,,
21,Cambridge,britska,Spinoza,fabri,,,,,,,,
22,Academus,Mademoisele,Mademoiselle Flora,Madrid,Hades,,,,,,,
23,Taper,Opera,Persia,Persian Empire,,,,,,,,
24,Burnet,Canterbury,Barnes,,,,,,,,,
25,Russia,Prussia,Jerusalem,Sussex,,,,,,,,
26,Liverpool,Hansard,Hanover,Anon,Lawgiver,,,,,,,
27,Culloden,Maidenhead,Carlton Gardens,Providence,Arragon,,,,,,,
28,Argyle,hima,,,,,,,,,,
29,Macedon,Wimbledon,Jew,Toledo,Clarendon,,,,,,,
30,Troy,England l'',England,Lngland,,,,,,,,
31,Shabbyton,Saxon,Melton,Eaton,Palmerston,Wotton,Brighton,Derby,Nuovos,,,
32,Italy,cordialy,cipaly,tinualy,Laly,realy,Potts,Iltaly,Leontium,,,
33,occason,Brocas,wi,brook,Pembroke,Caucasus,,,,,,
34,Lancashire,Berkshire,Hertfordshire,Leicestershire,Yorkshire,Northamptonshire,,,,,,
35,Earwig,earth,Carthage,Chudleigh,,,,,,,,
36,tin2,Palestine,Rossendale,Seine,,,,,,,,
37,beforo,Darlford,Bradford,Forum,Oxford,,,,,,,
38,Coningsby,Coningsby ta,Coningsbyl,Coningsb,,,,,,,,
39,Austria,Arlington Street,Ixnbe,Downing Street,Learning,,,,,,,
40,Rigbys,Rigbyites,Rigby,,,,,,,,,
41,Sydney,Blenheim,,,,,,,,,,
42,Bacchantes,CcHAPTER XIV,Charta,Nebuchadnezzar,Astrachan,,,,,,,
43,Irish Secretaryship,Ladyship,firiends,Friendship,,,,,,,,
44,Mahomet,Rome,,,,,,,,,,
45,Miln,Eu,Milan,Tamerlane,Roxalana,,,,,,,
46,Southern Italy,umong,Monmouth,South,Si,Gazette,,,,,,
47,St. James's,St. James',St. James,Nemesis,Co.,,,,,,,
