cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0,Coningsby,Coningsbyl,Coningsby ta,Coningsb,Downing Street,Learning,,,,
1,Mill,Milan,Miln,Ill,"Salt
Hill",Brazils,Kildare,,,
2,the United States,the United Provinces,Hippocrates,the United Kingdom,Estates,,,,,
3,"the Ruo
Rivoli",the Republic of Paris,the Rue Tronchet,Nuovos,Rivoli,,,,,
4,Rigby,Rigbyites,Rigbys,,,,,,,
5,colege,Co.,Toledo,Egypt,Walpole,Colleges,Regent,Egean,,
6,Lucretia,Lucca,the Prineess Lucretia,Lueretia,Luretia,,,,,
7,Ermengarde,Derby,Carlton Gardens,Germany,Aldermen,,,,,
8,London,Iobson,Lisbon,Richmond,Clarendon,Babylon,Wimbledon,Lon-,Macedon,Leontium
9,Mademoisele,Hades,snuf,Mademoiselle Flora,Mn,Academus,MR,,,
10,Park,Paris,Hyde Park Place,Pah1,the Upper Park,Sparta,the Lower Park,,,
11,Ecelesiastical,Castle,occason,Caucasus,East,Newcastle,,,,
12,Oxford,Darlford,beforo,Bradford,Forum,,,,,
13,Jemmy,Jew,,,,,,,,
14,the County Chronicle,the County of -,Munich,,,,,,,
15,the Lock Pool,the Eil de Beuf,De Lolme,the New Poor Lsw,Liverpool,,,,,
16,Hanover,Hansard,Sovereigns,Lawgiver,Anon,,,,,
17,Lima,hima,,,,,,,,
18,Westminster,West India,West,Weston,Esq,Palestine,Sevres,,,
19,Providence,Maidenhead,Madrid,Blenheim,,,,,,
20,Scienee,onee,Throne,Nebuchadnezzar,Sydney,Phryne,,,,
21,Infirmary,inn,Spinoza,Seine,tnnbibia,Holbein,Inferno,,,
22,Wotton,Loretto,Cottage,Potts,Eaton,Melton,Shabbyton,,,
23,Alps,Valparaiso,Israel,Lais,Paradise,Arabia,,,,
24,woodland,midland county,midland,Scotland,the Holy Land,,,,,
25,Phillippics,Philip,Aquatics,,,,,,,
26,Leicestershire,Berkshire,Hertfordshire,Lancashire,Yorkshire,,,,,
27,Roxalana,Granada,Panama,Pagan,Manhood,Lepanto,,,,
28,Italy,Laly,Southern Italy,Iltaly,cordialy,tinualy,Pitt,,,
29,Medioerity,this Cuabinet of Medio-,Mediterranean,,,,,,,
