cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
-1,Providence,Flanders,NURSE,UNDERSELL,Great,Foxglove,Cretan,PLAIN STATEMENT,MR,Scotland,Helvellyn,Cannon,Tilbury Fort,Venus,Leeds,Louisa,Deep,France,Deep-Valley,MS,Sèvre china,morocco,Saxony,Charlotte,M.D.,Paris,Shakspeare,Mexico,Warwick
0,Lancashirc,Lancashire,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,York,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Derbyshire,DERBYSHIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rebecca,Neckerby,Blackberry,Becky,,,,,,,,,,,,,,,,,,,,,,,,,
4,Westmorland,Poland,Highland,England,,,,,,,,,,,,,,,,,,,,,,,,,
5,Scotch,Prescot,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,premises,Wakefield,Sykeses,Drakes,,,,,,,,,,,,,,,,,,,,,,,,,
7,Madeira,London Madeira,Cologne,London,Golconda,,,,,,,,,,,,,,,,,,,,,,,,
8,orient,Prentice,Nice,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Africa,America,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Britain,Spain,Italy,Samaritan,,,,,,,,,,,,,,,,,,,,,,,,,
11,Turpin,woodbine,Turkey,inn,,,,,,,,,,,,,,,,,,,,,,,,,
12,Crockley,Hoxley,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Valley,VALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Deep
     Valley",Deep Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,the Deep Valley,THE DEEP VALLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,the Deep Valley Mill,Deep Valley Mill,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Millocrats,Mill,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Milford Park,Milford,Millford Park,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Oxford,Bradford,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,East,Bastille,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,North,Wordsworth,earth,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Boston,Crompton,Brotherton,Rome,,,,,,,,,,,,,,,,,,,,,,,,,
23,the Holy Virgin,the Emerald Isle,the moon,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Halloo,Halifax,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,protégée,protegé,Protégée,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Dowling,Thistledown,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Russia,Austria,Rasselas,Brussels,,,,,,,,,,,,,,,,,,,,,,,,,
28,"St.
     Mary's",St. Mary's,St.,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Germany,Kidderminster,Ulswater,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sophy,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,
