cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0,DERBYSHIRE,Derbyshire,Warwick,Turkey,Neckerby,Nice,,,,,
1,UNDERSELL,Rasselas,Brussels,Kidderminster,Thistledown,,,,,,
2,Rebecca,,,,,,,,,,
3,England,Westmorland,Highland,Flanders,Scotland,Poland,,,,,
4,the Deep Valley,THE DEEP VALLEY,"Deep
     Valley",Deep Valley,Deep-Valley,Deep Valley Mill,Valley,Deep,the Deep Valley Mill,VALLEY,Halloo
5,Scotch,Prescot,Leeds,,,,,,,,
6,inn,Shakspeare,Sophy,Germany,Sykeses,,,,,,
7,America,protégée,Providence,Great,protegé,Becky,Protégée,,,,
8,Yorkshire,Lancashire,France,Sèvre china,Lancashirc,Austria,,,,,
9,Helvellyn,Tilbury Fort,North,earth,Wordsworth,MR,,,,,
10,Bastille,woodbine,Mill,York,Millocrats,,,,,,
11,Blackberry,Venus,Wakefield,Foxglove,,,,,,,
12,orient,Prentice,premises,,,,,,,,
13,the moon,the Holy Virgin,the Emerald Isle,,,,,,,,
14,East,Brotherton,Crompton,Boston,,,,,,,
15,Louisa,Cologne,morocco,Rome,,,,,,,
16,Paris,Cretan,Milford Park,Oxford,Milford,Millford Park,Bradford,,,,
17,London Madeira,Golconda,Mexico,Charlotte,London,,,,,,
18,Samaritan,M.D.,PLAIN STATEMENT,Italy,Spain,Britain,,,,,
19,Halifax,Europe,Madeira,,,,,,,,
20,MS,Drakes,NURSE,"St.
     Mary's",St.,St. Mary's,,,,,
21,Dowling,Turpin,Russia,Ulswater,Hoxley,Crockley,,,,,
22,Africa,Saxony,Cannon,,,,,,,,
