cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
0.0,Africa,America,,,,,,,,
1.0,UNDERSELL,Helvellyn,NURSE,Flanders,,,,,,
2.0,Drakes,Wakefield,York,Sykeses,,,,,,
3.0,Dowling,Thistledown,,,,,,,,
4.0,Bastille,East,,,,,,,,
5.0,DERBYSHIRE,Derbyshire,Neckerby,,,,,,,
6.0,London Madeira,Golconda,Madeira,London,,,,,,
7.0,Samaritan,Paris,Cretan,Italy,Britain,,,,,
8.0,England,Westmorland,Highland,Scotland,Poland,,,,,
9.0,Turpin,Turkey,,,,,,,,
10.0,the Deep Valley,THE DEEP VALLEY,"Deep
     Valley",Deep Valley,Deep-Valley,Deep Valley Mill,Valley,Deep,the Deep Valley Mill,VALLEY
11.0,Shakspeare,earth,,,,,,,,
12.0,protégée,protegé,Protégée,,,,,,,
13.0,Scotch,Prescot,,,,,,,,
14.0,Yorkshire,Lancashire,Lancashirc,,,,,,,
15.0,Tilbury Fort,North,Wordsworth,,,,,,,
16.0,orient,Prentice,premises,Nice,,,,,,
17.0,Rasselas,Russia,Brussels,,,,,,,
18.0,France,Providence,,,,,,,,
19.0,the moon,Brotherton,the Holy Virgin,the Emerald Isle,,,,,,
20.0,Crompton,Rome,Boston,,,,,,,
21.0,"St.
     Mary's",St.,St. Mary's,,,,,,,
22.0,Milford Park,Milford,Millford Park,,,,,,,
23.0,Oxford,Bradford,,,,,,,,
24.0,PLAIN STATEMENT,Spain,,,,,,,,
25.0,Halifax,Halloo,,,,,,,,
26.0,Ulswater,Germany,Kidderminster,,,,,,,
27.0,Mill,Millocrats,,,,,,,,
28.0,Rebecca,Becky,,,,,,,,
29.0,morocco,Hoxley,Crockley,,,,,,,
