cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,Russia,Austria,Venus,Brussels,,,,,,,,
1,Madeira,London Madeira,London,the moon,Saxony,M.D.,,,,,,
2,Derbyshire,DERBYSHIRE,Neckerby,Yorkshire,,,,,,,,
3,Lancashirc,Lancashire,Cretan,France,Shakspeare,,,,,,,
4,Britain,Spain,Italy,PLAIN STATEMENT,Samaritan,,,,,,,
5,orient,Prentice,Providence,Nice,,,,,,,,
6,North,Wordsworth,York,morocco,earth,,,,,,,
7,Flanders,NURSE,UNDERSELL,Helvellyn,,,,,,,,
8,Boston,Crompton,Crockley,MR,Brotherton,Rome,,,,,,
9,Great,East,Bastille,Rasselas,Thistledown,,,,,,,
10,Germany,Kidderminster,Ulswater,,,,,,,,,
11,premises,Scotch,Prescot,,,,,,,,,
12,Africa,America,the Emerald Isle,Paris,Mexico,,,,,,,
13,Millocrats,Foxglove,Halloo,Louisa,Halifax,Charlotte,,,,,,
14,Sophy,Europe,Turkey,,,,,,,,,
15,Milford Park,Mill,Milford,Tilbury Fort,Oxford,Millford Park,Bradford,,,,,
16,Cologne,Westmorland,Scotland,Poland,Highland,England,Golconda,,,,,
17,MS,,,,,,,,,,,
18,Valley,"Deep
     Valley",the Deep Valley,THE DEEP VALLEY,the Deep Valley Mill,Hoxley,Leeds,Deep,Deep-Valley,Deep Valley,VALLEY,Deep Valley Mill
19,Rebecca,Blackberry,Becky,Warwick,,,,,,,,
20,Wakefield,Sykeses,Drakes,,,,,,,,,
21,"St.
     Mary's",St. Mary's,St.,,,,,,,,,
22,Turpin,woodbine,Dowling,the Holy Virgin,Cannon,Sèvre china,inn,,,,,
23,protégée,protegé,Protégée,,,,,,,,,
