cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15
0,formúla,desformam,Formosam,,,,,,,,,,,,,
1,Manoel,"Manoel
Quentino",XXI,Leça,Manoel Galveias,,,,,,,,,,,
2,"Diario,
Razão e Caixa",incendiarios_--_Os,luzir,Incendiar,Diario,,,,,,,,,,,
3,delicado,Feliz,Applicadas,Maia,PUBLICA,U.S.,,,,,,,,,,
4,Raparigas,Raposo,Parva,Diga,Paris,,,,,,,,,,,
5,examino,dóminó,Chaminés,Park Benjamin,illuminára,,,,,,,,,,,
6,Aquella,aquella bonita,andar unido áquella,Aquellas,aquellas,aquella,aquella creança franzina,aquella mudança n'ella,,,,,,,,
7,Tamisa,Tambem,Isaac,,,,,,,,,,,,,
8,oceano arrojam,arruinem,Vejam,,,,,,,,,,,,,
9,Yorkshire,Simphirepol,Tytire,Pires,,,,,,,,,,,,
10,Saíndo,Safa,indoles,saír,,,,,,,,,,,,
11,proxima,Project Gutenberg-tm,Produced,Imagine,,,,,,,,,,,,
12,taes estados,taes,taes auspicios,Mackay,Taes,experimentaes,portaes,,,,,,,,,
13,Trai larai,Trai larai lai,Trai,"larai lai
  Trai",Trai lari,larai,,,,,,,,,,
14,Fica,"Fica
ahi",Ficando,Inefficaz,Africa,beatifica idiotia,justificará,,,,,,,,,
15,S. Pedro,S. João,Pedra Salgada,Pedroso,by U.S. federal laws,,,,,,,,,,,
16,Ande,indefeza,understand,Aonde,,,,,,,,,,,,
17,Costumo,"cost and with
almost",Morlays,escossez,boston,,,,,,,,,,,
18,salve!--dizia,Jenny!--dizia,são horas!--dizia,--Dize,Carlos!--dizia,Dizia,Charles!--disse Jennv,,,,,,,,,
19,Tens-te,Dizes-te,Enganas-te,tenue,,,,,,,,,,,,
20,Troya,trouxe-m'os,theatro lyrico,destroe,tropel,St,,,,,,,,,,
21,villania,te,Gran-ville,Cosme Villas-boas,Abeillard,,,,,,,,,,,
22,Saturno,Giorno,peior,,,,,,,,,,,,,
23,Quero,snr,Queres,reacção.--Quero,perola,Vim,,,,,,,,,,
24,Cujos,beijos,"Josefinha da
Agua-benta",,,,,,,,,,,,,
25,India,Indias,,,,,,,,,,,,,,
26,Continue,minha!--continuava Carlos,continuacão,,,,,,,,,,,,,
27,bilhetes de beneficio,Pruth,Debil,Tokay,torre de S. Francisco,,,,,,,,,,,
28,"Eva,--primeira",Ribeira,tojeiras,Rua Ferreira Borges,Madureira,Madeira,"Cruz da
Regateira",japoneira,,,,,,,,
29,Antevia,preoccupacão anterior,movia,Vivia,instantes,Gargantua,,,,,,,,,,
30,graciosa,Boccacio.--Então,segural-o.--Lê,,,,,,,,,,,,,
31,penna,quê?--pensava,Pennor,,,,,,,,,,,,,
32,même,God,Saia,,,,,,,,,,,,,
33,Credo,Roboredo,redobrava,Dá-m,,,,,,,,,,,,
34,Braga,Bragança,Bragança...,,,,,,,,,,,,,
35,Estende,aprender?--mas,Surprende,Thus,surprendia,Pó,,,,,,,,,,
