cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,larão lão,lão,larão,,,,,,,,,,,,
1,Salame,Amel,alameda lateral,même,Rego Lameiro,téla,,,,,,,,,
2,Tremo,Vêem,Polyphemo,ceremonia,Tremi,Riremos,,,,,,,,,
3,embecilidade,Agradecida,piedade,puerilidades,Universidade,plausibilidades,Ociosidade,,,,,,,,
4,Souto,doutor,n'outro,UT,Pruth,Tokay,,,,,,,,,
5,victoria,Feitoria,Victoria,victoria da primeira,victima,,,,,,,,,,
6,delicado,Delgado,Applicadas,PUBLICA,Feliz,Felice Romani,,,,,,,,,
7,terra,nova terra,Serra do Pilar,Feuchtersleben,Serrão,caracterisava,Butterfly,calçada do Terreiro,Inglaterra,,,,,,
8,Cecilia,Ilion,Cecíiia,"d'ellas,--era Cecilia","Pois
Cecilia","Ó
Cecilia",Biblia,Especie,Santa Cecilia,Pobre Cecilia,vigilia,,,,
9,AGGRAVAM-SE,Varreram-se,Aggravam-se,aggravou,,,,,,,,,,,
10,America do Norte,do Norte,Some states do not allow disclaimers of certain,America,balsamica do logar,Norte,,,,,,,,,
11,bom rir,bom retiro,bom,Valbom,Tomára,Bom Jesus,,,,,,,,,
12,Creia,eia,Crimeia,Dorotheia,Curvei,peior,Ia,Leio-o,Creiam-me,,,,,,
13,somma avultada,somma,,,,,,,,,,,,,
14,Commoveu-a,commover,,,,,,,,,,,,,
15,falle,Fallou-me,Allemanha,pallido,Woodfall Hope,valle,Falla-me,Valle,Fallam,allemães,Falle,fallo,alli,,
16,Póde,Pó,Debil,,,,,,,,,,,,
17,Senhor,Tenho,minha senhora,Nossa Senhora,Senhora,d'este senhor,penhore,,,,,,,,
18,Teem-me,Larguem-me,Dá-m,Ouvem-o,Deem-lhe,,,,,,,,,,
19,"Valha-nos
Deus",Falta-nos,Meus,Vão com Deus,"Valha-nos
Deus!",,,,,,,,,,
20,Mettia,Promettia,prometter,prometto,,,,,,,,,,,
21,Ai,Raspail,Demais,saiba,Paiz,Saia,Maia,,,,,,,,
22,Contas,Contas de Carlos,phantasia popular,syntaxe,Consola,Consagral-o-hão,Contas de Jenny,La Fontaine,Contrastava,perenne contentamento,,,,,
23,penna,Pennor,quê?--pensava,,,,,,,,,,,,
24,Brains,lettras,Trai larai,larai,Trai,Trai la rai,"larai lai
  Trai",Trai lari,la rai,Trai larai lai,,,,,
25,Cêdo,cêdo,,,,,,,,,,,,,
26,boston,Sebastopol,St,West-End,Costumo,Estás,instantes,"cost and with
almost",Vistula,,,,,,
27,taboa,Lisboa,Boa Vista,de Lisboa,,,,,,,,,,,
28,Impressionou-nos,Depressa,physionomia,,,,,,,,,,,,
29,Cedofeita aquelle,bairro de Cedofeita aquelle,Cedofeita,,,,,,,,,,,,
30,Tudo,Comtudo,,,,,,,,,,,,,
31,Lucrecia,Grecia,Crescia,,,,,,,,,,,,
32,analyso,analoga,,,,,,,,,,,,,
33,respiraste,Yorkshire,Pires,,,,,,,,,,,,
34,cancella,ornato n'ella,N'ella,Appellava,baixo da janella,aquella mudança n'ella,n'ella,n'elle,,,,,,,
35,Peço-lhes,Peço-lhe,Acho-lhe,Desconheço-te,Dê-lhe,Peco-lhe,,,,,,,,,
36,Preparava-se-lhe,Repara,causar-se-lhes-hia,Notava-se-lhe,,,,,,,,,,,
37,Salt Lake City,Salta,City,,,,,,,,,,,,
38,Leeson,Peso,resonar,,,,,,,,,,,,
39,Credo,redobrava,Roboredo,,,,,,,,,,,,
40,Aquelle,"saír
d'aquelle sobresalto",theatro n'aquelle,aquelle,N'aquelle,Ha n'aquelle,"elle n'aquella
manhã",n'aquelle,saír d'aquelle,"Praça
aquelle",N'aquella côrte,apreciar n'aquella,Falle-lhe n'aquelle,áquelles,
41,"Lord
Mayor",Oxford,Oxford Street,,,,,,,,,,,,
42,Volga,Folgarei,Voltava,,,,,,,,,,,,
43,Anciada,impaciencia,impavidez,Providencia,Impacienta-me,Boccacio.--Então,,,,,,,,,
44,subtrahia,Ahi,d'ahi,ahi jazem,D'ahi,ahi,,,,,,,,,
45,Pausa,Paulo,Susana,,,,,,,,,,,,
46,rua dos Inglezes,Inglezes,INGLEZA,,,,,,,,,,,,
47,China,Vá,campinas,chins,nebrinas,Cachimbo,,,,,,,,,
48,Confiaste,auxiliaste,Confissões,cortezias,,,,,,,,,,,
49,affectuosa,Effectivamente,desvairamentos,Presentimentos,Effectivamente Carlos,Occidente,,,,,,,,,
50,Fazer-te,Snr,Fazes,,,,,,,,,,,,
51,Jenny,Jenny.--Pois,Jennys,Jenny:--Exigir!--E,,,,,,,,,,,
52,XXI,XI,proxima,,,,,,,,,,,,
53,Ponti,Ponti?,posponto,continuacão,Continue,Ponsard,,,,,,,,,
54,plano!--acudia,"vale nada,--acudiu",,,,,,,,,,,,,
55,hontem,Hontem,Trapalhona,Traz-os-Montes,horizonte.--São,,,,,,,,,,
56,Racine,arruinem,graciosa,Cinza,,,,,,,,,,,
57,Marianna,caricias,"critica
atrabiliaria",Praticaria,"quasi
impraticavel",Narrativas,culinaria,,,,,,,,
58,quéda,Respondam,Anda,West of England,understand,http://bnd.bn.pt,Hollanda,Manda-os,andar de cima,Branda,Ande,,,,
59,interrompia,Interrogue-a,interrogadoramente,Avintes,Interpretaram,prosapia_»--interpretava,Rompia,computer virus,,,,,,,
60,Australias,Estranham-me,Pozeram-me,constranger,destroe,Tinham-me,Tres bastam-me,,,,,,,,
61,Fuma,Humh,Mau,Fumar,Mattos,,,,,,,,,,
62,aguas limpidas,Cuidas,Trazida,Cuidei,snr,,,,,,,,,,
63,batalha»--e,Batalha,Ralhavas-me,Talhados,Sevilha,,,,,,,,,,
64,passeiar,Passeiava,Passos,,,,,,,,,,,,
65,hymno da Carta,somno,"somno da
noite",,,,,,,,,,,,
66,ámago,Maranhão,ámanhã,Campanhã,Ámanhã,,,,,,,,,,
67,Achilles,molestia,molle,collo,molles,indoles,collegio,,,,,,,,
68,Posso,d'isso,prova d'isso,Porisso,,,,,,,,,,,
69,Triste,tristeza,tristezas basto,Justeza,,,,,,,,,,,
70,Perguntei-lhe,Pergunta-lhe,,,,,,,,,,,,,
71,SYMPTOMAS,Incessu,Assumpto,"Assumpto
escossez",assumptos,assumpto,,,,,,,,,
72,commigo,Commigo,communs,,,,,,,,,,,,
73,marmellos,ceia d'elles,"jardim das
bellezas matutinas",elle cobria,Title,um.--«_Elle,Leça,Mademoiselle,Subia elle,elle,velleidades,bella de belleza nacional,casa d'elle,d'elle,elle.--Faz-me
74,luvas,Vassif,Bass,Assignado,Vasado,Vassif-Pachá,Rossi-Cassi,,,,,,,,
75,India,Indias,indefeza,Incendiar,Divina Comedia,,,,,,,,,,
76,áquillo,tranquillisar,adquiri,Aquillo,Obsequio,Aquila Chrysaetos,,,,,,,,,
77,Reconhecera,Reconheceu-os,Conheceu-a,,,,,,,,,,,,
78,buscar-m'a,Foz o Carlitos,Carlos,Carlos.--Dorme,Carlinhos,Carlos!--dizia,minha!--continuava Carlos,Carlos.--,Carmo,"aguas dos
rios caudalosos",,,,,
79,Chico da Lousã,soccorro,soccorro da begonia,begonia,,,,,,,,,,,
80,Vae,Vae...,...,,,,,,,,,,,,
81,N'este intervallo,Tens-te,Sume-te,Fiz-te,te,tenue,Chateau-Laffite,Maltez,Project Gutenberg-tm,Kate,appetecer,Tejo,Saíste-te,,
82,És,chapéo,Park Benjamin,chamma,Chaminés,examino,,,,,,,,,
