cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57
0,Nouvelle-France,Nouvelle-Frnce,Nouvelle-Orleans,Nouvelle-Or6as,Nouvelle-Hollande,Nouvelle- francS'tait,Nouvelle-lFrance,Nouvelle-Fance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J1,ŒiL--.-----.---a---.-----a-----=i-------------------------------------eau=il=-=je,----,ELLE-----se--------------------L.,e:----.--------,.-------.-,"P' ``,-
---- --
..:...----------:-
316
LA ELLIE",je-------------,r-.----L-,"I
A.,
-
300
x---i-","E.:y,:P----rrre-ree",s---=-ee,y---------,i:::--.---------:------------:a,i----,L---E---L,LAn------:-L,Iiiltie------ELle-,"c-,r----c",L-----ra,A----t,.----es,.'---;--------c=.-,or----,--------ah,"F-,----P--,-êtRe",e:-----,c:----------------,A---,A---------.--.--ELLE,C----ii,L-----1,----L.',--=--=---====-5,r7:--,.-----------,L----,e----e,y.,---L-,--t--,ai-------,--z--,L--7,--a,espère-et-err'`r---------------a----------------------,-----ecxxz,a-- Hlasl,Y---,--------.-,s------,L.L----A-,L:---,T----,--'1,AInsi-'.5.C-2C:--::-----A----e-::=-a--,Là:--a,m-autre.5---a-
2,Renard-Bleu,Renard-Elle,Le Renard-Bleu,Renard-Blou,Renard-,lRenard-Bleu,Renard-Le,hG,A,rien-Bleu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rameau-d'O,Ramneau-d'Or,Rameau-d'Or,lameau d',Rameau-d'O.,Rameau-,Rameau-d,Rameau-d',IRameau-d'O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,faitel,- Faites,Parfait,maitesse,faix,vitel,retaitel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,.L,c-.L,.l,x.L,.L-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ee,"L.S.EEECih1
---",caractee,EeCi,cumbree,.-eer-,zEEEEE,Eetiiiee,guee,"zEEEEE
E",E:.LEEEE,avee,foree,divulguee,gEEEE,EEl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,couirs,Louisl,Louis3,Louisiane,-1Louis,lout,Louislt,OUI-GRIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,air2,r2,gand air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Quoi7,Moi7,- Pourquoi7,moi7,Quoil,lroquois,.qu',poulquoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ILes Indiens auxiliaires des Anglais,etais apelcu,XIY,sentihelles anglaises placees,Lhches banditsl,- Tres bienl,"m

A",F,"S

D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,gaiet6,Et6,gaieto,ÇA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,J7,Arive,arrivonsl,Vive,arrives7,- Ariverons,ariver,Achives,Marigots,IV,Arrives,RIV1,arive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ELLe,LA HELLlE,Osna-Elle-Lucie,senlinelles,selle,",elle",paallele,cuelle,drolel,eLLE,HELLlE,ellE,1'elle,Quelles,BBLLE,I3ELLE,l3elle,BIELLE,lExcellenll,"II

ELLE",ELLE2,ELLE,L,IELLE,boutellle,crnelle,Telles,fidele,Celles-ei,BBLLE R1ELLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,pemiere,premiere,pemier,avrche dupemier hoe,Remerciez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Indien,Dieppe,cinIndiens,Dinwidie,L'Indien sourit,toldos indiens,Indiens,Lesindividus,L'Indien,L'indifferenee,Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,L7,"I


I","I

I
I

Ii 1","2Z
F

I

2
ELLe


i
P","N

I

i
5
R","g2
 
I","I


-","I

I","6

II
 
 I

I","pei

I","I

'N","M
 
I","Ci

I","LÀ

I
 M7","E

 N
 
I
 
r","I
 P","G'

AH

I

Z","F

I

2
ELLe


i
P","I'

I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,cavalie,LIY,ecoliers,lIe,litieie,LIv,melancolie,pilosoplie%,Ilibustier,Iin limier,LIE IIECI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,chatean,hate,porte patr,hha,atepelt,cap du Chat,batte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
