cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44
0.0,Laisse,Mlais,tete baissee,guerisse,Laissons,Mississipi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,ordes,lourdeset,Accordez,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Mnais,i.naiiei,Inais,Franais,ceonnaissant,mnaisonnette,mnains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,"A
 I
l--
I
riii",L--7,"A

I
1","T'I
r",JE-riisiiaa,"E
A

I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,soldut,soldatd',Pdldu,toldos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,ellE,C.L:.-'---elle,lExcellenll,mne rappellerent i la desolante realit6,Osna-Elle-Lucie,ELLE,IELLE,selle,1'elle,Celles-ei,I3ELLE,eLLE,BELLE IY1JE,",elle",Telles,"II

ELLE",cuelle,crnelle,ELLe,ELLE2,BIELLE,l3elle,Quelles,"E
E
ELLE",soreellerie,,,,,,,,,,,,,,,,,,,,
6.0,fort Necessite,Necessite,fort Ncessite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Quoi7,- Pourquoi7,poulquoi,Quoil,lroquois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Voil,Voilh,voila,savoir7,ET-,voi,moil,Voili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,ompagnons,accompague,cotpagnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,los votres,notres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,"E1

I
N
La","rnn
L","11

Ii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,FORT DUQUESNE,fort Duquesne,Iort Duquesne,Duquesne,fort Duquesnel,Chuque,"fort
Duquesne",Duquese,fot Duquesne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Viens,Inliens,Viens-tu?,revienlt,Vienne,Tiens,miens,avie,Reviendrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,Providenee,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,Etats-Unis,etat,"etat de
defense",zeeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,Canudienne,Canudien,Guyenne,Menne-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,il:.:s-,Il:-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,gueirre,obeir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,douai,Doue,Douai-Hande,Douai,Douai-Hand6,Douai-lande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,Mexique,Atlantique,golfe du Mexique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
