text,cluster
Regardez,0
lRegardez,0
Accordez,0
regardez,0
regardexz vos sentinelles,0
regardexz,0
egarde,0
Louisl,1
-1Louis,1
Louisiane,1
couirs,1
OUI-GRIS,1
Louislt,1
Louis3,1
lout,1
repondre,2
Andre,2
A4,2
Londres,2
satnis reponse,2
reponde,2
epondre,2
zzz:35-,2
z=,2
Belle-Rivire,3
lBelle-Riviere,3
Ilelle-RRiviere,3
Belle-Olivier,3
IBelle Riviere,3
l3elle-Olivier,3
soreellerie,3
J7,3
ÇA,3
i5,4
Chteaux-,4
chteau de Beauregard,4
Beauregard,4
"chateau de
Beauregard",4
A Beauregard,4
G,4
parc du chteau,4
heminee,5
mneme,5
y.,5
Iemines,5
cheminee,5
¬¬,6
a¬¬.,6
.T,6
assiger,7
ige,7
wigwvm,7
inllige,7
exigeez,7
Maige,7
ge,7
verlige,7
Rendez,8
rendez-vousl,8
"chefl
- Attendez",8
Reviendrez,8
G¬,8
.C,8
Altendre,8
attendenl,8
surprende,8
tete,9
Totem,9
plantets,9
eomte,9
cbte?1,9
sete,9
hâtez,9
s5,9
i arrete,9
repete,9
srete,9
anxiete,9
remettez-le-moi,9
lchetel,9
Nhecte,9
etendus,9
dilficulteset,9
tete baissee,9
II.i1,10
E'i.I,10
II.L,10
I11,10
I.1,10
I1,10
II1,10
"1A
I.I",10
maintenant7,11
Mluintenant,11
caignant,11
aneantirent le Iruit,11
segent7,11
Sainte,11
Tuant,11
ceonnaissant,11
tantbt,11
Armnand,12
haron Armand,12
i,12
dnans,12
Carignan,12
Armnund,12
Iauves,13
Iauve,13
trouves-,13
Nirginie,14
fouinie,14
pseudo-Ironie,14
Viginie,14
Inalgie,14
Virginie,14
Inieux,14
Ironie,14
ganie,14
Yirginie,14
s-g3Rg,15
S-,15
Es-tu fou,15
7I,15
s-r,15
s-L,15
s-3,15
ctes-,15
Douai-Hande,16
nuanoe,16
Douai-Hand6,16
Douai,16
Douai-lande,16
douai,16
Nlck,17
avanl,17
Avait,17
auptravant,17
meuse,18
payeus,18
efuse,18
audacieusemenl,18
Iume,18
pleus,18
Matheueusement,18
eusset,18
gnereuse,18
divulguee,19
"zEEEEE
E",19
caractee,19
Ee,19
EeCi,19
percee,19
V8,19
zEEEEE,19
gEEEE,19
E:.LEEEE,19
avee,19
Eetiiiee,19
"L.S.EEECih1
---",19
cumbree,19
foree,19
guee,19
Quoil,20
Quoi7,20
- Pourquoi7,20
poulquoi,20
lroquois,20
.qu',20
g3i,20
moi7,20
t.,20
Fancais,21
Fancis,21
lrancais,21
J',21
Irancais,21
Faneais,21
faisos-nous7,21
Francais,21
francais,21
"P,-F",22
".,-",22
"c,-",22
".,.3-",22
".,L",22
lejeune,23
Lajeune,23
Lejeune,23
Leu,23
ijeune,23
Pittsbourg,24
Pite,24
Iacilite,24
Tecits,24
pironpte,24
depit,24
L7,24
precipitee,24
Sans-Piste,24
M,24
hesiter,24
excitee,24
hospilalitel,24
6viter.-,24
drole avee,25
Le soleil,25
gand soleil,25
regardez le soleil,25
desole,25
N',25
dole,25
souple,25
soleil,25
Le succbs,25
ecurt,26
vecu,26
plupurt,26
ca,27
Teocalis,27
cascabel,27
grinca,27
scabrex,27
Caen,27
car--,27
Gcagse,27
etou,28
ET-,28
tounure,28
toules,28
touva,28
tournai,28
retou,28
beto,28
toul,28
diables7,29
"diables7
- Plutot",29
Misvables,29
accables,29
diane,29
Ande,30
Hande,30
unsgrand,30
Grand,30
Pendanl,30
Amand,30
choses7 Demanda,30
Andel,30
gand air,30
lDevant,30
Qand,30
gand,30
guand,30
Nord,31
"OR

I",31
aLOrs,31
Or,31
sorl,31
lore,31
Lignorez,31
"or,-",31
New-Yorl,31
ordes,31
oi,32
Iroid,32
Sois,32
foid,32
S,32
"loirs7
- J'",32
Moi7,32
Oih,32
.-------.-,33
y---------,33
A----t,33
----,33
"P' ``,-
---- --
..:...----------:-
316
LA ELLIE",33
A---------.--.--ELLE,33
e:-----,33
"F-,----P--,-êtRe",33
s------,33
ai-------,33
ŒiL--.-----.---a---.-----a-----=i-------------------------------------eau=il=-=je,33
.'---;--------c=.-,33
L---E---L,33
m-autre.5---a-,33
--------.-,33
a-- Hlasl,33
Là:--a,33
A---,33
L:---,33
AInsi-'.5.C-2C:--::-----A----e-::=-a--,33
L----,33
ELLE-----se--------------------L.,33
L-----1,33
C----ii,33
.----es,33
or----,33
.-----------,33
je-------------,33
--=--=---====-5,33
LAn------:-L,33
r7:--,33
"I
A.,
-
300
x---i-",33
---L-,33
r-.----L-,33
T----,33
e----e,33
Y---,33
--'1,33
-----ecxxz,33
Iiiltie------ELle-,33
--a,33
"E.:y,:P----rrre-ree",33
"c-,r----c",33
L.L----A-,33
c:----------------,33
----L.',33
--z--,33
e:----.--------,33
--------ah,33
i:::--.---------:------------:a,33
L-----ra,33
i----,33
espère-et-err'`r---------------a----------------------,33
s---=-ee,33
L--7,33
--t--,33
Pardieul,34
Dieul,34
- Gueusard,34
pardil,34
- Pardieul,34
Padieul,34
Nouvelle-Orleans,35
Nouvelle-Fance,35
Nouvelle-Hollande,35
Nouvelle-France,35
Nouvelle- francS'tait,35
Nouvelle-Or6as,35
Nouvelle-Frnce,35
Nouvelle-lFrance,35
saint-,36
Saint-Laurent,36
tfleuve Saint-Laurent,36
"fleuve
Saint-Laurent",36
Le Saint-Laurent,36
Saint-lLauent,36
A peie,37
HR1VIEE,37
eeieeie,37
aeiEEE,37
matiee,37
IANIEE,37
calomniee,37
i.naiiei,37
eeoieie,37
CI,38
Merci,38
ICI,38
CI1,38
B,38
"I
cI.",38
"Ci

z=",38
soci6t,38
fl,39
aflot,39
clotue,39
trallres,40
notres,40
pres,40
Presque aussitot,40
popre,40
Apres,40
rEprit,40
resuma,40
F1N,40
aprbes,40
Aupres,40
odres,40
aulres,40
los votres,40
Propre-,40
sepre,40
Prc,40
"I
iII
aI
1",41
"I
I
IL
III",41
"II
I

 


E",41
"II
III
 
 I
1I
'
1
I
I1",41
"S
IIPI
II
E",41
"I
I
II
II
 
III
I
II",41
"IIM
I
II",41
"II
I
II",41
"II.I
II",41
"II
I
II
I",41
"A

I
1

II
II",41
"II

T
L
I
IL",41
"ILII
II",41
"II

I
II
M",41
"II
I
A",41
"II
iII
II",41
"III

I
I
IIHI",41
"II
I
vI",41
"II
I
A.

I",41
"II
II",41
"II
I
IL",41
"A
I
II
II
II1
I
N",41
"E

I
II",41
"El
f
Ii",41
"II
I
I",41
"I
III",41
"II

I
t
'
:i:
II
L.
E",41
".l

II
IL

Y
I

 ET


III

i
I
2.A",41
"II
II
II 
IL",41
"II
II
II
f
1",41
"II

I
I
I",41
"I
II",41
"II
I
I.

II

I
II
I",41
"II
I


E",41
"II
I",41
"II
LE OR",41
"I

I
III
I1",41
"AI
II
2A",41
"I
I
II",41
"II
-'",41
"A
 I
l--
I
riii",41
"II
III
I",41
"II
II
HUI
E",41
"II
III
I
II

L",41
"II
II
I",41
"I
I
III
IL",41
"II
I
I
I
III
F",41
"II
I
Il//IL",41
"II
I
1Y",41
"I'
II
l
R",41
"II
I
IMA",41
"S
 E

AH

I

I.
I
III 


SI
I
3
t
LA BELLE",41
"mer

II
I
1
I",41
"II

21I
I

.2",42
".L.

I
I",42
"I
i


S",42
"I
S
I

I
-
m1",42
"ICI

i
:s
l
tU",42
"I
I


I
 
 i
I",42
"I

I
t
I


N",42
"I

I
I1",42
"I

I
II",42
"I

I
i",42
"II
I

I

x",42
"El

 
I



h E

I
I
I
I1
II
II1

JE

REE

I
MI

I
I



ET

1
I
A

IL

Il


IL",42
"Nouveau-

I.1
1
I
A
I
M




I

LA BELLL 1",42
"I
I

ILII",42
"I

E

I
f
E",42
"S
n.
I
 QU",42
"I
I
I




i1
I
I
I

I",42
"I

I
I
l",42
"I

i
I",42
"I
I

2",42
"I
I

I.",42
"I

I
I",42
"II
II
E.

I

I





I.",42
"CI

I
IL",42
"II
I

I",42
"aH

I
I

II1I

I
i
1",42
"A

I
1",42
Heure,43
natuure,43
heure-:t-e,43
ceurl,43
amoureuxl,43
Createur,43
marqulse,44
senl,44
SE,44
Seigneu,44
coutse,44
secet,44
"YSE

 ICI",44
SURPR1SE,44
ecrasez,44
rponse,44
bruitset,44
Sije,45
Cecije,45
JE,45
"I
Je",45
JE.-',45
.-Je,45
Jean-lPol,45
IL1,46
fusils7,46
Il3,46
Il:-,46
IL M',46
IL,46
"r,:il",46
