cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,Oldham,Thou,Itold,,,,,
1,Waterloo,Malacopterygii Abdomi-,Sophy,Canada,,,,
2,Isle,Continent,Nota,Ihan,,,,
3,Bigland,England,Glasgow,Old England,Baltic,Cumberland,Westmoreland,wi
4,Providence,Ogdens,,,,,,
5,America,St. Patrick’s day,Merrica,London,Iran,Helen,"mercy,—he",Tellme
6,Wilson,Ritling,n’t,sepulchre,wy sk,,,
7,Halifax,the United States,the’gown,the Isle of Man,Liverpool,Fahrmann,,
8,Christ,Goptaatt,Buckinghamshire,Yorkshire,Lancashire,Wesse,,
9,Holyhead,Death,,,,,,
10,New Bailey,Oi've,Mrs.!Davenport,,,,,
11,thou,Sankey,yo’d,Fura,,,,
12,Foolishest,Manchester,inn,chester,,,,
13,Gorse,quay,Sorrowfully,Borgia,,,,
14,Toronto,beaux,,,,,,
15,Davenport,CALIFORNIA,LEIPZIG,before’em,Salford,,,
16,heara,Stilton,loafis,Barton,Skelton,Sturgis,,
17,Rose,Reynard,Alnaschar,China,,,,
