cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0,Davenport,Mrs.!Davenport,Liverpool,Oi've,,,
1,Barton,Stilton,Skelton,Baltic,Toronto,quay,
2,Rose,Gorse,sepulchre,Wesse,Sorrowfully,wy sk,
3,CALIFORNIA,before’em,Halifax,Salford,Borgia,,
4,n’t,,,,,,
5,America,Tellme,Merrica,St. Patrick’s day,"mercy,—he",,
6,Providence,Ogdens,,,,,
7,Reynard,heara,beaux,Alnaschar,Holyhead,,
8,Oldham,Itold,,,,,
9,London,Sophy,Wilson,wi,,,
10,Cumberland,England,Glasgow,Westmoreland,Bigland,Old England,
11,LEIPZIG,Helen,New Bailey,loafis,Isle,the Isle of Man,Sturgis
12,Death,thou,the’gown,Thou,,,
13,Lancashire,Yorkshire,Buckinghamshire,yo’d,,,
14,Canada,Ihan,Fura,Sankey,Iran,,
15,Nota,Goptaatt,,,,,
16,China,Continent,Ritling,Fahrmann,inn,,
17,Waterloo,Foolishest,Manchester,Malacopterygii Abdomi-,Christ,the United States,chester
