cluster,elem_0,elem_1,elem_2,elem_3,elem_4
0.0,America,Merrica,St. Patrick’s day,Toronto,"mercy,—he"
1.0,Barton,Stilton,Skelton,,
2.0,sepulchre,Christ,,,
3.0,Foolishest,Manchester,Liverpool,chester,
4.0,Waterloo,Malacopterygii Abdomi-,Goptaatt,,
5.0,CALIFORNIA,before’em,Halifax,Salford,
6.0,Oldham,Itold,,,
7.0,Davenport,Mrs.!Davenport,,,
8.0,Continent,England,Glasgow,Bigland,Old England
9.0,Providence,Ogdens,,,
10.0,thou,Thou,,,
11.0,Lancashire,Ritling,Yorkshire,Buckinghamshire,
12.0,Isle,the United States,the Isle of Man,Fahrmann,the’gown
13.0,Cumberland,Wesse,Westmoreland,,
14.0,Sturgis,,,,
15.0,Borgia,,,,
16.0,heara,Holyhead,,,
