cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0,China,Alnaschar,Ritling,quay,wy sk,inn,,
1,America,Tellme,Merrica,Oldham,St. Patrick’s day,Baltic,,
2,Davenport,Mrs.!Davenport,Liverpool,Oi've,,,,
3,Rose,Gorse,sepulchre,n’t,Providence,Wesse,,
4,CALIFORNIA,Halifax,Salford,Borgia,,,,
5,Reynard,heara,beaux,Holyhead,,,,
6,London,Sophy,Wilson,wi,,,,
7,Barton,Stilton,Continent,Skelton,Toronto,Sorrowfully,Itold,
8,Cumberland,England,Ogdens,Glasgow,Westmoreland,Bigland,Old England,
9,LEIPZIG,Helen,New Bailey,loafis,Isle,the Isle of Man,Sturgis,
10,Death,thou,the’gown,Thou,,,,
11,Lancashire,before’em,Yorkshire,Buckinghamshire,yo’d,,,
12,Canada,Ihan,Fura,Sankey,Iran,Fahrmann,,
13,Nota,Goptaatt,,,,,,
14,Waterloo,Foolishest,Manchester,Malacopterygii Abdomi-,Christ,the United States,"mercy,—he",chester
