cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
-1,Waterloo,Continent,Rose,n’t,Baltic,Gorse,loafis,yo’d,Tellme,Fahrmann
0,thou,Thou,,,,,,,,
1,Davenport,Mrs.!Davenport,,,,,,,,
2,wy sk,Sorrowfully,,,,,,,,
3,New Bailey,LEIPZIG,Helen,,,,,,,
4,Halifax,CALIFORNIA,before’em,Salford,,,,,,
5,inn,Reynard,Alnaschar,China,,,,,,
6,Foolishest,Manchester,Liverpool,Oi've,chester,,,,,
7,Christ,sepulchre,,,,,,,,
8,Borgia,Sturgis,,,,,,,,
9,St. Patrick’s day,quay,,,,,,,,
10,America,Merrica,"mercy,—he",,,,,,,
11,Goptaatt,Nota,Malacopterygii Abdomi-,,,,,,,
12,Isle,the United States,the Isle of Man,,,,,,,
13,Wilson,London,Sophy,wi,,,,,,
14,Ritling,Buckinghamshire,Yorkshire,Lancashire,,,,,,
15,Sankey,Iran,Ihan,Fura,Canada,,,,,
16,Oldham,Itold,,,,,,,,
17,Toronto,Barton,,,,,,,,
18,Stilton,Skelton,,,,,,,,
19,Death,beaux,,,,,,,,
20,heara,Holyhead,,,,,,,,
21,Providence,Ogdens,,,,,,,,
22,Bigland,England,Old England,Cumberland,Westmoreland,Wesse,,,,
23,the’gown,Glasgow,,,,,,,,
