cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18
-1,Waterloo,Canada,Rose,Gorse,n’t,Tellme,Fura,New Bailey,St. Patrick’s day,Wesse,Baltic,Sankey,loafis,Ritling,Sorrowfully,quay,Fahrmann,wy sk,yo’d
0,China,Reynard,Alnaschar,inn,,,,,,,,,,,,,,,
1,Ihan,Iran,,,,,,,,,,,,,,,,,
2,Lancashire,Yorkshire,Buckinghamshire,,,,,,,,,,,,,,,,
3,Oldham,Itold,,,,,,,,,,,,,,,,,
4,Cumberland,England,Westmoreland,Bigland,Old England,,,,,,,,,,,,,,
5,Glasgow,the’gown,,,,,,,,,,,,,,,,,
6,Providence,Ogdens,,,,,,,,,,,,,,,,,
7,Isle,the United States,the Isle of Man,,,,,,,,,,,,,,,,
8,Barton,Stilton,Continent,Skelton,Toronto,,,,,,,,,,,,,,
9,London,Sophy,Wilson,wi,,,,,,,,,,,,,,,
10,Foolishest,Manchester,Liverpool,chester,Oi've,,,,,,,,,,,,,,
11,CALIFORNIA,before’em,Halifax,Salford,,,,,,,,,,,,,,,
12,LEIPZIG,Helen,,,,,,,,,,,,,,,,,
13,sepulchre,Christ,,,,,,,,,,,,,,,,,
14,Sturgis,Borgia,,,,,,,,,,,,,,,,,
15,Malacopterygii Abdomi-,Nota,Goptaatt,,,,,,,,,,,,,,,,
16,Death,beaux,,,,,,,,,,,,,,,,,
17,heara,Holyhead,,,,,,,,,,,,,,,,,
18,America,Merrica,"mercy,—he",,,,,,,,,,,,,,,,
19,Davenport,Mrs.!Davenport,,,,,,,,,,,,,,,,,
20,thou,Thou,,,,,,,,,,,,,,,,,
