cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75
-1,Haliburton,Fexh,Tn,AURIOL,Marion,Tokay,America,crowne,Pompeii,Belvoir,Havre,Park,Fairfax,f—-,Vignettes,Old Bailey,Mackintoshes,Grafton,Leicestershire,Monsieur Violet,penetralia,scaly sea-monster,Loftus,Holbein,Tasso,L. EL.,Ve're,EDWARDS,Rienzi,Venice,the Black Dwarf,Curzon,Ww,DR,c.g.,Eastcheap,The Inland Sea,Damocles,IL,Beatitudes,Japhet inSearchofaFather,Lammermoor,Italy,bds.,M.A.,’s,TX,Wakefield,Serpentine,Nottingham,Drury,Mississippi,Calabria,ANTIQUARIES,Phantom Ship,Swan,JT,Richmond,Emm,Peak,Henry VIIL.,"the Alabama

Il

Case",Packet,St. James’ss,Boraa,Aldgate,Bacon,yon’t,Temple-bar,Isaical,UK,Billinsgit,W.H.,Boscobel,Isle of Skye,scagliola
0,Pelham,Hamburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Thames,Waltham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Saint
James's-square",Saint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,St.,"St.
George’s",St. Peter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lothbury,Canterbury,Midlothian,Finsbury,c'oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Hermetic,Perth,River,Trayther,Vhere,Antverp,ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Podrida,Sheridan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Dryden,Jaden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Scotland,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
