cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
0,ROME,Pompeii,crowne,Rome,,,,,,,,,
1,HYDE PARK,Hyde Park,Park,,,,,,,,,,
2,nearest kinsman,stecl,Westminster,Munster Festivals,Zoroaster,Steel Plates,master’ll,scaly sea-monster,Leicestershire,Vignettes,,,
3,Emm,Temple-bar,,,,,,,,,,,
4,Venice,Regent,Fexh,25th Regiment,Jaden,Ve're,,,,,,,
5,DR,Podrida,Dryden,Drury,,,,,,,,,
6,Charles,Achilles,Farquhar,Damocles,Harvey,Charing,,,,,,,
7,flagon,scagliola,Flapdragon,,,,,,,,,,
8,Phantom Ship,Santa,Tasso,ANTIQUARIES,Swan,Santa Maria,Satan,,,,,,
9,Rookwood,Woodstock,Tokay,W.H.,Stowe,,,,,,,,
10,Havre,Hamburg,Thames,Waltham,TX,Athanor,Pelham,Nottingham,,,,,
11,Inn,Holbein,Ninus,UK,Inn-lane,,,,,,,,
12,Rougemont,Montrose,Monsieur Violet,ROSICRUCIAN,Beaumont,,,,,,,,
13,Mark,Mars,Warsaw,Cinq Mars,Clara,Marion,Marked,,,,,,
14,Albany,Millbank,,,,,,,,,,,
15,Byron,KRONHEIM,KronuEIM,Blenheim,,,,,,,,,
16,"Saint
James's-square",Mackintoshes,Saint,Fairfax,Isaical,,,,,,,,
17,M.A.,Ww,,,,,,,,,,,
18,Turk,Pictures,Loftus,JT,,,,,,,,,
19,Aldgate,Italy,Whitefriars,Whitehall,"Hallywoed Es
Hall",,,,,,,,
20,Kenilworth,Forest Days,c.g.,AINSWORTH,Portrait,Forum,fort,Boraa,Oxford,Beaafort,,,
21,Seto,Se,Sea Lions,Eastcheap,Japhet inSearchofaFather,Sea,Morse,sepulchre,Peak,The Inland Sea,Beatitudes,,
22,Calabria,f—-,"the Alabama

Il

Case",the Black Dwarf,,,,,,,,,
23,Belvoir,’s,Vol,Bivouac,Colours,AURIOL,8vo,vol,,,,,
24,South-,Southwark,EDWARDS,Watts,,,,,,,,,
25,Richmond,Wyandotte,anon,LONDON,Londcn Stone,Bacon,Old London,London,Curzon,Abingdon,yon’t,,
26,oie Highlands,bds.,Scotland,Highlands,England,Vanbrugh,,,,,,,
27,ROUTLEDGE,Tlosiage,Routledge,,,,,,,,,,
28,Perth,Hermetic,Lammermoor,Sheridan,River,Serpentine,America,Vhere,Waterloo,Trayther,ER,Rotterdam,Antverp
29,NEW YORK,New Type,Tn,,,,,,,,,,
30,Seutree,Stepney-green,King-street,Park-street,Reeks,Packet,,,,,,,
31,Granada,Fra,Bunce,Strand,France,Ovingdean Grange,,,,,,,
32,Paston,Grafton,Kensington,china,Washington,Oak Openings,Godolphin,,,,,,
33,Tzigge,Nigel,Trigge,Trigce,,,,,,,,,
34,Jun.,Thou,thou,Ivanhoe,Author,,,,,,,,
35,Henry VIIL.,Old Bailey,Cornhill,Billinsgit,IL,IIlustrations,,,,,,,
36,Rienzi,Isle of Skye,Bavaria,Cristofano,Mississippi,Paradiso,Ispahan,Paris,,,,,
37,St. James’ss,"St.
George’s",Lyndhurst,St. Peter,St.,STATUE,,,,,,,
38,Amelia,penetralia,Wakefield,L. EL.,Boscobel,"Queen
Elizabeth’s time",Elia,,,,,,
39,Haliburton,c'oth,Midlothian,Finsbury,Canterbury,Lothbury,,,,,,,
