cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,ROME,Swan,New Type,STATUE,,,,,,,,
1,Seutree,Bacon,Lyndhurst,King-street,Park-street,Reeks,,,,,,
2,HYDE PARK,Henry VIIL.,Hyde Park,Albany,f—-,Park,Dryden,Paradiso,,,,
3,Venice,Perth,Kenilworth,Lammermoor,Tasso,AINSWORTH,Turk,Portrait,Holbein,sepulchre,Ivanhoe,
4,Havre,Charles,Isle of Skye,Morse,Farquhar,Damocles,Harvey,,,,,
5,nearest kinsman,Forest Days,Forum,Pictures,,,,,,,,
6,Granada,Flapdragon,Strand,France,Ovingdean Grange,UK,,,,,,
7,scagliola,AURIOL,Monsieur Violet,,,,,,,,,
8,Phantom Ship,Santa,LONDON,Tokay,Pompeii,ANTIQUARIES,Antverp,,,,,
9,Woodstock,Podrida,Londcn Stone,Paston,Cristofano,Stowe,,,,,,
10,Rougemont,Richmond,Montrose,Beaumont,,,,,,,,
11,Fexh,Fra,Se,,,,,,,,,
12,Thames,"Saint
James's-square",St. James’ss,Saint,Wakefield,America,Old London,Isaical,Ninus,,,
13,Sea Lions,Sea,yon’t,IIlustrations,,,,,,,,
14,Mark,Rienzi,Nigel,Mars,Warsaw,Whitefriars,bds.,Cinq Mars,Marion,L. EL.,London,Marked
15,Hermetic,Sheridan,Japhet inSearchofaFather,Vhere,Trayther,Jaden,,,,,,
16,c'oth,Midlothian,Loftus,NEW YORK,,,,,,,,
17,Calabria,Bavaria,Mississippi,Santa Maria,Paris,Charing,,,,,,
18,Grafton,Kensington,Abingdon,Washington,Oak Openings,,,,,,,
19,Emm,Clara,Colours,ER,JT,Trigge,vol,,,,,
20,River,Fairfax,Boraa,Ww,Vanbrugh,Trigce,,,,,,
21,DR,’s,Finsbury,Canterbury,Drury,Lothbury,,,,,,
22,M.A.,TX,Bivouac,ROSICRUCIAN,,,,,,,,
23,Seto,Westminster,Rookwood,c.g.,Eastcheap,Munster Festivals,Zoroaster,master’ll,scaly sea-monster,Leicestershire,,
24,Haliburton,Whitehall,"Hallywoed Es
Hall",,,,,,,,,
25,Italy,Thou,thou,Author,,,,,,,,
26,Inn,anon,Athanor,Ispahan,Ve're,,,,,,,
27,stecl,Aldgate,Belvoir,Waterloo,Stepney-green,Steel Plates,,,,,,
28,Achilles,Millbank,Cornhill,Billinsgit,IL,,,,,,,
29,china,Godolphin,,,,,,,,,,
30,Regent,Serpentine,Curzon,8vo,25th Regiment,Boscobel,Rome,,,,,
31,ROUTLEDGE,South-,Southwark,Routledge,Satan,,,,,,,
32,fort,Oxford,crowne,Beaafort,Beatitudes,Tn,,,,,,
33,Hamburg,Old Bailey,Jun.,Waltham,Pelham,Nottingham,,,,,,
34,Byron,KRONHEIM,Tlosiage,KronuEIM,Blenheim,,,,,,,
35,Tzigge,oie Highlands,flagon,Scotland,Highlands,Temple-bar,England,The Inland Sea,Inn-lane,,,
36,Vol,Watts,,,,,,,,,,
37,Wyandotte,Peak,Vignettes,Rotterdam,,,,,,,,
38,Bunce,"St.
George’s",St. Peter,St.,,,,,,,,
39,Amelia,penetralia,"Queen
Elizabeth’s time",Elia,,,,,,,,
40,Mackintoshes,W.H.,"the Alabama

Il

Case",EDWARDS,Packet,the Black Dwarf,,,,,,
