cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5
0.0,Hermetic,Lammermoor,Vhere,,,
1.0,AURIOL,Monsieur Violet,scagliola,,,
2.0,Inn,Inn-lane,,,,
3.0,ROUTLEDGE,Routledge,,,,
4.0,Westminster,Munster Festivals,Leicestershire,scaly sea-monster,Zoroaster,master’ll
5.0,NEW YORK,New Type,,,,
6.0,HYDE PARK,Hyde Park,,,,
7.0,Beaumont,Rougemont,Beatitudes,Richmond,Montrose,
8.0,Waterloo,Watts,Steel Plates,Aldgate,,
9.0,Ivanhoe,Vanbrugh,,,,
10.0,Forest Days,nearest kinsman,,,,
11.0,Dryden,Jaden,,,,
12.0,Stepney-green,"Queen
Elizabeth’s time",stecl,Reeks,,
13.0,"Saint
James's-square",St. James’ss,Saint,,,
14.0,Belvoir,Boscobel,,,,
15.0,St.,"St.
George’s",St. Peter,,,
16.0,anon,Athanor,Cristofano,,,
17.0,South-,Southwark,,,,
18.0,china,Godolphin,,,,
19.0,Kensington,Washington,,,,
20.0,thou,Author,Thou,,,
21.0,Lothbury,Canterbury,Midlothian,Finsbury,Drury,c'oth
22.0,Mars,Cinq Mars,Warsaw,,,
23.0,Vignettes,Rotterdam,Wyandotte,Damocles,,
24.0,Byron,KronuEIM,KRONHEIM,Blenheim,,
25.0,Thames,Pelham,Hamburg,Nottingham,Waltham,
26.0,Bunce,France,Fra,,,
27.0,Farquhar,Harvey,Charing,Charles,,
28.0,EDWARDS,the Black Dwarf,Packet,,,
29.0,Marion,Santa Maria,Bavaria,Santa,,
30.0,Elia,America,ROME,Amelia,,
31.0,River,Antverp,,,,
32.0,Woodstock,Rookwood,Stowe,,,
33.0,penetralia,Venice,Oak Openings,Ninus,,
34.0,Oxford,Forum,fort,Portrait,Beaafort,
35.0,Clara,Paradiso,Italy,Paris,,
36.0,Albany,Millbank,,,,
37.0,Lyndhurst,Colours,,,,
38.0,Sea,Japhet inSearchofaFather,Trayther,,,
39.0,Whitefriars,Whitehall,"Hallywoed Es
Hall",,,
40.0,Granada,Abingdon,Ovingdean Grange,,,
41.0,Turk,Pictures,,,,
42.0,Trigce,Trigge,Tzigge,,,
43.0,Calabria,"the Alabama

Il

Case",Isaical,,,
44.0,Rienzi,ANTIQUARIES,,,,
45.0,AINSWORTH,Perth,Kenilworth,,,
46.0,Mackintoshes,Ispahan,Phantom Ship,,,
47.0,Scotland,The Inland Sea,England,,,
48.0,Marked,Mark,,,,
49.0,Podrida,Sheridan,,,,
50.0,Vol,vol,,,,
51.0,Serpentine,Regent,25th Regiment,,,
52.0,London,Old Bailey,Old London,LONDON,,
53.0,Haliburton,Grafton,Eastcheap,Londcn Stone,Paston,
54.0,Flapdragon,flagon,,,,
55.0,Tlosiage,ROSICRUCIAN,,,,
56.0,Achilles,Billinsgit,Cornhill,,,
57.0,oie Highlands,Highlands,,,,
58.0,Sea Lions,Strand,Rome,Henry VIIL.,IIlustrations,
59.0,Seutree,Park,King-street,Park-street,,
